Year,Annual,Summer,Winter,Model
2015,10.0145,27.91697120666504,0.2953878343105316,ACCESS-ESM1-5
2016,9.897537,27.55504608154297,0.27683284878730774,ACCESS-ESM1-5
2017,8.903943,24.539703369140625,0.2538188099861145,ACCESS-ESM1-5
2018,9.63971,26.58868980407715,0.2658858299255371,ACCESS-ESM1-5
2019,8.8617735,24.678903579711914,0.27410125732421875,ACCESS-ESM1-5
2020,9.44241,26.70765495300293,0.2383195012807846,ACCESS-ESM1-5
2021,9.8519335,27.86113929748535,0.2407436966896057,ACCESS-ESM1-5
2022,10.20476,28.968093872070312,0.2934422791004181,ACCESS-ESM1-5
2023,9.514165,26.60146141052246,0.2800104022026062,ACCESS-ESM1-5
2024,9.372513,26.238718032836914,0.2712459862232208,ACCESS-ESM1-5
2025,9.361454,26.35975456237793,0.25013402104377747,ACCESS-ESM1-5
2026,9.677577,27.23834228515625,0.24725453555583954,ACCESS-ESM1-5
2027,9.605732,26.993852615356445,0.27242591977119446,ACCESS-ESM1-5
2028,9.419745,26.68726348876953,0.24893343448638916,ACCESS-ESM1-5
2029,10.087844,28.285715103149414,0.28657713532447815,ACCESS-ESM1-5
2030,10.375376,28.861677169799805,0.26845619082450867,ACCESS-ESM1-5
2031,9.705274,27.106924057006836,0.2814811170101166,ACCESS-ESM1-5
2032,9.789031,27.71897315979004,0.23599819839000702,ACCESS-ESM1-5
2033,9.776338,27.394620895385742,0.2661683261394501,ACCESS-ESM1-5
2034,9.77239,27.084074020385742,0.2616157829761505,ACCESS-ESM1-5
2035,9.343303,26.256332397460938,0.2722893953323364,ACCESS-ESM1-5
2036,9.479193,26.78856658935547,0.26568207144737244,ACCESS-ESM1-5
2037,9.788623,27.272192001342773,0.2704146206378937,ACCESS-ESM1-5
2038,9.24371,25.949735641479492,0.24878597259521484,ACCESS-ESM1-5
2039,10.074092,28.831445693969727,0.24777168035507202,ACCESS-ESM1-5
2040,10.38429,29.020370483398438,0.26323986053466797,ACCESS-ESM1-5
