Year,Annual,Summer,Winter,Model
2015,8.03281e-08,1.0875698563950209e-07,5.814921166802378e-08,CMCC-ESM2
2016,8.241457e-08,1.1129677091048507e-07,5.919871526316456e-08,CMCC-ESM2
2017,8.390328e-08,1.1431757229729556e-07,5.967994098909912e-08,CMCC-ESM2
2018,7.8264286e-08,1.075649365134268e-07,5.593297203176917e-08,CMCC-ESM2
2019,7.900221e-08,1.0880011558356273e-07,5.4143324490496525e-08,CMCC-ESM2
2020,8.0912734e-08,1.0892495083680842e-07,5.8061505825435233e-08,CMCC-ESM2
2021,8.044691e-08,1.0888782497886496e-07,5.7006914744306414e-08,CMCC-ESM2
2022,8.297564e-08,1.0901408131758217e-07,6.089931758879175e-08,CMCC-ESM2
2023,8.194319e-08,1.1181981562913279e-07,5.839686423314561e-08,CMCC-ESM2
2024,8.008254e-08,1.0815777073958088e-07,5.689375015549558e-08,CMCC-ESM2
2025,7.765859e-08,1.0719649168322576e-07,5.432148597606101e-08,CMCC-ESM2
2026,8.26671e-08,1.1218632067766521e-07,5.7865253921818294e-08,CMCC-ESM2
2027,7.67202e-08,1.0403504546729891e-07,5.41507354512305e-08,CMCC-ESM2
2028,7.692032e-08,1.052976656978899e-07,5.4122086368124656e-08,CMCC-ESM2
2029,8.245675e-08,1.1052795656496528e-07,5.884023224211887e-08,CMCC-ESM2
2030,8.2045055e-08,1.1113067444057378e-07,5.818131398882542e-08,CMCC-ESM2
2031,7.767581e-08,1.0971613306764993e-07,5.2775728676124345e-08,CMCC-ESM2
2032,7.842994e-08,1.0773135272756917e-07,5.475166631185857e-08,CMCC-ESM2
2033,7.5413645e-08,1.0295892849399024e-07,5.319357043731543e-08,CMCC-ESM2
2034,7.92354e-08,1.0575007536317571e-07,5.714282380608893e-08,CMCC-ESM2
2035,7.8701596e-08,1.0637506164812294e-07,5.578335660061384e-08,CMCC-ESM2
2036,7.903936e-08,1.0546197160010706e-07,5.682032622189581e-08,CMCC-ESM2
2037,7.4177215e-08,1.0328562893846538e-07,5.120132229308183e-08,CMCC-ESM2
2038,7.899069e-08,1.0905338143629706e-07,5.558030480301568e-08,CMCC-ESM2
2039,8.069792e-08,1.0845476339227389e-07,5.8169433714283514e-08,CMCC-ESM2
2040,8.008693e-08,1.0886055434866648e-07,5.670618463682331e-08,CMCC-ESM2
2041,7.7663984e-08,1.0571381636736987e-07,5.5199304682673755e-08,CMCC-ESM2
2042,8.2914426e-08,1.1145158396175248e-07,6.016380638129704e-08,CMCC-ESM2
2043,8.2740364e-08,1.1413560940809475e-07,5.71705136565015e-08,CMCC-ESM2
2044,8.051071e-08,1.1113659326156267e-07,5.6290058836339085e-08,CMCC-ESM2
2045,8.235514e-08,1.1175291092513362e-07,5.831514116039216e-08,CMCC-ESM2
2046,7.889369e-08,1.0986563125925386e-07,5.397442848220635e-08,CMCC-ESM2
2047,7.9566384e-08,1.0757779733694406e-07,5.610993980553758e-08,CMCC-ESM2
2048,8.2297056e-08,1.131980482682593e-07,5.712723805118003e-08,CMCC-ESM2
2049,7.909744e-08,1.0793295501798639e-07,5.5201144988359374e-08,CMCC-ESM2
2050,8.026088e-08,1.1178795489286131e-07,5.424685767252413e-08,CMCC-ESM2
2051,7.881905e-08,1.0587300636188957e-07,5.580899298252007e-08,CMCC-ESM2
2052,7.540316e-08,1.0453639021079653e-07,5.193902552491636e-08,CMCC-ESM2
