Year,Annual,Summer,Winter,Model
2015,6.802626e-08,7.876838736819991e-08,5.359600052656788e-08,CMCC-ESM2
2016,6.939542e-08,7.98933186274553e-08,5.4398189064386315e-08,CMCC-ESM2
2017,6.912279e-08,8.094078651765813e-08,5.389327029092783e-08,CMCC-ESM2
2018,6.5748374e-08,7.789964229232282e-08,5.097574273804639e-08,CMCC-ESM2
2019,6.677589e-08,8.070773560575617e-08,4.983162682492548e-08,CMCC-ESM2
2020,6.66036e-08,7.896937859186437e-08,5.128404367837902e-08,CMCC-ESM2
2021,6.624415e-08,7.68003403095463e-08,5.1745185913887326e-08,CMCC-ESM2
2022,6.89227e-08,7.954005809551745e-08,5.474445075037693e-08,CMCC-ESM2
2023,6.850285e-08,8.140483487295569e-08,5.2348102741461844e-08,CMCC-ESM2
2024,6.584005e-08,7.694314518857936e-08,5.078716114326198e-08,CMCC-ESM2
2025,6.490091e-08,7.762192666405099e-08,4.946208420619769e-08,CMCC-ESM2
2026,6.803656e-08,7.893408593417917e-08,5.338107555985516e-08,CMCC-ESM2
2027,6.3929456e-08,7.431611237507241e-08,4.980093137874064e-08,CMCC-ESM2
2028,6.532196e-08,7.817270386567543e-08,4.9879883334824626e-08,CMCC-ESM2
2029,7.0311316e-08,8.344821367245459e-08,5.399022029450862e-08,CMCC-ESM2
2030,6.9180935e-08,8.394332695615958e-08,5.2196686084471366e-08,CMCC-ESM2
2031,6.5383794e-08,8.128245809757573e-08,4.810968334822974e-08,CMCC-ESM2
2032,6.684884e-08,8.019491559707603e-08,5.066985053758799e-08,CMCC-ESM2
2033,6.489625e-08,7.79437883124956e-08,4.9651859512778174e-08,CMCC-ESM2
2034,6.7302295e-08,7.894902154248484e-08,5.1777149678855494e-08,CMCC-ESM2
2035,6.640976e-08,7.798357160027081e-08,5.1347381457844676e-08,CMCC-ESM2
2036,6.694326e-08,7.793112644094435e-08,5.1570349768326196e-08,CMCC-ESM2
2037,6.285362e-08,7.571479443413409e-08,4.819443333303752e-08,CMCC-ESM2
2038,6.789619e-08,8.252115435425367e-08,5.139499492656796e-08,CMCC-ESM2
2039,7.0218206e-08,8.348693114612615e-08,5.408692160813189e-08,CMCC-ESM2
2040,7.0483104e-08,8.47308214702025e-08,5.3728964388710665e-08,CMCC-ESM2
2041,6.913319e-08,8.464366629823417e-08,5.230164745739785e-08,CMCC-ESM2
2042,7.438178e-08,9.081620788720102e-08,5.662174729081926e-08,CMCC-ESM2
2043,7.207991e-08,8.885080404752443e-08,5.386505108617712e-08,CMCC-ESM2
2044,6.898358e-08,8.281015340116937e-08,5.226219812470845e-08,CMCC-ESM2
2045,7.1301145e-08,8.525427119820961e-08,5.419395776584679e-08,CMCC-ESM2
2046,6.910073e-08,8.441699606009934e-08,5.148930881659908e-08,CMCC-ESM2
2047,6.871945e-08,8.389481109816188e-08,5.126278423972508e-08,CMCC-ESM2
2048,7.155341e-08,8.768046910745397e-08,5.2957584983914785e-08,CMCC-ESM2
2049,6.879762e-08,8.36740312593065e-08,5.2178595666418914e-08,CMCC-ESM2
2050,7.0958414e-08,8.852592259245284e-08,5.2184486065698366e-08,CMCC-ESM2
2051,6.952296e-08,8.557273645237728e-08,5.21238483486286e-08,CMCC-ESM2
2052,6.740756e-08,8.451377908613722e-08,4.9814818936511074e-08,CMCC-ESM2
2053,6.889055e-08,8.743199231275867e-08,4.908954664983867e-08,CMCC-ESM2
2054,6.816987e-08,8.497633530168969e-08,5.043331086085345e-08,CMCC-ESM2
2055,7.084528e-08,8.390534134150585e-08,5.4610314492720136e-08,CMCC-ESM2
2056,7.060655e-08,8.586314947933715e-08,5.2869207678440944e-08,CMCC-ESM2
2057,7.283551e-08,9.12420432541694e-08,5.304166350583728e-08,CMCC-ESM2
2058,7.53521e-08,9.345936291538237e-08,5.5010900723573286e-08,CMCC-ESM2
2059,7.1962205e-08,8.763186087890062e-08,5.4169714047702655e-08,CMCC-ESM2
2060,7.215339e-08,8.885277935632985e-08,5.30036352586194e-08,CMCC-ESM2
2061,7.222661e-08,8.904226689310235e-08,5.3110948528001245e-08,CMCC-ESM2
2062,7.283281e-08,9.029079706124321e-08,5.3664336974179605e-08,CMCC-ESM2
2063,7.452427e-08,9.428809022438145e-08,5.482129949996306e-08,CMCC-ESM2
2064,7.5920305e-08,9.648277909946046e-08,5.60935298210552e-08,CMCC-ESM2
2065,7.487042e-08,9.550456780971217e-08,5.373929568008862e-08,CMCC-ESM2
2066,7.2595576e-08,9.114665999732097e-08,5.2212712375876436e-08,CMCC-ESM2
2067,7.22672e-08,9.019972679880084e-08,5.398857538807533e-08,CMCC-ESM2
2068,7.304788e-08,9.100678965978659e-08,5.3573501190840034e-08,CMCC-ESM2
2069,7.461465e-08,9.508128329116516e-08,5.3563720570082296e-08,CMCC-ESM2
2070,7.585816e-08,9.529518507633838e-08,5.598595365086112e-08,CMCC-ESM2
2071,7.464481e-08,9.61376471764197e-08,5.310296558036498e-08,CMCC-ESM2
2072,7.527507e-08,9.492140407019178e-08,5.472306341403055e-08,CMCC-ESM2
2073,7.307108e-08,9.429526670601263e-08,5.2220560320392906e-08,CMCC-ESM2
2074,7.323879e-08,9.269323442140376e-08,5.336835329217138e-08,CMCC-ESM2
2075,7.369844e-08,9.35820807512755e-08,5.29151833461583e-08,CMCC-ESM2
2076,7.29424e-08,9.353919239174502e-08,5.2096250868771676e-08,CMCC-ESM2
2077,7.432735e-08,9.639057907406823e-08,5.2816872653238534e-08,CMCC-ESM2
2078,7.580609e-08,9.873585327113688e-08,5.3914344988470475e-08,CMCC-ESM2
2079,7.76849e-08,1.017715476336889e-07,5.4496865686815e-08,CMCC-ESM2
2080,7.76082e-08,1.0222905899581747e-07,5.289578908218573e-08,CMCC-ESM2
2081,7.338014e-08,9.576455539672679e-08,5.150079118720896e-08,CMCC-ESM2
2082,7.495017e-08,1.011578021348214e-07,5.051260032473692e-08,CMCC-ESM2
2083,7.750376e-08,1.0032707820073483e-07,5.5394611564452134e-08,CMCC-ESM2
2084,7.839759e-08,1.0365251768007511e-07,5.424241678042563e-08,CMCC-ESM2
2085,7.756981e-08,1.036870571624604e-07,5.4233094459732456e-08,CMCC-ESM2
2086,7.890686e-08,1.0912379622141088e-07,5.2205873402044745e-08,CMCC-ESM2
2087,7.619922e-08,1.0714681053514141e-07,4.965463062944764e-08,CMCC-ESM2
2088,7.832253e-08,1.0604683353676592e-07,5.4589349929301534e-08,CMCC-ESM2
2089,8.075054e-08,1.08250425512324e-07,5.623678944743915e-08,CMCC-ESM2
2090,7.954469e-08,1.0489660695611747e-07,5.565858884892805e-08,CMCC-ESM2
2091,8.029676e-08,1.0809561246105659e-07,5.526241508846397e-08,CMCC-ESM2
2092,8.063656e-08,1.0936944505601787e-07,5.487079235422243e-08,CMCC-ESM2
2093,8.099011e-08,1.0854236620616575e-07,5.498576527429577e-08,CMCC-ESM2
2094,7.8382115e-08,1.0675571360252434e-07,5.283446924408963e-08,CMCC-ESM2
2095,7.79796e-08,1.0696532370957357e-07,5.211964548834658e-08,CMCC-ESM2
2096,7.890954e-08,1.056544860489339e-07,5.453030738067355e-08,CMCC-ESM2
2097,8.262709e-08,1.1199745841850017e-07,5.703002514678701e-08,CMCC-ESM2
2098,8.306656e-08,1.1255641396701321e-07,5.6911300561068856e-08,CMCC-ESM2
2099,8.372452e-08,1.1328575055813417e-07,5.671039104981901e-08,CMCC-ESM2
2100,8.0361765e-08,1.068628066036581e-07,5.522529633594786e-08,CMCC-ESM2
