Year,Annual,Summer,Winter,Model
2015,26.617071,31.965164184570312,20.634681701660156,CMCC-ESM2
2016,27.178505,32.52397537231445,20.92160987854004,CMCC-ESM2
2017,27.21154,33.045745849609375,20.8309326171875,CMCC-ESM2
2018,25.798775,31.67534828186035,19.673355102539062,CMCC-ESM2
2019,26.138102,32.613834381103516,19.16020393371582,CMCC-ESM2
2020,26.211594,32.0395393371582,19.9049015045166,CMCC-ESM2
2021,26.099874,31.40509605407715,19.986469268798828,CMCC-ESM2
2022,27.091217,32.20895004272461,21.183134078979492,CMCC-ESM2
2023,26.864843,32.96742630004883,20.25230598449707,CMCC-ESM2
2024,25.964594,31.436180114746094,19.699060440063477,CMCC-ESM2
2025,25.460693,31.540008544921875,19.05770492553711,CMCC-ESM2
2026,26.79983,32.3011589050293,20.55377769470215,CMCC-ESM2
2027,25.16646,30.39070701599121,19.182451248168945,CMCC-ESM2
2028,25.54534,31.574462890625,19.167173385620117,CMCC-ESM2
2029,27.44781,33.51850509643555,20.76953887939453,CMCC-ESM2
2030,27.07469,33.7034912109375,20.184465408325195,CMCC-ESM2
2031,25.637472,32.87811279296875,18.556894302368164,CMCC-ESM2
2032,26.123337,32.3804931640625,19.466808319091797,CMCC-ESM2
2033,25.276154,31.28571128845215,19.01738166809082,CMCC-ESM2
2034,26.32281,31.843515396118164,19.989038467407227,CMCC-ESM2
2035,26.03596,31.64509391784668,19.76677894592285,CMCC-ESM2
2036,26.255257,31.610769271850586,19.941068649291992,CMCC-ESM2
2037,24.63342,30.850648880004883,18.409162521362305,CMCC-ESM2
2038,26.4709,33.19306564331055,19.717327117919922,CMCC-ESM2
2039,27.265715,33.3742790222168,20.710832595825195,CMCC-ESM2
2040,27.307089,33.770835876464844,20.512996673583984,CMCC-ESM2
2041,26.737854,33.542232513427734,19.969030380249023,CMCC-ESM2
2042,28.687925,35.73918151855469,21.66800880432129,CMCC-ESM2
2043,27.96633,35.26982116699219,20.63560676574707,CMCC-ESM2
2044,26.9149,33.383113861083984,20.08144187927246,CMCC-ESM2
2045,27.71794,34.09852981567383,20.79228401184082,CMCC-ESM2
2046,26.803473,33.779571533203125,19.631301879882812,CMCC-ESM2
2047,26.736261,33.37759017944336,19.756248474121094,CMCC-ESM2
2048,27.799974,34.961185455322266,20.352706909179688,CMCC-ESM2
2049,26.686834,33.28878402709961,19.929908752441406,CMCC-ESM2
2050,27.42012,35.0510139465332,19.83186912536621,CMCC-ESM2
2051,26.933561,33.78242492675781,19.987089157104492,CMCC-ESM2
2052,26.028854,33.40420150756836,18.947145462036133,CMCC-ESM2
2053,26.644897,34.715091705322266,18.720834732055664,CMCC-ESM2
2054,26.53129,34.00948715209961,19.37972068786621,CMCC-ESM2
2055,27.479357,33.42477798461914,20.89915657043457,CMCC-ESM2
2056,27.343666,34.2050666809082,20.228046417236328,CMCC-ESM2
2057,28.103529,35.927040100097656,20.320884704589844,CMCC-ESM2
2058,28.988527,36.56532669067383,21.019311904907227,CMCC-ESM2
2059,27.746328,34.49911117553711,20.68727684020996,CMCC-ESM2
2060,27.842476,35.13783264160156,20.22165870666504,CMCC-ESM2
2061,27.842993,35.27467727661133,20.194429397583008,CMCC-ESM2
2062,27.950798,35.3430290222168,20.380102157592773,CMCC-ESM2
2063,28.627985,36.81680679321289,20.950136184692383,CMCC-ESM2
2064,29.015692,37.4765739440918,21.283287048339844,CMCC-ESM2
2065,28.563715,37.18938064575195,20.237262725830078,CMCC-ESM2
2066,27.62558,35.29731750488281,19.66143035888672,CMCC-ESM2
2067,27.637764,35.11319351196289,20.437585830688477,CMCC-ESM2
2068,27.995428,35.635135650634766,20.351970672607422,CMCC-ESM2
2069,28.578453,37.0838508605957,20.422012329101562,CMCC-ESM2
2070,29.107378,37.22481918334961,21.331350326538086,CMCC-ESM2
2071,28.596909,37.469642639160156,20.130918502807617,CMCC-ESM2
2072,28.699183,36.77737808227539,20.700721740722656,CMCC-ESM2
2073,27.913374,36.636661529541016,19.69769287109375,CMCC-ESM2
2074,27.902824,35.94120407104492,20.12023162841797,CMCC-ESM2
2075,27.9551,36.133846282958984,19.8719425201416,CMCC-ESM2
2076,27.789648,36.2191047668457,19.70090675354004,CMCC-ESM2
2077,28.268717,37.144168853759766,20.00527000427246,CMCC-ESM2
2078,28.823973,38.07590103149414,20.424062728881836,CMCC-ESM2
2079,29.5194,39.310482025146484,20.50978660583496,CMCC-ESM2
2080,29.32666,39.1827507019043,19.83228874206543,CMCC-ESM2
2081,27.851028,36.944976806640625,19.393543243408203,CMCC-ESM2
2082,28.33271,38.843929290771484,18.899446487426758,CMCC-ESM2
2083,29.2097,38.44865036010742,20.643922805786133,CMCC-ESM2
2084,29.58615,39.625396728515625,20.386701583862305,CMCC-ESM2
2085,29.39194,39.71303176879883,20.473215103149414,CMCC-ESM2
2086,29.691244,41.42544174194336,19.564476013183594,CMCC-ESM2
2087,28.59034,40.53152084350586,18.551488876342773,CMCC-ESM2
2088,29.463837,40.20940017700195,20.44287109375,CMCC-ESM2
2089,30.337633,40.92679977416992,21.091718673706055,CMCC-ESM2
2090,29.922758,39.898136138916016,20.86894416809082,CMCC-ESM2
2091,30.135935,40.84529495239258,20.66562271118164,CMCC-ESM2
2092,30.250038,41.40928268432617,20.493425369262695,CMCC-ESM2
2093,30.466164,41.19145965576172,20.631208419799805,CMCC-ESM2
2094,29.45964,40.5489616394043,19.776203155517578,CMCC-ESM2
2095,29.329626,40.619991302490234,19.457338333129883,CMCC-ESM2
2096,29.577513,39.85960006713867,20.34290885925293,CMCC-ESM2
2097,30.831055,42.036739349365234,21.206388473510742,CMCC-ESM2
2098,31.126158,42.48085021972656,21.26618003845215,CMCC-ESM2
2099,31.29693,42.75798034667969,21.12371063232422,CMCC-ESM2
2100,30.12338,40.34711456298828,20.64944839477539,CMCC-ESM2
