Year,Annual,Summer,Winter,Model
2015,1.4007492e-07,2.925551711996377e-07,3.960151317983218e-09,CMCC-ESM2
2016,1.4599586e-07,3.116616937859362e-07,4.0847991655823535e-09,CMCC-ESM2
2017,1.3935232e-07,2.875387394851714e-07,4.470151360180807e-09,CMCC-ESM2
2018,1.3338935e-07,2.758482366971293e-07,4.38534586422179e-09,CMCC-ESM2
2019,1.4055428e-07,2.873115931834036e-07,5.10895148408963e-09,CMCC-ESM2
2020,1.3785237e-07,2.8498780579866434e-07,4.344304471715077e-09,CMCC-ESM2
2021,1.3879112e-07,2.8421388265087444e-07,4.452538338028944e-09,CMCC-ESM2
2022,1.4506129e-07,3.066152487463114e-07,4.342788351152649e-09,CMCC-ESM2
2023,1.3947074e-07,2.850761973149929e-07,4.421590205083703e-09,CMCC-ESM2
2024,1.3879689e-07,2.8074316560378065e-07,4.343559734110158e-09,CMCC-ESM2
2025,1.397932e-07,2.8827449227719626e-07,4.729246771972839e-09,CMCC-ESM2
2026,1.3821447e-07,2.855959451153467e-07,4.251121232812238e-09,CMCC-ESM2
2027,1.3702332e-07,2.7582217398958164e-07,4.820035925945376e-09,CMCC-ESM2
2028,1.3937056e-07,2.890511439090915e-07,4.694891142520419e-09,CMCC-ESM2
2029,1.4294484e-07,3.134317410058429e-07,4.066013747916486e-09,CMCC-ESM2
2030,1.4289562e-07,2.9183755145822943e-07,4.0951504409747486e-09,CMCC-ESM2
2031,1.3527054e-07,2.6742597469819884e-07,4.722778612631373e-09,CMCC-ESM2
2032,1.3291557e-07,2.673804999631102e-07,4.802977571216616e-09,CMCC-ESM2
2033,1.3682475e-07,2.788289350519335e-07,4.536494291329518e-09,CMCC-ESM2
2034,1.3940131e-07,2.902884546074347e-07,4.570737122122637e-09,CMCC-ESM2
2035,1.4115967e-07,2.8826204356846574e-07,4.289361754672427e-09,CMCC-ESM2
2036,1.3706648e-07,2.82736323242716e-07,4.401426334510461e-09,CMCC-ESM2
2037,1.3796885e-07,2.7008354663848877e-07,4.646629747639963e-09,CMCC-ESM2
2038,1.420212e-07,2.969460126678314e-07,4.544995046984468e-09,CMCC-ESM2
2039,1.4138938e-07,2.903572919876751e-07,4.295428013278979e-09,CMCC-ESM2
2040,1.4049839e-07,2.8386145345393743e-07,4.0626324526726876e-09,CMCC-ESM2
2041,1.4099213e-07,2.8508597438303696e-07,4.47734072039907e-09,CMCC-ESM2
2042,1.4807279e-07,3.055524757655803e-07,3.7117733331371028e-09,CMCC-ESM2
2043,1.4308536e-07,2.9305488169484306e-07,4.3369929869641055e-09,CMCC-ESM2
2044,1.4268583e-07,2.9214399432930804e-07,4.436746525726676e-09,CMCC-ESM2
2045,1.4386616e-07,3.0270240358731826e-07,4.207822090762647e-09,CMCC-ESM2
2046,1.4007236e-07,2.7826715154333215e-07,4.873789816173257e-09,CMCC-ESM2
2047,1.4478313e-07,2.991393444062851e-07,4.011399212799915e-09,CMCC-ESM2
2048,1.41538e-07,2.899847402204614e-07,4.072313597447419e-09,CMCC-ESM2
2049,1.4267404e-07,2.9193907380431483e-07,4.39449809874759e-09,CMCC-ESM2
2050,1.416242e-07,2.895955901749403e-07,4.943095266440878e-09,CMCC-ESM2
2051,1.3810283e-07,2.8312626909610117e-07,4.75367967212037e-09,CMCC-ESM2
2052,1.3841996e-07,2.6533930963523744e-07,4.563341260421794e-09,CMCC-ESM2
2053,1.3984102e-07,2.7514772682479816e-07,5.166956640323406e-09,CMCC-ESM2
2054,1.406407e-07,2.7278736070002196e-07,3.724307084951306e-09,CMCC-ESM2
2055,1.4372297e-07,2.8609005653379427e-07,4.336135450699885e-09,CMCC-ESM2
2056,1.4219981e-07,2.855847469618311e-07,4.072305159752432e-09,CMCC-ESM2
