Year,Annual,Summer,Winter,Model
2015,-0.049086448092858705,0.04283017806005728,-0.3651944716779008,CMCC-ESM2
2016,-0.06545896359511184,0.08978636178379759,-0.3072080269519096,CMCC-ESM2
2017,-0.050184073898919955,0.062459275203595226,-0.3721401258051822,CMCC-ESM2
2018,-0.042774571240019515,0.16756869809532743,-0.24909664127773046,CMCC-ESM2
2019,0.007204703113048207,0.014375757445434175,-0.22000312009895817,CMCC-ESM2
2020,-0.07831746678788558,-0.005881609222954244,-0.42539632089292223,CMCC-ESM2
2021,-0.04888755585856295,-0.08947344280365933,-0.3291303409106756,CMCC-ESM2
2022,-0.06772292522809535,0.02988677839600843,-0.3771669799594234,CMCC-ESM2
2023,-0.10701216090446235,-0.03331374007576621,-0.4370423293509948,CMCC-ESM2
2024,-0.042488193169891615,-0.07518273995152576,-0.2982159998243037,CMCC-ESM2
2025,0.0034092406064461698,0.07087918853985065,-0.3086407053743491,CMCC-ESM2
2026,-0.020469236567675558,-0.05544070214692023,-0.303942798056129,CMCC-ESM2
2027,-0.04529198398724441,-0.0012244703341729433,-0.31889765197367026,CMCC-ESM2
2028,0.006112340133587417,0.08326251411237645,-0.20463335278767036,CMCC-ESM2
2029,-0.05186653439211098,0.10679887737544543,-0.37942922161248915,CMCC-ESM2
2030,-0.018557660776625993,0.12407734104776089,-0.29179919383093095,CMCC-ESM2
2031,-0.014990222763641162,0.12516130109827417,-0.23824767946468747,CMCC-ESM2
2032,-0.01577455845011841,-0.1407176453870911,-0.29488142588861355,CMCC-ESM2
2033,-0.0835900990742197,-0.0991416649864415,-0.37763272136622406,CMCC-ESM2
2034,-0.053041217265775875,-0.079129246791145,-0.28773882336294626,CMCC-ESM2
2035,0.023890610738716813,0.1241315710739749,-0.23787822421157737,CMCC-ESM2
2036,0.0014448876787626537,0.2606865392753755,-0.2520116885672136,CMCC-ESM2
2037,0.07217702470456114,0.15691074455007986,-0.0867874477948187,CMCC-ESM2
2038,-0.02801902949778276,-0.0693189597579995,-0.302244203743788,CMCC-ESM2
2039,-0.06354373591157303,0.056137569875222004,-0.3585082469256333,CMCC-ESM2
2040,-0.06179220216794316,0.0036732238744910145,-0.33625654967732865,CMCC-ESM2
2041,-0.03587751829677216,0.09027606469843574,-0.28354803628482006,CMCC-ESM2
2042,-0.06332881410658008,0.18419760321554163,-0.3865776081041828,CMCC-ESM2
2043,-0.029961947962696026,0.10176773743225385,-0.3388733496673851,CMCC-ESM2
2044,0.007626372852503944,0.23229228285654732,-0.3313335172883103,CMCC-ESM2
2045,-0.0005321746946063318,0.08582631230661089,-0.23975954734687885,CMCC-ESM2
2046,-0.028637535878092674,-0.0135506839934643,-0.2979435194354991,CMCC-ESM2
2047,-0.06127995015011236,0.23434124003525392,-0.4150436235595463,CMCC-ESM2
2048,-0.0013367343069030924,-0.040526467347243494,-0.3517005706921944,CMCC-ESM2
2049,-0.0310099382368878,0.20551798643303443,-0.3015202171388754,CMCC-ESM2
2050,0.005390616846320408,0.044760686522521714,-0.3018270652848234,CMCC-ESM2
2051,-0.04721644324820551,0.023712098219776274,-0.3721808422435926,CMCC-ESM2
2052,-0.08078035704823959,0.10362245451472718,-0.38318927738899655,CMCC-ESM2
2053,-0.04124656688735374,0.12451225566294649,-0.3759416440215089,CMCC-ESM2
2054,0.025568808720552925,-0.045473552034981955,-0.26003907309169466,CMCC-ESM2
2055,0.033073236211615877,0.004692491333294969,-0.13643010992341031,CMCC-ESM2
2056,0.007876834796391138,-0.0164282469331215,-0.2339305418917083,CMCC-ESM2
2057,-0.013172414684774286,-0.033146510879916276,-0.22093208366769154,CMCC-ESM2
2058,-0.039965307309806915,-0.012518785354822714,-0.2638437164683134,CMCC-ESM2
2059,-0.05523161774476837,0.0901159163004494,-0.3643791772205883,CMCC-ESM2
2060,-0.042917182523884816,0.10306707803972097,-0.3509459996843395,CMCC-ESM2
2061,0.013512001502993809,-0.021047610429549373,-0.23023024267764258,CMCC-ESM2
2062,0.030546044413948564,0.09870278948968383,-0.21420200100961312,CMCC-ESM2
2063,-0.0107959136994713,0.06787482540531328,-0.24455643689995127,CMCC-ESM2
2064,-0.04039739213322887,0.15430528014523173,-0.34049371464832967,CMCC-ESM2
2065,0.02329993477011359,0.01194881978512129,-0.2145833423761335,CMCC-ESM2
2066,0.03895438803575237,0.05741952930079841,-0.20013900297983567,CMCC-ESM2
2067,-0.02727273685340162,0.06579983415148587,-0.36143756326880067,CMCC-ESM2
2068,0.011895530069232302,0.041101464377093486,-0.24677565270233476,CMCC-ESM2
2069,0.03048038432930102,0.023412631420459455,-0.21596870246402186,CMCC-ESM2
2070,0.050798665515024766,0.19303585320992916,-0.15938937251249816,CMCC-ESM2
2071,0.0058689425025888016,0.12448940975462046,-0.2622900349072378,CMCC-ESM2
2072,-0.04196004249259039,0.11067332966622107,-0.34550115844052876,CMCC-ESM2
2073,0.029711854810254613,0.04874685605594827,-0.24947030962623404,CMCC-ESM2
2074,-0.00617850047436691,0.06004326174750177,-0.21910580066308438,CMCC-ESM2
2075,-0.039602664599370056,0.12493351133049345,-0.3011696223649546,CMCC-ESM2
2076,-0.03382368179537162,0.13029259359290032,-0.30393963799016255,CMCC-ESM2
2077,-0.01040409497376247,0.03937589907086322,-0.2505600245613154,CMCC-ESM2
2078,0.0009624229568889661,0.08545874119332919,-0.24312057182322366,CMCC-ESM2
2079,-0.020414799401831663,0.22471160596616244,-0.25816176433295274,CMCC-ESM2
2080,-0.005403069563339427,0.17448066723360248,-0.3275577473690375,CMCC-ESM2
2081,-0.06280170687576735,0.2223953239580989,-0.3746136560210834,CMCC-ESM2
2082,-0.023916295716950763,0.1565662554063974,-0.3026973028046721,CMCC-ESM2
2083,0.020743930920688918,0.21784480859632402,-0.21679940359372404,CMCC-ESM2
2084,0.004218085243649167,0.17678097633485526,-0.2876002854662805,CMCC-ESM2
2085,0.02860934022244001,0.16704092208009802,-0.21603678267362478,CMCC-ESM2
2086,0.02492480010410858,0.17972698436985493,-0.20113576047919432,CMCC-ESM2
2087,0.016275788044088985,0.21830369901500954,-0.1949402368766263,CMCC-ESM2
2088,-0.016805295433157185,0.1353133521889564,-0.29381521153143636,CMCC-ESM2
2089,-0.03380385068926144,0.10824331583017911,-0.33029250748719985,CMCC-ESM2
2090,-0.04109953683267139,0.12895627697299708,-0.31538168693741453,CMCC-ESM2
2091,-0.020903249241731776,0.27425316948633477,-0.3070684753073149,CMCC-ESM2
2092,-0.013601156701782824,0.1592291758065182,-0.2780151334374111,CMCC-ESM2
2093,0.0004353933527205256,0.16308216744807152,-0.27522128826774095,CMCC-ESM2
2094,0.017509914496725027,0.08085659048342089,-0.15008963972636025,CMCC-ESM2
2095,-0.005955068500845521,0.10103519310803474,-0.27222760924446937,CMCC-ESM2
2096,-0.08214883300769786,0.2258276874816161,-0.36673381404008054,CMCC-ESM2
2097,-0.05735122294632498,0.1841874062397941,-0.4186738740024141,CMCC-ESM2
2098,-0.018720991232525453,0.16219725458918202,-0.3290197262385846,CMCC-ESM2
2099,-0.06972577491308939,0.05854707913075933,-0.36905307024301043,CMCC-ESM2
2100,-0.052910578389614216,-0.5094760438477561,-0.3462437169207138,CMCC-ESM2
