Year,Annual,Summer,Winter,Model
2015,0.13326096002721274,0.1428786998613633,0.004372655961002175,CMCC-ESM2
2016,0.12706103104644656,0.11051598474562575,0.04423888246471522,CMCC-ESM2
2017,0.12162298438667778,0.04835835300023203,-0.010656037587001461,CMCC-ESM2
2018,0.08577574656166335,0.1439640486557586,-0.033936970444522485,CMCC-ESM2
2019,0.16008953395494013,0.10349924604303,0.07774216166766854,CMCC-ESM2
2020,0.11457160141115641,0.029446898936577915,-0.031974218036040135,CMCC-ESM2
2021,0.11962863146651577,0.04678900252406674,-0.018819213474422673,CMCC-ESM2
2022,0.1518731696130208,0.043628300489879764,-0.0026208407974920196,CMCC-ESM2
2023,0.0946509131932937,0.06249245073229662,-0.045481163086867574,CMCC-ESM2
2024,0.16585225190455918,0.058520359516710856,0.039538455108126355,CMCC-ESM2
2025,0.15385034137553597,0.1522719130645446,0.03745211909146669,CMCC-ESM2
2026,0.11700859018752789,-0.007963234743799832,-0.012168675173027726,CMCC-ESM2
2027,0.07444620856556168,0.0491237368283713,-0.0866813862042393,CMCC-ESM2
2028,0.15578779364174558,0.10224308803469111,0.045983608047175134,CMCC-ESM2
2029,0.11123488774731942,0.17992235862655173,-0.014948456695444501,CMCC-ESM2
2030,0.1985279252540001,0.08606574604137529,0.0851720343396727,CMCC-ESM2
2031,0.14790433164818878,0.013949220935209268,0.05844959281897147,CMCC-ESM2
2032,0.14020799618170823,-0.08138766724832223,0.020863980884816093,CMCC-ESM2
2033,0.10092422659357625,0.09630672322286175,-0.026191283232497253,CMCC-ESM2
2034,0.13462626108555792,-0.016735521644285344,0.02332008684782747,CMCC-ESM2
2035,0.1437229383509894,0.09937831948161463,0.017846413484210174,CMCC-ESM2
2036,0.14291964047470399,0.034518334326755225,0.03478092479012791,CMCC-ESM2
2037,0.1517180997103305,0.07873686536789055,0.07394905228825051,CMCC-ESM2
2038,0.14937719460664406,0.04839211420289704,0.02442734481487801,CMCC-ESM2
2039,0.1832261218840084,0.1236100460403184,0.07615453835522074,CMCC-ESM2
2040,0.14445605750395993,-0.029687886870553806,0.034291434551262996,CMCC-ESM2
2041,0.13816481590313104,0.08948139411611701,0.05795423382918909,CMCC-ESM2
2042,0.17157713877627043,0.17235774379867955,0.015257084767699117,CMCC-ESM2
2043,0.1503252648959034,0.03960219826565883,-0.006114118758933654,CMCC-ESM2
2044,0.1615951026469257,0.19902446688274653,0.0053107097554956515,CMCC-ESM2
2045,0.1517070565045633,0.025873815789801802,-0.00416347010383216,CMCC-ESM2
2046,0.14310155099513688,0.03420342106768419,0.017668176622787544,CMCC-ESM2
2047,0.13727524855253134,0.12527467231537187,-0.03896984912036653,CMCC-ESM2
2048,0.11906910831988184,0.023792029560370943,-0.06076739264607761,CMCC-ESM2
2049,0.10550137876306488,0.1375064054972304,-0.09537006408234677,CMCC-ESM2
2050,0.12359762105721207,0.007621640982075381,-0.031236771638820455,CMCC-ESM2
2051,0.11211524710141217,-0.02958205783879289,-0.07471026428957872,CMCC-ESM2
2052,0.08380129957179004,-0.06396024334191264,-0.07527862033415435,CMCC-ESM2
2053,0.10016770405800296,0.009869939939827621,-0.04535109160622142,CMCC-ESM2
2054,0.11032681703397478,-0.024745451476485453,-0.06626821904757339,CMCC-ESM2
2055,0.14358176644653156,-0.07656345229990738,0.016454105424270168,CMCC-ESM2
2056,0.1147058339319746,0.003256160566313916,-0.016742006988402176,CMCC-ESM2
2057,0.1440403073369662,0.11022363097910473,0.015313253622399133,CMCC-ESM2
2058,0.19601046734598135,-0.0048391133041659476,0.10217102405969464,CMCC-ESM2
2059,0.15956551942875521,-0.02906452742760983,0.03254310957967528,CMCC-ESM2
2060,0.1373665197890701,0.015838373372293393,-0.002460925983345086,CMCC-ESM2
2061,0.1429979974596692,0.019006458743317228,-0.010456862441116876,CMCC-ESM2
2062,0.16529567453114566,0.10430426388192393,0.032101313901326735,CMCC-ESM2
2063,0.19160476850046906,0.03848773038605144,0.09510252803910474,CMCC-ESM2
2064,0.14467274254283727,0.07270378414478937,0.02056607240877796,CMCC-ESM2
2065,0.14456213985777577,0.04131759405236427,0.023206941617593308,CMCC-ESM2
2066,0.1853104553383701,-0.04716126392102586,0.02186324205976339,CMCC-ESM2
2067,0.1276977120285506,-0.000695745727625612,-0.05443624345873616,CMCC-ESM2
2068,0.15725825548785488,0.06135665580014493,0.06267602727641478,CMCC-ESM2
2069,0.15138524124527522,0.01941475173988416,0.017408784989364892,CMCC-ESM2
2070,0.17308589513628328,0.04765219980571923,0.05336903094430485,CMCC-ESM2
2071,0.1658885238472261,-0.05737017179057159,0.05577298191446586,CMCC-ESM2
2072,0.13477546036397697,-0.04219065936131041,-0.028840942412507925,CMCC-ESM2
2073,0.1339111931812728,-0.0447720876610418,0.0012388825427567809,CMCC-ESM2
2074,0.1384550718504998,-0.07837586851106987,0.03044533144479118,CMCC-ESM2
2075,0.12351105710734818,0.010698191160199247,-0.02868097710670211,CMCC-ESM2
2076,0.14172147174939473,0.014589097134843167,0.017308643747600435,CMCC-ESM2
2077,0.15452057508147468,-0.11383822553320679,0.03948958329776631,CMCC-ESM2
2078,0.15327661839253937,-0.05173165549537553,0.04487663245330029,CMCC-ESM2
2079,0.09115373788449321,0.1066985412536015,-0.07466457810340142,CMCC-ESM2
2080,0.16619333710121614,-0.06860423871163804,0.03971755755724494,CMCC-ESM2
2081,0.124116094593483,-0.04827252734938886,-0.0023076366787256803,CMCC-ESM2
2082,0.08121263699228162,-0.07869543683846704,-0.08964671820254015,CMCC-ESM2
2083,0.12359514427905,0.01127990300620528,-0.05229153582851355,CMCC-ESM2
2084,0.1514039349639016,-0.005500725784907612,-0.008987987165150915,CMCC-ESM2
2085,0.16339440026066465,0.02591164494107426,0.01170494437946316,CMCC-ESM2
2086,0.16263294860336464,-0.053959400787083105,0.07381896824302697,CMCC-ESM2
2087,0.16449844278235742,-0.013950384339460976,0.07729538420286272,CMCC-ESM2
2088,0.16797725649657425,-0.01970040663418748,0.0563639411803861,CMCC-ESM2
2089,0.15247965743035688,-0.01905149586552483,0.03207237963404576,CMCC-ESM2
2090,0.16483570236977518,-0.0626580933459808,0.022942126155980742,CMCC-ESM2
2091,0.16114430928458826,0.03203099655903654,0.04094318933460419,CMCC-ESM2
2092,0.14352500648033586,-0.00011693363827304073,0.04542449422496629,CMCC-ESM2
2093,0.14595032127397298,-0.12635364405689284,0.03804004412072315,CMCC-ESM2
2094,0.09833533763314707,-0.1169157160145527,0.031810491948704465,CMCC-ESM2
2095,0.08696058310707777,-0.08646537592868085,-0.08627410843019523,CMCC-ESM2
2096,0.12376518681539976,0.03100905734216273,-0.05401632259053995,CMCC-ESM2
2097,0.1406826295966018,-0.02507174509588673,-0.001736022121376737,CMCC-ESM2
2098,0.15300882758432735,-0.13441586751273435,-0.01821473457437517,CMCC-ESM2
2099,0.09794678940861769,-0.16877124258985574,-0.06846637195100864,CMCC-ESM2
2100,0.11078157151137923,-0.4357038702324752,-0.01862162880700962,CMCC-ESM2
