Year,Annual,Summer,Winter,Model
2015,1.1433955e-07,2.8437543164727686e-07,1.2083831713027848e-09,CMCC-ESM2
2016,1.1813815e-07,2.9567351589321333e-07,1.3095831086218368e-09,CMCC-ESM2
2017,1.1152031e-07,2.7391573098611843e-07,1.7689320008784648e-09,CMCC-ESM2
2018,1.12308044e-07,2.7597445750870975e-07,1.3706434875970785e-09,CMCC-ESM2
2019,1.1176027e-07,2.705424719806615e-07,1.896128587475232e-09,CMCC-ESM2
2020,1.1139165e-07,2.6853672352444846e-07,1.6212666764658934e-09,CMCC-ESM2
2021,1.1410956e-07,2.7834425964101683e-07,1.6783227030359171e-09,CMCC-ESM2
2022,1.18042834e-07,2.8621192882383184e-07,1.4642571599665644e-09,CMCC-ESM2
2023,1.1297866e-07,2.7815897851724003e-07,1.7704162580400862e-09,CMCC-ESM2
2024,1.1097543e-07,2.675711812116788e-07,1.478738909099775e-09,CMCC-ESM2
2025,1.1061389e-07,2.654906268162449e-07,1.5907009043303333e-09,CMCC-ESM2
2026,1.1257487e-07,2.7649971912069304e-07,1.542182714864282e-09,CMCC-ESM2
2027,1.1044344e-07,2.706209158986894e-07,1.640903302124741e-09,CMCC-ESM2
2028,1.13968895e-07,2.736603903485957e-07,1.5333299074882234e-09,CMCC-ESM2
2029,1.1941752e-07,2.950248187971738e-07,1.3009718857759367e-09,CMCC-ESM2
2030,1.1377798e-07,2.7300600891067006e-07,1.4780887624965544e-09,CMCC-ESM2
2031,1.09708644e-07,2.5813463366830547e-07,1.6424298587836006e-09,CMCC-ESM2
2032,1.105461e-07,2.609969271816226e-07,1.76299275178593e-09,CMCC-ESM2
2033,1.0962941e-07,2.613109302274097e-07,1.7434554910877864e-09,CMCC-ESM2
2034,1.1442336e-07,2.7755717724176066e-07,1.6382902812139832e-09,CMCC-ESM2
2035,1.1215119e-07,2.696932881462999e-07,1.7403313234964912e-09,CMCC-ESM2
2036,1.1100855e-07,2.6967316557602317e-07,1.709457797538505e-09,CMCC-ESM2
2037,1.11584434e-07,2.5949390192181454e-07,1.6452404993927416e-09,CMCC-ESM2
2038,1.16279516e-07,2.818003679294634e-07,1.602988963789187e-09,CMCC-ESM2
2039,1.1848412e-07,2.845770268322667e-07,1.4700415329471639e-09,CMCC-ESM2
2040,1.1723993e-07,2.795029274693661e-07,1.5849890289132418e-09,CMCC-ESM2
2041,1.202199e-07,2.836846419995709e-07,1.4090946187650388e-09,CMCC-ESM2
2042,1.2327696e-07,2.884431751226657e-07,1.4401644321537788e-09,CMCC-ESM2
2043,1.17533936e-07,2.790853557144146e-07,1.6927700352553643e-09,CMCC-ESM2
2044,1.1667466e-07,2.782152250802028e-07,1.7837421539823595e-09,CMCC-ESM2
2045,1.2110257e-07,2.9536951728914573e-07,1.528357884694742e-09,CMCC-ESM2
2046,1.1642086e-07,2.7411525138631987e-07,1.9532524486720604e-09,CMCC-ESM2
2047,1.195674e-07,2.8302773102950596e-07,1.6422486703859818e-09,CMCC-ESM2
2048,1.1784289e-07,2.7832604132527194e-07,1.7656964779177997e-09,CMCC-ESM2
2049,1.199217e-07,2.763608506484161e-07,1.812283989544028e-09,CMCC-ESM2
2050,1.1909014e-07,2.7496253096614964e-07,1.9243560078763267e-09,CMCC-ESM2
2051,1.16817596e-07,2.6615737169777276e-07,1.846380270897896e-09,CMCC-ESM2
2052,1.15485506e-07,2.570206731888902e-07,1.8182628735985418e-09,CMCC-ESM2
2053,1.1607193e-07,2.582302727205388e-07,2.233908169557708e-09,CMCC-ESM2
2054,1.17644845e-07,2.665371141574724e-07,1.5786608686951809e-09,CMCC-ESM2
2055,1.2041652e-07,2.780892884857167e-07,1.7620034320486866e-09,CMCC-ESM2
2056,1.2214478e-07,2.7746031605602184e-07,1.686730310979101e-09,CMCC-ESM2
2057,1.2469914e-07,2.866588886263344e-07,1.5586015811308584e-09,CMCC-ESM2
2058,1.2226047e-07,2.814265656070347e-07,1.9700221454144184e-09,CMCC-ESM2
2059,1.2384368e-07,2.8435488275135867e-07,1.5948877774007997e-09,CMCC-ESM2
2060,1.2185133e-07,2.8313121447354206e-07,1.960023920943854e-09,CMCC-ESM2
2061,1.2374785e-07,2.862766734779143e-07,1.7264047968978957e-09,CMCC-ESM2
2062,1.2538327e-07,2.9041086690995144e-07,1.925136938751848e-09,CMCC-ESM2
2063,1.268118e-07,2.838916941527714e-07,1.524911863448608e-09,CMCC-ESM2
2064,1.2532449e-07,2.863077099846123e-07,1.5953675047697402e-09,CMCC-ESM2
2065,1.2308546e-07,2.777046290702856e-07,1.849090325301006e-09,CMCC-ESM2
2066,1.2254137e-07,2.705707231598353e-07,1.9738952694581258e-09,CMCC-ESM2
