Year,Annual,Summer,Winter,Model
2015,1.1942592e-07,2.851978138096456e-07,1.8517254396499538e-09,CMCC-ESM2
2016,1.2358647e-07,2.975450286157866e-07,1.9596668732191347e-09,CMCC-ESM2
2017,1.1730602e-07,2.76725160119895e-07,2.3615549515909606e-09,CMCC-ESM2
2018,1.1696306e-07,2.7569467420107685e-07,2.0806787404126226e-09,CMCC-ESM2
2019,1.1754673e-07,2.7350117193236656e-07,2.631947770836973e-09,CMCC-ESM2
2020,1.1653697e-07,2.71312075028618e-07,2.235578833165164e-09,CMCC-ESM2
2021,1.1916205e-07,2.7957784709542466e-07,2.2955013445624672e-09,CMCC-ESM2
2022,1.235136e-07,2.9042968208159436e-07,2.107787500094105e-09,CMCC-ESM2
2023,1.18578534e-07,2.795608509131853e-07,2.3640733815000203e-09,CMCC-ESM2
2024,1.1676593e-07,2.6999825308848813e-07,2.1277890560611468e-09,CMCC-ESM2
2025,1.165202e-07,2.699919434689946e-07,2.3119179903829945e-09,CMCC-ESM2
2026,1.1788029e-07,2.7827573489958013e-07,2.154187717096079e-09,CMCC-ESM2
2027,1.1605473e-07,2.710230262437108e-07,2.3722293018835217e-09,CMCC-ESM2
2028,1.1927067e-07,2.7657188184093684e-07,2.275260868600526e-09,CMCC-ESM2
2029,1.2419791e-07,2.9837801207577286e-07,1.952682238126613e-09,CMCC-ESM2
2030,1.1992876e-07,2.76667577736589e-07,2.0880956963509334e-09,CMCC-ESM2
2031,1.15039114e-07,2.5967469241550134e-07,2.3383497360640604e-09,CMCC-ESM2
2032,1.15241875e-07,2.6225632154819323e-07,2.4552473387728924e-09,CMCC-ESM2
2033,1.1520056e-07,2.647149983658892e-07,2.3888333533506056e-09,CMCC-ESM2
2034,1.1945163e-07,2.80025915344595e-07,2.301630219747608e-09,CMCC-ESM2
2035,1.1831305e-07,2.7373027933208505e-07,2.326782100325886e-09,CMCC-ESM2
2036,1.16724856e-07,2.726370951222634e-07,2.3264363768760177e-09,CMCC-ESM2
2037,1.1701879e-07,2.610108538192435e-07,2.3315009922697527e-09,CMCC-ESM2
2038,1.2141348e-07,2.840141917204164e-07,2.276833832581815e-09,CMCC-ESM2
2039,1.2306243e-07,2.850614464477985e-07,2.1126338456411986e-09,CMCC-ESM2
2040,1.2218902e-07,2.8022546416650584e-07,2.162604539890367e-09,CMCC-ESM2
2041,1.2433738e-07,2.83393632116713e-07,2.1183887977116456e-09,CMCC-ESM2
2042,1.2789395e-07,2.9160071335354587e-07,1.9593480171664623e-09,CMCC-ESM2
2043,1.226819e-07,2.8238503091415623e-07,2.294684664505553e-09,CMCC-ESM2
2044,1.2193209e-07,2.810427304211771e-07,2.395404541388757e-09,CMCC-ESM2
2045,1.25678e-07,2.962646306059469e-07,2.1398114391502077e-09,CMCC-ESM2
2046,1.2126672e-07,2.749967791260133e-07,2.601050708150865e-09,CMCC-ESM2
2047,1.2464459e-07,2.864772739030741e-07,2.1958166396274237e-09,CMCC-ESM2
2048,1.2254193e-07,2.8066801860404667e-07,2.299228141211529e-09,CMCC-ESM2
2049,1.2421911e-07,2.79339218423047e-07,2.395333043025971e-09,CMCC-ESM2
2050,1.236484e-07,2.779277963327331e-07,2.6201760761068726e-09,CMCC-ESM2
2051,1.2128972e-07,2.6985841827809054e-07,2.515972319372395e-09,CMCC-ESM2
2052,1.2007511e-07,2.5841654860414565e-07,2.4632493822451806e-09,CMCC-ESM2
2053,1.209143e-07,2.617248640035541e-07,2.907099450055739e-09,CMCC-ESM2
2054,1.2221066e-07,2.6774969796861114e-07,2.063955450992694e-09,CMCC-ESM2
2055,1.2530774e-07,2.80301151178719e-07,2.3396766746230924e-09,CMCC-ESM2
2056,1.2618591e-07,2.7951679726356815e-07,2.2248911601963073e-09,CMCC-ESM2
2057,1.2879202e-07,2.885475680614036e-07,2.070326354797203e-09,CMCC-ESM2
2058,1.2712425e-07,2.848871645255713e-07,2.5914548285044248e-09,CMCC-ESM2
2059,1.2815347e-07,2.8726665846079413e-07,2.144525668157371e-09,CMCC-ESM2
2060,1.2613049e-07,2.827896992130263e-07,2.540590848809643e-09,CMCC-ESM2
2061,1.2719984e-07,2.865895396553242e-07,2.3484607591939266e-09,CMCC-ESM2
2062,1.2928874e-07,2.9059214057269855e-07,2.4924602382014882e-09,CMCC-ESM2
2063,1.3063378e-07,2.863783663542563e-07,2.0405452882954478e-09,CMCC-ESM2
2064,1.2871529e-07,2.8721075295834453e-07,2.0649904008962494e-09,CMCC-ESM2
2065,1.2630288e-07,2.7684802716976264e-07,2.445951219343101e-09,CMCC-ESM2
2066,1.2627292e-07,2.72437574722062e-07,2.621244554745772e-09,CMCC-ESM2
2067,1.2669923e-07,2.763933082405856e-07,2.064002968538148e-09,CMCC-ESM2
2068,1.2965417e-07,2.8698744358734984e-07,2.3365078760662072e-09,CMCC-ESM2
2069,1.3062622e-07,2.9170922744015115e-07,2.085342343249863e-09,CMCC-ESM2
2070,1.3167765e-07,2.90536831926147e-07,2.0888355489745436e-09,CMCC-ESM2
2071,1.2928056e-07,2.771132869838766e-07,2.833101531152238e-09,CMCC-ESM2
2072,1.2953592e-07,2.831503422839887e-07,2.3275361638042114e-09,CMCC-ESM2
2073,1.2715715e-07,2.672527159575111e-07,2.363665485560773e-09,CMCC-ESM2
2074,1.2862039e-07,2.7799316626442305e-07,2.498707019071844e-09,CMCC-ESM2
2075,1.2804215e-07,2.7331745400260843e-07,3.0887825630543375e-09,CMCC-ESM2
2076,1.2912794e-07,2.740107447607443e-07,2.324335834913427e-09,CMCC-ESM2
2077,1.3024383e-07,2.732273003402952e-07,2.5414126358924705e-09,CMCC-ESM2
2078,1.3422648e-07,2.884746663767146e-07,2.3098232215801318e-09,CMCC-ESM2
2079,1.3455062e-07,2.918235963988991e-07,2.3596216092158784e-09,CMCC-ESM2
2080,1.292505e-07,2.7505743105393776e-07,2.7422071280369664e-09,CMCC-ESM2
2081,1.2995012e-07,2.6743700232145784e-07,2.6343751624580136e-09,CMCC-ESM2
2082,1.3071146e-07,2.723485010847071e-07,2.72689870683962e-09,CMCC-ESM2
2083,1.374475e-07,2.975521340431442e-07,2.3609325605633558e-09,CMCC-ESM2
2084,1.3429693e-07,2.8015284669891116e-07,2.5930493308123914e-09,CMCC-ESM2
2085,1.3572802e-07,2.802249525757361e-07,2.1323545151830103e-09,CMCC-ESM2
2086,1.3305069e-07,2.6697193789004814e-07,2.671248333641074e-09,CMCC-ESM2
2087,1.3367423e-07,2.6937578923025285e-07,2.8257742812343167e-09,CMCC-ESM2
2088,1.375123e-07,2.862326482500066e-07,2.248409014526942e-09,CMCC-ESM2
2089,1.3678861e-07,2.8939746243850095e-07,2.5148778615147194e-09,CMCC-ESM2
2090,1.3754813e-07,2.8451947287067014e-07,2.371751017804513e-09,CMCC-ESM2
2091,1.3747241e-07,2.902022799844417e-07,2.757260197938649e-09,CMCC-ESM2
2092,1.3782041e-07,2.9459422989930317e-07,2.2664234933245098e-09,CMCC-ESM2
2093,1.3702463e-07,2.8596440415640245e-07,2.881755500894201e-09,CMCC-ESM2
2094,1.344168e-07,2.712904745294509e-07,2.836788803861623e-09,CMCC-ESM2
2095,1.3479867e-07,2.7422638027019275e-07,2.854610103852906e-09,CMCC-ESM2
2096,1.4073863e-07,2.924099078427389e-07,2.732463366683646e-09,CMCC-ESM2
2097,1.4219233e-07,2.9343664209591225e-07,2.233649709637575e-09,CMCC-ESM2
2098,1.429333e-07,2.9458905714818684e-07,2.2843400504513056e-09,CMCC-ESM2
2099,1.3917521e-07,2.9102514531587076e-07,2.392744891110965e-09,CMCC-ESM2
2100,1.3507916e-07,2.63123411059496e-07,2.5694906202744505e-09,CMCC-ESM2
