Year,Annual,Summer,Winter,Model
2015,120.3637,47.435394287109375,168.68690490722656,CMCC-ESM2
2016,117.54963,53.59992599487305,157.06689453125,CMCC-ESM2
2017,114.9269,49.04731750488281,160.51686096191406,CMCC-ESM2
2018,113.5308,48.72042465209961,155.25408935546875,CMCC-ESM2
2019,107.95512,45.290496826171875,145.13853454589844,CMCC-ESM2
2020,113.72528,45.282073974609375,162.0164031982422,CMCC-ESM2
2021,113.21268,50.62129592895508,151.67861938476562,CMCC-ESM2
2022,119.82339,56.69600296020508,161.77349853515625,CMCC-ESM2
2023,114.25379,47.73637008666992,159.64793395996094,CMCC-ESM2
2024,112.148674,47.290863037109375,153.1079864501953,CMCC-ESM2
2025,115.08316,47.30739212036133,156.28369140625,CMCC-ESM2
2026,109.33847,50.37471389770508,148.84849548339844,CMCC-ESM2
2027,108.6051,42.29951095581055,151.33079528808594,CMCC-ESM2
2028,112.69512,49.67818069458008,151.32281494140625,CMCC-ESM2
2029,114.8873,51.50568771362305,155.37335205078125,CMCC-ESM2
2030,109.08372,40.27225112915039,154.65760803222656,CMCC-ESM2
2031,108.31727,40.64152908325195,150.8317108154297,CMCC-ESM2
2032,109.22351,42.575382232666016,150.34036254882812,CMCC-ESM2
2033,110.510864,45.60065841674805,152.1017303466797,CMCC-ESM2
2034,115.01714,47.082340240478516,156.6543426513672,CMCC-ESM2
2035,110.9685,52.00797653198242,147.94203186035156,CMCC-ESM2
2036,107.65157,45.42013168334961,150.93893432617188,CMCC-ESM2
2037,106.82122,45.33856201171875,146.65919494628906,CMCC-ESM2
2038,116.807045,51.17246627807617,159.1790008544922,CMCC-ESM2
2039,112.95234,51.49998092651367,154.509765625,CMCC-ESM2
2040,110.13964,42.15116500854492,151.5677032470703,CMCC-ESM2
2041,112.3243,45.5197639465332,154.20423889160156,CMCC-ESM2
2042,118.95444,52.721622467041016,163.8358612060547,CMCC-ESM2
2043,109.46923,48.303741455078125,145.91685485839844,CMCC-ESM2
2044,115.93868,53.3654899597168,155.44447326660156,CMCC-ESM2
2045,115.50549,50.95561599731445,157.48155212402344,CMCC-ESM2
2046,107.40088,43.25673294067383,146.97634887695312,CMCC-ESM2
2047,114.485344,53.38785934448242,153.94520568847656,CMCC-ESM2
2048,112.85789,49.86941909790039,152.8467254638672,CMCC-ESM2
2049,109.3272,49.16532516479492,144.2484893798828,CMCC-ESM2
2050,106.85313,51.23823165893555,142.29782104492188,CMCC-ESM2
2051,110.24588,49.18610763549805,149.61195373535156,CMCC-ESM2
2052,104.60642,40.02439880371094,147.18264770507812,CMCC-ESM2
2053,103.434364,42.334754943847656,142.6424102783203,CMCC-ESM2
2054,111.86965,47.9864616394043,153.05540466308594,CMCC-ESM2
2055,110.47106,56.49723434448242,146.89805603027344,CMCC-ESM2
2056,110.73829,49.17753601074219,154.1614532470703,CMCC-ESM2
2057,110.9776,49.0862922668457,148.5161590576172,CMCC-ESM2
2058,108.4974,55.66366195678711,146.1170196533203,CMCC-ESM2
2059,109.13441,50.46088790893555,148.11671447753906,CMCC-ESM2
2060,107.648865,47.5340576171875,149.5518035888672,CMCC-ESM2
2061,110.16403,52.80833053588867,146.97691345214844,CMCC-ESM2
2062,109.17807,52.81472396850586,144.87954711914062,CMCC-ESM2
2063,113.86326,50.888458251953125,154.07470703125,CMCC-ESM2
2064,110.14233,47.49628829956055,151.1338653564453,CMCC-ESM2
2065,103.10578,44.4128532409668,142.3026123046875,CMCC-ESM2
2066,104.1894,47.40736770629883,137.59686279296875,CMCC-ESM2
2067,108.942726,46.42216110229492,149.01687622070312,CMCC-ESM2
2068,108.862976,46.598052978515625,150.63743591308594,CMCC-ESM2
2069,108.99198,50.799861907958984,146.21559143066406,CMCC-ESM2
2070,107.97108,49.56951904296875,146.22386169433594,CMCC-ESM2
2071,102.46927,46.75077438354492,137.49781799316406,CMCC-ESM2
2072,106.34794,47.64808654785156,141.01808166503906,CMCC-ESM2
2073,101.86923,40.99357223510742,141.4452362060547,CMCC-ESM2
2074,106.32993,46.91439437866211,144.9442596435547,CMCC-ESM2
2075,102.65775,44.78245162963867,136.38616943359375,CMCC-ESM2
2076,104.70074,44.74288558959961,144.74986267089844,CMCC-ESM2
2077,104.81015,50.09577941894531,139.35923767089844,CMCC-ESM2
2078,106.79996,45.652828216552734,146.91587829589844,CMCC-ESM2
2079,103.69034,49.149593353271484,140.3297576904297,CMCC-ESM2
2080,100.66336,45.56929397583008,136.06178283691406,CMCC-ESM2
2081,99.774666,43.51334762573242,138.3943634033203,CMCC-ESM2
2082,99.31827,41.685394287109375,135.14073181152344,CMCC-ESM2
2083,105.129974,51.70418167114258,140.16314697265625,CMCC-ESM2
2084,102.954,46.29463195800781,142.8487548828125,CMCC-ESM2
2085,105.7475,48.911285400390625,142.72076416015625,CMCC-ESM2
2086,95.90989,33.43137741088867,134.7381134033203,CMCC-ESM2
2087,96.74844,38.784706115722656,131.3933563232422,CMCC-ESM2
2088,103.98938,49.986724853515625,137.2106170654297,CMCC-ESM2
2089,105.676765,47.840545654296875,140.84637451171875,CMCC-ESM2
2090,103.04957,45.1961669921875,142.22921752929688,CMCC-ESM2
2091,101.839874,47.961666107177734,136.89739990234375,CMCC-ESM2
2092,103.38943,46.439208984375,137.80230712890625,CMCC-ESM2
2093,98.1925,40.06707763671875,137.29457092285156,CMCC-ESM2
2094,98.26828,44.174312591552734,133.97279357910156,CMCC-ESM2
2095,96.10898,41.50160598754883,129.8623046875,CMCC-ESM2
2096,103.47863,58.59477615356445,134.60638427734375,CMCC-ESM2
2097,103.20684,50.6228141784668,136.3004608154297,CMCC-ESM2
2098,102.24707,51.48763656616211,136.91522216796875,CMCC-ESM2
2099,99.92987,42.90010070800781,135.41603088378906,CMCC-ESM2
2100,97.313774,43.890106201171875,136.2277374267578,CMCC-ESM2
