Year,Annual,Summer,Winter,Model
2015,0.23871354238315712,0.21682420767924065,0.49157176116438556,CMCC-ESM2
2016,0.17088108554692472,0.06425115442338848,0.4262251827017638,CMCC-ESM2
2017,0.12380767994838908,0.12917513301516373,0.4187286250731281,CMCC-ESM2
2018,0.1718258313506057,0.054785370709956815,0.4370634526939726,CMCC-ESM2
2019,0.13358778569059335,0.24457350600472694,0.36739737561149083,CMCC-ESM2
2020,0.20621329494657906,0.3763110382042486,0.4284972386846348,CMCC-ESM2
2021,0.18901881320634203,0.3464420690104276,0.39704965820299665,CMCC-ESM2
2022,0.18201214169141977,0.05302229806426237,0.442823372813489,CMCC-ESM2
2023,0.14393971549138487,0.1847120364687571,0.3403818549339314,CMCC-ESM2
2024,0.1200408081427458,0.19123831775514896,0.3713083042864498,CMCC-ESM2
2025,0.13970761947343424,0.1785082314106634,0.31851919683152263,CMCC-ESM2
2026,0.20046094789368327,0.2664233638047579,0.5152878600957213,CMCC-ESM2
2027,0.17851893853695092,0.13950306249547853,0.41695538378426944,CMCC-ESM2
2028,0.16414919184193846,0.20533478789953394,0.41702557387433337,CMCC-ESM2
2029,0.17166006691027538,0.20774239155794103,0.37913629003686694,CMCC-ESM2
2030,0.17791269280162803,0.2954110258832635,0.3167059240305469,CMCC-ESM2
2031,0.19314793002943378,0.13805716515199462,0.42683290634646776,CMCC-ESM2
2032,0.13584168029664487,0.26176525581199583,0.4111856357785657,CMCC-ESM2
2033,0.13124070705325083,0.30572504492094876,0.24746085469069784,CMCC-ESM2
2034,0.18753183852086164,0.2927397426885965,0.418230335093825,CMCC-ESM2
2035,0.11052231825152255,0.16777913345254442,0.279197369946505,CMCC-ESM2
2036,0.18535430793182292,0.06456171879884673,0.37455710292870964,CMCC-ESM2
2037,0.0685469458660985,0.08874269507455293,0.22400720575710648,CMCC-ESM2
2038,0.11397511035358628,0.10334400688773199,0.33512675155111116,CMCC-ESM2
2039,0.06308019684851805,0.18535652135332473,0.2820166860110361,CMCC-ESM2
2040,0.12217406111495203,0.1649354799511965,0.3552860681615379,CMCC-ESM2
2041,0.09645193591721916,0.16352997747162895,0.2946288193952108,CMCC-ESM2
2042,0.09755564686524387,-0.02400978328461813,0.3445046687313897,CMCC-ESM2
2043,0.07098452459546588,0.06551458987325469,0.31579945489806344,CMCC-ESM2
2044,0.09046372763403614,0.06090224083655652,0.37127055903726175,CMCC-ESM2
2045,0.11064811541878987,0.1344390443177582,0.2756013074645376,CMCC-ESM2
2046,0.059659702332722296,0.19159837754848896,0.15644799138360346,CMCC-ESM2
2047,0.10521050814525233,0.06906688500691262,0.3828247553116023,CMCC-ESM2
2048,0.11875852023208466,0.17450218619937444,0.3907725841042144,CMCC-ESM2
2049,0.07323972677984912,0.039415697297529355,0.2159268854377312,CMCC-ESM2
2050,0.07219135631232208,0.011927836443095958,0.270898913117787,CMCC-ESM2
2051,0.043173574022806915,0.09987973612209704,0.289963765054894,CMCC-ESM2
2052,0.11137317484730473,0.0749966935603294,0.316899961733219,CMCC-ESM2
2053,0.1005590481988638,0.16016795300652176,0.3059609581663551,CMCC-ESM2
2054,0.0975054858845497,0.24302430371433412,0.3272521182258785,CMCC-ESM2
2055,0.060371451663386456,0.15235669243736297,0.16939042071997476,CMCC-ESM2
2056,0.11985097424619107,0.11754665185624094,0.3002986376766876,CMCC-ESM2
2057,-0.016928730936394205,0.15610920881722284,0.13831386161126033,CMCC-ESM2
2058,0.07616672626005822,0.12321059690010523,0.2797239327562582,CMCC-ESM2
2059,0.0556512841267822,0.13286678554774475,0.25209514920232395,CMCC-ESM2
2060,0.11859912203103166,0.08298576927396283,0.3205075908457304,CMCC-ESM2
2061,0.07353276032826363,0.0878090488514411,0.2931579313915427,CMCC-ESM2
2062,0.0147576148677211,0.016694353352601828,0.19426429225773922,CMCC-ESM2
2063,0.02286639005442975,0.05441085626570358,0.20589915839553685,CMCC-ESM2
2064,0.03850902263579764,-0.04128402108696896,0.2047563708819222,CMCC-ESM2
2065,-0.06725227689366342,0.16140445896559158,0.05284216106620845,CMCC-ESM2
2066,0.014533117302536707,0.10644103884832487,0.21038882294441122,CMCC-ESM2
2067,0.03497083421152304,0.11746844919023541,0.2338500398323819,CMCC-ESM2
2068,0.07579405764861635,0.15269201158186765,0.31425183905057774,CMCC-ESM2
2069,0.07755720526108113,0.13026784101784314,0.23908334837357612,CMCC-ESM2
2070,0.034236295587383204,-0.04739119515876964,0.26135302247634445,CMCC-ESM2
2071,0.05872442380229557,0.03629570002959011,0.2795738374597859,CMCC-ESM2
2072,0.003912728432029953,0.13162462467638872,0.16436238529839867,CMCC-ESM2
2073,-0.004421292694242508,0.09740597511423904,0.090764609404543,CMCC-ESM2
2074,0.09831872262641154,0.040826083329621926,0.35006288653049555,CMCC-ESM2
2075,-0.008379757539181049,0.01179087349331465,0.22432225033990932,CMCC-ESM2
2076,0.10884681289733711,0.06930789987686459,0.3816418332970536,CMCC-ESM2
2077,-0.02590482674107823,0.10847456988809152,0.10402289013416677,CMCC-ESM2
2078,0.03266731902223812,-0.00032180437308123515,0.19898023200351153,CMCC-ESM2
2079,-0.009764214929802164,-0.1914098375432287,0.11048787270658725,CMCC-ESM2
2080,0.07339881328679783,-0.00949854766102461,0.37455437396633773,CMCC-ESM2
2081,0.08911021811059479,-0.030679524649852255,0.30923832028901366,CMCC-ESM2
2082,-0.052900426610539626,-0.013199703193978085,0.07654841415620185,CMCC-ESM2
2083,-0.01989032964131075,0.020970545974251794,0.07483519494981809,CMCC-ESM2
2084,0.013486576239766882,0.06788528370772479,0.13761356016811016,CMCC-ESM2
2085,-0.010763549374211395,0.12362561537272795,0.05612902820579125,CMCC-ESM2
2086,0.027657887398894843,-0.11923464447739723,0.17100290055058429,CMCC-ESM2
2087,-0.026092948548024852,-0.01235563082631824,0.1715909109038894,CMCC-ESM2
2088,-0.09175857709456298,0.023623781380566734,-0.002957525364437127,CMCC-ESM2
2089,-0.011038519862189936,0.08178905432676443,0.2052558767650964,CMCC-ESM2
2090,-0.04717375102511512,-0.036099367826528096,0.03087321342040104,CMCC-ESM2
2091,-0.020176556565444603,-0.11299345168206355,0.1498193719329727,CMCC-ESM2
2092,-0.06352979716458426,0.03840777523378403,0.08604160512463568,CMCC-ESM2
2093,-0.039157277620431925,0.06713375834286658,-0.057597056711016885,CMCC-ESM2
2094,-0.053998996082370715,0.029251194376624986,0.009568382467631332,CMCC-ESM2
2095,-0.030117869959211927,-0.10265152562962866,0.1540900081654306,CMCC-ESM2
2096,-0.03629185181014597,-0.10215709154703935,0.1431398980780074,CMCC-ESM2
2097,-0.036667334106580435,-0.00590412624476772,0.06832724505042213,CMCC-ESM2
2098,-0.05726080304730452,-0.1608457018078669,0.04895475005015577,CMCC-ESM2
2099,-0.055196972734329185,0.0013607241418678274,0.04353763055946451,CMCC-ESM2
