Year,Annual,Summer,Winter,Model
2015,0.3582692636801192,0.664303372285531,0.4040148837539353,CMCC-ESM2
2016,0.3244916502486301,0.6181742086423193,0.34572141558910263,CMCC-ESM2
2017,0.2771238496452435,0.5030902082476971,0.29425927130212687,CMCC-ESM2
2018,0.22815540090960587,0.48719234994243915,0.2813746215554326,CMCC-ESM2
2019,0.20624176985013407,0.6167993587134704,0.2185774034844035,CMCC-ESM2
2020,0.263963651854165,0.5594344779259136,0.30957149539001216,CMCC-ESM2
2021,0.2560395841464991,0.6413790934296596,0.26337057751895593,CMCC-ESM2
2022,0.2708180190079626,0.5155043737104855,0.27947385000072456,CMCC-ESM2
2023,0.30148169112406503,0.649246349647322,0.28592417660508956,CMCC-ESM2
2024,0.27356596329429816,0.5749046253245851,0.253771974812687,CMCC-ESM2
2025,0.2925992169052994,0.5562908577003332,0.34003393088238026,CMCC-ESM2
2026,0.3000696248226347,0.6306225458571721,0.36566411143070776,CMCC-ESM2
2027,0.2993070953910178,0.5239198745841342,0.3295317553741304,CMCC-ESM2
2028,0.24803171920506925,0.6393884111695892,0.25930890909631144,CMCC-ESM2
2029,0.3100320364983342,0.6495819760141209,0.2672910503088963,CMCC-ESM2
2030,0.30582491896022845,0.5730337756864605,0.24980342426555457,CMCC-ESM2
2031,0.25119155643915986,0.5724007928411385,0.24607103804481545,CMCC-ESM2
2032,0.17068055224911993,0.6144948541785841,0.11655081050368898,CMCC-ESM2
2033,0.18597586181076267,0.6288706979319194,0.09463175032430383,CMCC-ESM2
2034,0.29324119728722864,0.6302916003688653,0.3295445134854908,CMCC-ESM2
2035,0.25585572133301837,0.6350175612610258,0.23147674377908808,CMCC-ESM2
2036,0.2805675480608254,0.4284169630252833,0.26616190484839763,CMCC-ESM2
2037,0.14197225119827603,0.564056063033441,0.12469515193300239,CMCC-ESM2
2038,0.22607300800568417,0.6136873295427208,0.22792115309688288,CMCC-ESM2
2039,0.19989194223576048,0.5337853032891261,0.16689064733242165,CMCC-ESM2
2040,0.2536641121675353,0.5749417322622461,0.2579103996264771,CMCC-ESM2
2041,0.2118869391961753,0.5930234228480193,0.18556580128246397,CMCC-ESM2
2042,0.21844208744886406,0.5806134368356299,0.20856641614748725,CMCC-ESM2
2043,0.2289342855882738,0.5915847066724991,0.17200792808940515,CMCC-ESM2
2044,0.23046089127392813,0.5636227875781655,0.20819144793500552,CMCC-ESM2
2045,0.23023451776614653,0.5737427117518743,0.19424867798475617,CMCC-ESM2
2046,0.18330654603017282,0.574710844493565,0.11249949529698185,CMCC-ESM2
2047,0.2239467699932204,0.5326224695386839,0.23838959684814137,CMCC-ESM2
2048,0.22221140042376333,0.6234444192769905,0.21188085534549478,CMCC-ESM2
2049,0.26278357088123633,0.5776992254725006,0.17954677958832568,CMCC-ESM2
2050,0.21989623105661002,0.49346663604650576,0.16012887752703428,CMCC-ESM2
2051,0.16373523656197098,0.47403011436817266,0.14837402905768132,CMCC-ESM2
2052,0.10661653852331932,0.5663550648378088,0.08734128350829806,CMCC-ESM2
2053,0.18140285401487644,0.5813615266003491,0.13796518703814212,CMCC-ESM2
2054,0.19474020464708044,0.572120262328618,0.14673328960425122,CMCC-ESM2
2055,0.19194237695468522,0.5844348961533284,0.15868253531536075,CMCC-ESM2
2056,0.22060800174694262,0.623354607824293,0.20257724112931288,CMCC-ESM2
2057,0.17999876098478307,0.5781811170444603,0.08636397308641207,CMCC-ESM2
2058,0.1900157202188224,0.5774381195755512,0.1444450973479103,CMCC-ESM2
2059,0.14868626456761103,0.49028567711617455,0.0680184792845132,CMCC-ESM2
2060,0.17785281699967626,0.5407948771715952,0.20836799449769655,CMCC-ESM2
2061,0.21275949055903273,0.5280574567300734,0.17329682486947423,CMCC-ESM2
2062,0.1635382841281152,0.5453785955434246,0.09836851653190919,CMCC-ESM2
2063,0.1443092025212649,0.4955361364452336,0.1041021684182497,CMCC-ESM2
2064,0.16248014189798501,0.45872906693770965,0.0737207544754788,CMCC-ESM2
2065,0.09386145962674637,0.5120297542392401,0.05221685478391349,CMCC-ESM2
2066,0.11177446766629123,0.5496936506195873,0.10842907803849973,CMCC-ESM2
2067,0.13082571342861785,0.5034069199015563,0.110959626467417,CMCC-ESM2
2068,0.14270654554544748,0.5163952619152039,0.1460182772793094,CMCC-ESM2
2069,0.20579609818936243,0.5782809505960992,0.1794595712391246,CMCC-ESM2
2070,0.17495374012906736,0.41789993397728326,0.15578558983056154,CMCC-ESM2
2071,0.2190612901517364,0.5806235041124482,0.26357146493401573,CMCC-ESM2
2072,0.17868003503237914,0.4601170467360781,0.16201542784983575,CMCC-ESM2
2073,0.08005881300188754,0.5133836427449372,0.01907214004550701,CMCC-ESM2
2074,0.22810460046615402,0.46912120262331314,0.2935503693929761,CMCC-ESM2
2075,0.16736422012365773,0.42146117462418414,0.26631321296351557,CMCC-ESM2
2076,0.1685206254101355,0.5081643795880919,0.257736764527066,CMCC-ESM2
2077,0.09670455717228921,0.5568763543908007,0.0082974454070818,CMCC-ESM2
2078,0.13120373590330311,0.48088606191898314,0.11828012075240382,CMCC-ESM2
2079,0.14778041633122319,0.40821520071376377,0.10135436634915959,CMCC-ESM2
2080,0.15041475023657866,0.4735723370691414,0.16618595981736958,CMCC-ESM2
2081,0.10787967025944,0.39809235053199654,0.1256904306038408,CMCC-ESM2
2082,0.03846295276920262,0.453803488160708,-0.04161337059211727,CMCC-ESM2
2083,0.07574903848032202,0.4721188336064051,-0.0037620218052390026,CMCC-ESM2
2084,0.07113937320856534,0.45530891191458495,0.040535198185755336,CMCC-ESM2
2085,0.05676222022455568,0.43087088658076156,0.016578237043926785,CMCC-ESM2
2086,0.0397944685284601,0.2354831299727364,-0.004617801392149942,CMCC-ESM2
2087,-0.004548387462097736,0.4223684020053599,-0.02047075588242485,CMCC-ESM2
2088,0.02837680803949459,0.3563178489803971,-0.026758607789536093,CMCC-ESM2
2089,0.07442537311245988,0.47317563993190015,0.1211420493652122,CMCC-ESM2
2090,0.07342513112592074,0.4238890373216774,0.023106441147915782,CMCC-ESM2
2091,0.07260672886305582,0.2705633990754245,0.0766722926846738,CMCC-ESM2
2092,0.004282834638059119,0.4782865826920368,-0.05308645369073446,CMCC-ESM2
2093,0.051946849774791554,0.31005802270998556,-0.04287675768275039,CMCC-ESM2
2094,0.007448486509313716,0.42029257840928347,-0.004371094320201572,CMCC-ESM2
2095,0.031370984839471455,0.3564740886473859,-0.001563034393913948,CMCC-ESM2
2096,0.02962327274492726,0.3795505098193445,0.030455290533190273,CMCC-ESM2
2097,0.04249393017862241,0.457855033397228,0.006639542939611184,CMCC-ESM2
2098,0.04884349633352005,0.3645456397065455,0.022880341474302696,CMCC-ESM2
2099,-0.011309559518199,0.4258481529728975,-0.08452763144369735,CMCC-ESM2
2100,0.00607093070664146,0.5677518483680847,0.008734081397634085,CMCC-ESM2
