Year,Annual,Summer,Winter,Model
2015,88.490105,30.30376625061035,123.65887451171875,CMCC-ESM2
2016,85.606834,32.01783752441406,118.0636978149414,CMCC-ESM2
2017,83.428474,30.513656616210938,116.26687622070312,CMCC-ESM2
2018,83.322495,32.16776657104492,114.39896392822266,CMCC-ESM2
2019,84.432365,30.219560623168945,115.27520751953125,CMCC-ESM2
2020,84.333626,30.38150978088379,118.87460327148438,CMCC-ESM2
2021,84.04282,31.478118896484375,114.90096282958984,CMCC-ESM2
2022,86.06756,36.422119140625,117.1383056640625,CMCC-ESM2
2023,82.113686,29.0642032623291,115.4730224609375,CMCC-ESM2
2024,82.086876,27.513893127441406,115.3133773803711,CMCC-ESM2
2025,86.02404,32.295318603515625,118.19244384765625,CMCC-ESM2
2026,84.09377,35.560482025146484,114.75089263916016,CMCC-ESM2
2027,81.13627,27.1524658203125,112.9250717163086,CMCC-ESM2
2028,84.778725,33.10519790649414,115.5952377319336,CMCC-ESM2
2029,84.15135,33.98295211791992,115.29443359375,CMCC-ESM2
2030,81.17225,26.704008102416992,115.5977554321289,CMCC-ESM2
2031,81.35051,27.757097244262695,113.07225799560547,CMCC-ESM2
2032,81.78998,29.05039405822754,113.91361236572266,CMCC-ESM2
2033,82.46459,30.656164169311523,114.53155517578125,CMCC-ESM2
2034,85.31089,29.700468063354492,118.2453384399414,CMCC-ESM2
2035,83.88891,32.442237854003906,114.3724136352539,CMCC-ESM2
2036,80.711266,29.971158981323242,114.7647705078125,CMCC-ESM2
2037,85.05011,32.36368179321289,117.56695556640625,CMCC-ESM2
2038,86.87763,33.135101318359375,118.92520141601562,CMCC-ESM2
2039,84.79277,32.83541488647461,117.14068603515625,CMCC-ESM2
2040,82.34254,27.933746337890625,114.65692138671875,CMCC-ESM2
2041,84.950584,31.133092880249023,117.81554412841797,CMCC-ESM2
2042,85.5195,33.622398376464844,116.70511627197266,CMCC-ESM2
2043,81.16488,29.668745040893555,110.83544921875,CMCC-ESM2
2044,84.73166,35.83450698852539,113.75363159179688,CMCC-ESM2
2045,84.8598,34.510406494140625,116.58391571044922,CMCC-ESM2
2046,80.89689,29.50404930114746,113.03756713867188,CMCC-ESM2
2047,83.21906,35.06430435180664,113.08599853515625,CMCC-ESM2
2048,83.234505,32.69174575805664,114.71537017822266,CMCC-ESM2
2049,81.506805,31.767868041992188,110.75018310546875,CMCC-ESM2
2050,80.72441,33.50869369506836,110.66449737548828,CMCC-ESM2
2051,81.12817,33.796016693115234,111.73546600341797,CMCC-ESM2
2052,79.44103,29.47874641418457,111.89896392822266,CMCC-ESM2
2053,78.05561,29.203184127807617,108.26163482666016,CMCC-ESM2
2054,81.86158,30.711624145507812,113.89124298095703,CMCC-ESM2
2055,81.06692,34.63623046875,110.83367156982422,CMCC-ESM2
2056,81.71262,32.876487731933594,115.24832916259766,CMCC-ESM2
2057,81.54072,32.343502044677734,111.82498168945312,CMCC-ESM2
2058,80.9483,35.759525299072266,111.52811431884766,CMCC-ESM2
2059,80.62012,34.69208908081055,110.3037338256836,CMCC-ESM2
2060,80.66735,32.51564025878906,112.23375701904297,CMCC-ESM2
2061,81.17002,32.98331069946289,111.3059310913086,CMCC-ESM2
2062,81.46409,34.711673736572266,110.47660064697266,CMCC-ESM2
2063,81.917,34.40753173828125,111.8351821899414,CMCC-ESM2
2064,81.14417,33.43068313598633,111.68729400634766,CMCC-ESM2
2065,78.13032,29.068708419799805,109.4877700805664,CMCC-ESM2
2066,81.06599,32.31772232055664,109.5909423828125,CMCC-ESM2
2067,81.279,30.7381534576416,112.09686279296875,CMCC-ESM2
2068,81.654884,32.05673599243164,112.93384552001953,CMCC-ESM2
2069,81.367165,34.70864486694336,110.91324615478516,CMCC-ESM2
