Year,Annual,Summer,Winter,Model
2015,-0.3901508111563057,-0.7169844888815866,-0.34021376600352105,CMCC-ESM2
2016,-0.3839041247140192,-0.710311599872017,-0.351355286512003,CMCC-ESM2
2017,-0.4059763708380535,-0.6988013367744904,-0.35960574510286725,CMCC-ESM2
2018,-0.35046596011714004,-0.5950067385732479,-0.33344028489442584,CMCC-ESM2
2019,-0.3623659314085789,-0.6209120945276778,-0.38739002354052715,CMCC-ESM2
2020,-0.3833770237769954,-0.6032828201825804,-0.32356961952607305,CMCC-ESM2
2021,-0.34757926713688997,-0.590209469512331,-0.3122278502546925,CMCC-ESM2
2022,-0.3444742755742623,-0.6500704562074043,-0.3467119989039949,CMCC-ESM2
2023,-0.38093149412527255,-0.684521732514292,-0.34243922574337854,CMCC-ESM2
2024,-0.39454053885857965,-0.6626482867846805,-0.3497227042510477,CMCC-ESM2
2025,-0.3530445954185397,-0.5921538940830425,-0.2969483052204663,CMCC-ESM2
2026,-0.3337744109270235,-0.6606278248191112,-0.31326958849422204,CMCC-ESM2
2027,-0.38799971976725495,-0.676966988723885,-0.3233826893429509,CMCC-ESM2
2028,-0.35939775068080043,-0.6296954879803689,-0.3423414387161383,CMCC-ESM2
2029,-0.3450306362101268,-0.5834172683781704,-0.3238233438881824,CMCC-ESM2
2030,-0.32517264573164345,-0.5892463783582164,-0.2675164073264429,CMCC-ESM2
2031,-0.3497006081444358,-0.6407737911935008,-0.356133810263869,CMCC-ESM2
2032,-0.3417156923852809,-0.7065023396322696,-0.35637086478580404,CMCC-ESM2
2033,-0.3802634331658024,-0.7098137912239816,-0.327424191119942,CMCC-ESM2
2034,-0.3897123554288496,-0.6060311892611107,-0.37087014970572424,CMCC-ESM2
2035,-0.30409897093993676,-0.5463438847042453,-0.25572388778047933,CMCC-ESM2
2036,-0.33878251407661747,-0.598120333210069,-0.3066196150261466,CMCC-ESM2
2037,-0.3728162177919985,-0.5798509895383391,-0.31511134933667084,CMCC-ESM2
2038,-0.3748271189690357,-0.7354103093929968,-0.34640206194490425,CMCC-ESM2
2039,-0.4114897917309834,-0.6642756830654668,-0.3671215792367815,CMCC-ESM2
2040,-0.3131134325298039,-0.6617321250522532,-0.2624764880135339,CMCC-ESM2
2041,-0.35343039483362193,-0.6620923549477155,-0.33530854522044284,CMCC-ESM2
2042,-0.4057207548078981,-0.5939119918646543,-0.3302195601771337,CMCC-ESM2
2043,-0.3249178713701875,-0.6328246998695505,-0.2958895616251914,CMCC-ESM2
2044,-0.3660236044577129,-0.591352715137646,-0.3334605407041777,CMCC-ESM2
2045,-0.34079462727758886,-0.7089259612288851,-0.3112182715462513,CMCC-ESM2
2046,-0.352508922359394,-0.6170647160033126,-0.29575593686434176,CMCC-ESM2
2047,-0.37107769471209134,-0.5662597721925184,-0.3361098967619113,CMCC-ESM2
2048,-0.30672512700814064,-0.65301963312055,-0.26423643940725794,CMCC-ESM2
2049,-0.336549924071558,-0.6692395521242693,-0.2714644456215659,CMCC-ESM2
2050,-0.33877276317829036,-0.5506282145188035,-0.30324940851933535,CMCC-ESM2
2051,-0.367157507125375,-0.7309180278454211,-0.36275719120704125,CMCC-ESM2
2052,-0.4053504298542228,-0.5877741705368734,-0.3191189275446144,CMCC-ESM2
2053,-0.39143747502935367,-0.6241687540600034,-0.38883809556010346,CMCC-ESM2
2054,-0.3615960343516231,-0.6019300517858802,-0.302756784509296,CMCC-ESM2
2055,-0.35093734887570543,-0.6321829506683204,-0.30472281303547416,CMCC-ESM2
2056,-0.39818471894911195,-0.728393802309447,-0.3298584170653811,CMCC-ESM2
2057,-0.3794837107431644,-0.6847825588567854,-0.31236536765410033,CMCC-ESM2
2058,-0.3814435660263836,-0.6231226077601991,-0.3674259785111789,CMCC-ESM2
2059,-0.3698757771448263,-0.557714980289984,-0.29708969389665385,CMCC-ESM2
2060,-0.3603080593945612,-0.6709202914190546,-0.3000798789019745,CMCC-ESM2
2061,-0.3687586299614484,-0.7068343891333455,-0.3020811849552021,CMCC-ESM2
2062,-0.3348488563829499,-0.6113782343106255,-0.2908808957218698,CMCC-ESM2
2063,-0.3730385754286387,-0.6602298567286681,-0.31698684986959574,CMCC-ESM2
2064,-0.347695796253738,-0.6608144412010115,-0.2524146442227441,CMCC-ESM2
2065,-0.3641634832124701,-0.6464259971478505,-0.2696067180041795,CMCC-ESM2
2066,-0.30526955284003837,-0.6684694231478097,-0.2321065525946235,CMCC-ESM2
2067,-0.3542569649140875,-0.6278234408152309,-0.2582169783650218,CMCC-ESM2
2068,-0.35194620735539206,-0.5814538303776299,-0.28592480233971773,CMCC-ESM2
2069,-0.2973997749280787,-0.6673895183017325,-0.1906122343091379,CMCC-ESM2
2070,-0.3018202171693871,-0.6510327335406139,-0.1796508303459473,CMCC-ESM2
2071,-0.37890551287338786,-0.6805397190171404,-0.3327058317595374,CMCC-ESM2
2072,-0.3740382598751866,-0.6747860787758374,-0.26931638969531874,CMCC-ESM2
2073,-0.35502696260644434,-0.6665502894899262,-0.29900278711510525,CMCC-ESM2
2074,-0.3519940670810722,-0.7188717148830124,-0.29145149416211397,CMCC-ESM2
2075,-0.35095955736185563,-0.6066112947301623,-0.22714463667244036,CMCC-ESM2
2076,-0.3725481527819368,-0.66439309898832,-0.30512700736591236,CMCC-ESM2
2077,-0.3170191850161502,-0.6133218821948351,-0.19499315907675266,CMCC-ESM2
2078,-0.3385936089485417,-0.684588054382343,-0.23560307326031277,CMCC-ESM2
2079,-0.3339607719269737,-0.7168749320143628,-0.1895508894183815,CMCC-ESM2
2080,-0.3648427482647807,-0.6433686638467373,-0.295302548539482,CMCC-ESM2
2081,-0.36063016171107365,-0.6816998407582076,-0.25613342396061745,CMCC-ESM2
2082,-0.27984414316799006,-0.6484894712341968,-0.2189505330498797,CMCC-ESM2
2083,-0.3053016453560173,-0.6470844929117454,-0.16624573534815226,CMCC-ESM2
2084,-0.3645837683866409,-0.6122241598272016,-0.22412891109145,CMCC-ESM2
2085,-0.32414039507985476,-0.644109336990245,-0.16652853936794149,CMCC-ESM2
2086,-0.3147938923016811,-0.6766774117594745,-0.20155723178737037,CMCC-ESM2
2087,-0.30430054696837044,-0.7076945115845837,-0.17889450299423962,CMCC-ESM2
2088,-0.3362221716181813,-0.591326724384606,-0.17645146228060685,CMCC-ESM2
2089,-0.3392617336036485,-0.6572722733797819,-0.22142766115221843,CMCC-ESM2
2090,-0.3192639986424855,-0.7240310158782354,-0.15369834226175452,CMCC-ESM2
2091,-0.31765289483453346,-0.7278902919989262,-0.18779949963373518,CMCC-ESM2
2092,-0.32116635848406944,-0.6811466049284357,-0.16501369934023902,CMCC-ESM2
2093,-0.2846848588055803,-0.6011121119121904,-0.10777794407295327,CMCC-ESM2
2094,-0.27993733881543253,-0.6976361092471388,-0.11633743796997267,CMCC-ESM2
2095,-0.3467822387611812,-0.6712999352666559,-0.18297040900115513,CMCC-ESM2
2096,-0.3577556161300269,-0.6240782528748811,-0.23667853732508265,CMCC-ESM2
2097,-0.31877505806233736,-0.6990604431470503,-0.11319458488259058,CMCC-ESM2
2098,-0.32981263028825164,-0.6572364919035727,-0.14257632236692425,CMCC-ESM2
2099,-0.3242050286919916,-0.6370788167981086,-0.20983998942272966,CMCC-ESM2
2100,-0.32808005004890745,-0.6875124446058368,-0.21124631460870702,CMCC-ESM2
