Year,Annual,Summer,Winter,Model
2015,-0.1399381446958612,-0.3374790903249951,-0.047100256657373614,CMCC-ESM2
2016,-0.13745235799921662,-0.3845223645910613,-0.06025596722510008,CMCC-ESM2
2017,-0.17740733899167002,-0.49156752614709714,-0.03361827844411921,CMCC-ESM2
2018,-0.13306755474302032,-0.4743278808441288,0.0010013744272402536,CMCC-ESM2
2019,-0.19688298574386207,-0.34056391597896996,-0.09953990299672238,CMCC-ESM2
2020,-0.14697113945103177,-0.40118771902558414,-0.002436140763510873,CMCC-ESM2
2021,-0.15492969891224748,-0.43180653514631834,-0.03857509044872979,CMCC-ESM2
2022,-0.11893488480675264,-0.47479141330881675,0.0014503857987636514,CMCC-ESM2
2023,-0.15378524238734995,-0.4075957095764482,-0.026901777831036845,CMCC-ESM2
2024,-0.14478301159102328,-0.4229434963085205,-0.026560053072550924,CMCC-ESM2
2025,-0.14964221614414905,-0.3528225595063056,-0.041222506100192874,CMCC-ESM2
2026,-0.15927908885324096,-0.47824677772161944,-0.02222791926422044,CMCC-ESM2
2027,-0.161188560963892,-0.4756983298542701,-0.007371883579795021,CMCC-ESM2
2028,-0.1512504139054688,-0.3339367046607212,-0.05905799165913979,CMCC-ESM2
2029,-0.08936286880828169,-0.33904386444865225,0.007956581168351462,CMCC-ESM2
2030,-0.11575587109007608,-0.4282407276076833,-0.018272650309427606,CMCC-ESM2
2031,-0.132926970309583,-0.4840158389283455,-0.010078767659122433,CMCC-ESM2
2032,-0.16057249048902789,-0.49572930641642715,-0.03674627044452885,CMCC-ESM2
2033,-0.1643189722560862,-0.4235749929421595,-0.008747988833395292,CMCC-ESM2
2034,-0.1918960418548746,-0.4440909236384383,-0.08951244818334876,CMCC-ESM2
2035,-0.17628574460002167,-0.3453689234600685,-0.031114943297342802,CMCC-ESM2
2036,-0.175368731385627,-0.5309796196932397,-0.05513773404797061,CMCC-ESM2
2037,-0.24213775344417934,-0.45394128341339357,-0.08349700607713102,CMCC-ESM2
2038,-0.1770833625438757,-0.4483706499612081,-0.052831159421652674,CMCC-ESM2
2039,-0.15692083617637453,-0.41005387714147373,-0.023325753759753435,CMCC-ESM2
2040,-0.11666649295807137,-0.43583267816854815,-0.0026148363079671814,CMCC-ESM2
2041,-0.15689057347514057,-0.3695946434708352,-0.04747158781726007,CMCC-ESM2
2042,-0.12926272127087224,-0.3935276809611257,-0.011974599007205327,CMCC-ESM2
2043,-0.13392670785176986,-0.46978180803330005,-0.012319847589314073,CMCC-ESM2
2044,-0.14055073850989588,-0.41535000652524723,-0.014104740314128306,CMCC-ESM2
2045,-0.12243517472339238,-0.4448441991940864,0.011608329989625452,CMCC-ESM2
2046,-0.15471481663196426,-0.4674742728396957,-0.007344917431666973,CMCC-ESM2
2047,-0.1498030402040886,-0.48702968033949334,-0.02429222900658557,CMCC-ESM2
2048,-0.1541648799228566,-0.4546077395599199,-0.04425389309120909,CMCC-ESM2
2049,-0.12320008318162222,-0.42796728624093394,-0.006324177346406934,CMCC-ESM2
2050,-0.150073943201003,-0.46117492919089653,-0.045825990536156956,CMCC-ESM2
2051,-0.16192756389887383,-0.5546725634836611,-0.02624772236594838,CMCC-ESM2
2052,-0.21050816075810683,-0.4960499391680512,-0.027232596276898953,CMCC-ESM2
2053,-0.15541189640278147,-0.48124834889762425,-0.05610510564181292,CMCC-ESM2
2054,-0.16661215418116926,-0.4622240571115173,-0.01550972025522713,CMCC-ESM2
2055,-0.16689006138459894,-0.5326369458401371,0.014045906980606841,CMCC-ESM2
2056,-0.19356917185977104,-0.4943763745688826,-0.04071238302588988,CMCC-ESM2
2057,-0.1339649186878153,-0.37356403680579525,0.022029334984362058,CMCC-ESM2
2058,-0.12116771299728037,-0.5081031469950625,-0.009055235165041212,CMCC-ESM2
2059,-0.1538471203513046,-0.4877380262658177,-0.0054135676272382815,CMCC-ESM2
2060,-0.17583813482885235,-0.4925472845367676,-0.013443429143682652,CMCC-ESM2
2061,-0.11614470068155629,-0.5127633364776388,0.004712364639080546,CMCC-ESM2
2062,-0.14396064872389422,-0.4430967921282141,-0.012345831865172678,CMCC-ESM2
2063,-0.11571539067285846,-0.4778133736185108,0.0071357846494733285,CMCC-ESM2
2064,-0.09318689866433567,-0.47348279908615387,0.04951887929358791,CMCC-ESM2
2065,-0.1269681977157744,-0.5024371043322834,0.05191575942868543,CMCC-ESM2
2066,-0.16558269931477893,-0.548497271022251,-0.043740830672098836,CMCC-ESM2
2067,-0.15867420549333835,-0.5327358007715813,0.02984683618928395,CMCC-ESM2
2068,-0.18117893402478238,-0.4618440428144841,-0.020547691190950474,CMCC-ESM2
2069,-0.13615710647438758,-0.5201396592471023,0.0024336665535461305,CMCC-ESM2
2070,-0.12500310675359097,-0.570648567464078,0.04394477131368509,CMCC-ESM2
2071,-0.18795723929777555,-0.5056139049734149,-0.09087192323312425,CMCC-ESM2
2072,-0.12341407368948426,-0.5817135623212306,0.03667797138717944,CMCC-ESM2
2073,-0.14139784949402268,-0.5370400341539052,0.026486957603203055,CMCC-ESM2
2074,-0.16709062434313507,-0.578145367518072,-0.058317805380312226,CMCC-ESM2
2075,-0.19641683692031267,-0.562089807377035,-0.04979918090533323,CMCC-ESM2
2076,-0.17790588724462517,-0.4927309131103803,-0.03618288484868639,CMCC-ESM2
2077,-0.13933226611558988,-0.5467042971318942,0.03221028643912522,CMCC-ESM2
