Year,Annual,Summer,Winter,Model
2015,0.00689774561189251,-0.6563121791117088,0.26888615517685727,CMCC-ESM2
2016,-0.07626671218264847,-0.5991717882709541,0.21475431174731627,CMCC-ESM2
2017,-0.051866919063164284,-0.5829269799128517,0.2070807825256598,CMCC-ESM2
2018,-0.12240796294797958,-0.5121257991949281,0.15318328095800363,CMCC-ESM2
2019,-0.030269285139429752,-0.5391597592667265,0.3057557636955364,CMCC-ESM2
2020,-0.005886520164233698,-0.5224649350828926,0.23169494899598606,CMCC-ESM2
2021,-0.05591586311413264,-0.5609282392957187,0.2121204160745396,CMCC-ESM2
2022,-0.12177777502199943,-0.5578992446691243,0.1728106869909672,CMCC-ESM2
2023,-0.08163163136625078,-0.5967627119692765,0.15102183748548065,CMCC-ESM2
2024,-0.05640291683739218,-0.5051914219117294,0.19632384972593064,CMCC-ESM2
2025,-0.019568457609668258,-0.5300914408976737,0.23955703822111027,CMCC-ESM2
2026,-0.02293192499416301,-0.5837992980987095,0.2755551122951679,CMCC-ESM2
2027,-0.07333674216192353,-0.5741843978478574,0.19065617986925198,CMCC-ESM2
2028,-0.06447651128608699,-0.5402040162156938,0.23936463359939916,CMCC-ESM2
2029,-0.1218734268329154,-0.530287188480696,0.13732861345984942,CMCC-ESM2
2030,-0.04261498604470967,-0.5054864641992435,0.19595786496055242,CMCC-ESM2
2031,-0.049314746758191134,-0.5380918746413036,0.22427345394669407,CMCC-ESM2
2032,-0.060714972894486595,-0.5795376138674612,0.1997956562023696,CMCC-ESM2
2033,-0.1387255327925516,-0.6271380263402087,0.03434179496482327,CMCC-ESM2
2034,-0.022902839379247183,-0.4902687568991773,0.23162057757615132,CMCC-ESM2
2035,-0.0756528391627858,-0.5111097496362081,0.11017610071930381,CMCC-ESM2
2036,-0.0691884089135048,-0.480399405256167,0.13094897489743076,CMCC-ESM2
2037,-0.017185645233048035,-0.4786427327124864,0.21461011077253486,CMCC-ESM2
2038,-0.04698878005668745,-0.6251363281528959,0.17901671835475647,CMCC-ESM2
2039,-0.10219212097152001,-0.5680311369958826,0.13027406794883384,CMCC-ESM2
2040,-0.09693118074432021,-0.5129895791544645,0.18020493248121605,CMCC-ESM2
2041,-0.08407424414486027,-0.5867032269398418,0.1655105689966111,CMCC-ESM2
2042,-0.08987065796202875,-0.42356184533833324,0.11380883378683831,CMCC-ESM2
2043,-0.05742209927138115,-0.48977153324953404,0.20596990665451825,CMCC-ESM2
2044,-0.10554861558986998,-0.5760096591968442,0.1190084467217118,CMCC-ESM2
2045,-0.14686458225443316,-0.5904526083202736,0.0705557034265775,CMCC-ESM2
2046,-0.1462258734060048,-0.48241819018741255,0.052579038182185046,CMCC-ESM2
2047,-0.09114788824737126,-0.46662986117691546,0.11694482541309043,CMCC-ESM2
2048,-0.08494738255325711,-0.5286463813639304,0.16693201091379092,CMCC-ESM2
2049,-0.11946284069847567,-0.5863742731281893,0.10798068888218054,CMCC-ESM2
2050,-0.06572930425032768,-0.4927477007200921,0.20258726555173234,CMCC-ESM2
2051,-0.0881676304501247,-0.5918507628432521,0.1231989361417017,CMCC-ESM2
2052,-0.06635184649877457,-0.5022862925164082,0.14609733241990683,CMCC-ESM2
2053,-0.11212258808480154,-0.49958258458415444,0.07999235285316467,CMCC-ESM2
2054,-0.10117743645485182,-0.5054665244161495,0.10174091590290292,CMCC-ESM2
2055,-0.11418546364090787,-0.4433542331055542,0.02615733359116046,CMCC-ESM2
2056,-0.04121856371403431,-0.5285493951515418,0.15283979984167667,CMCC-ESM2
2057,-0.13308191908275166,-0.555551260039403,0.09244842635024188,CMCC-ESM2
2058,-0.056825000751278554,-0.413764180101003,0.19908138661601735,CMCC-ESM2
2059,-0.07910854809609186,-0.42050665543608895,0.13548184209462702,CMCC-ESM2
2060,-0.03096914077744629,-0.4499658128220477,0.15980945326926618,CMCC-ESM2
2061,-0.06328929855680641,-0.5175400765414994,0.14985109554806475,CMCC-ESM2
2062,-0.07104516028789758,-0.47126477838796627,0.17618812458901173,CMCC-ESM2
2063,-0.10729909801162751,-0.43512871676236725,0.046484176542917865,CMCC-ESM2
2064,-0.1144823605065506,-0.43025134955690614,0.058338536382874034,CMCC-ESM2
2065,-0.10338727810697491,-0.5338810924201751,0.12394200329905791,CMCC-ESM2
2066,-0.09754477036097005,-0.4729330083017449,0.1428868071733041,CMCC-ESM2
2067,-0.14870750006424271,-0.4682594829826876,0.015392914254861634,CMCC-ESM2
2068,-0.08254922515566211,-0.43199075854991587,0.0941230798328715,CMCC-ESM2
2069,-0.09294884342440103,-0.5271285022853305,0.08629669494617824,CMCC-ESM2
2070,-0.06802422696743189,-0.4437065035216522,0.16913170384900703,CMCC-ESM2
2071,-0.005937027870250439,-0.5178132252763858,0.28190645690253874,CMCC-ESM2
2072,-0.11941886822341814,-0.48644159660418745,0.07824340516221663,CMCC-ESM2
2073,-0.07199053178411048,-0.4598915714004341,0.11112952912777617,CMCC-ESM2
2074,-0.02104695267763369,-0.49781132916258775,0.2725456265885644,CMCC-ESM2
2075,-0.06725980807787311,-0.4066970880116553,0.1902666304146986,CMCC-ESM2
2076,-0.010545273399985558,-0.45058744040379506,0.2683512341775543,CMCC-ESM2
2077,-0.15165971320557367,-0.4576854844457332,0.003720083584078612,CMCC-ESM2
2078,-0.08514971716465182,-0.4342027265303742,0.11701777996520403,CMCC-ESM2
2079,-0.07892942470464746,-0.42899546946871053,0.07536834291476077,CMCC-ESM2
2080,0.04328059165979075,-0.448642465119322,0.3456577014921969,CMCC-ESM2
2081,-0.0663541148532444,-0.41674100822319743,0.1733590536480136,CMCC-ESM2
2082,-0.1531794152420273,-0.4174218068328587,-0.0019165962359380113,CMCC-ESM2
2083,-0.09954604644488946,-0.466896736685706,0.05358052722997724,CMCC-ESM2
2084,-0.043362854697360065,-0.36833278779387413,0.13362328324196018,CMCC-ESM2
2085,-0.10042504652692487,-0.4594396386994001,0.044659208995692756,CMCC-ESM2
2086,-0.014384792999761682,-0.41650268281490693,0.24694909399689507,CMCC-ESM2
2087,-0.06499187510006511,-0.44965672397100925,0.14005289672051602,CMCC-ESM2
2088,-0.18792388378318226,-0.4045788380756364,-0.028658244426731618,CMCC-ESM2
2089,-0.07644182690749939,-0.4629556029974528,0.15947617512477935,CMCC-ESM2
2090,-0.07251878116644551,-0.4456220042254027,0.06214113842061182,CMCC-ESM2
2091,-0.07328082612504494,-0.49802116324398055,0.14105226573147178,CMCC-ESM2
2092,-0.07914723031940736,-0.5015874363771988,0.11768562677847917,CMCC-ESM2
2093,-0.12584764855990646,-0.3815952445187055,-0.02454095997240853,CMCC-ESM2
2094,-0.08344478990650213,-0.4449555997722188,0.06296675749952345,CMCC-ESM2
2095,-0.06935012567681119,-0.46890428212778557,0.17782865849454124,CMCC-ESM2
2096,-0.06693940527025684,-0.36610733523051936,0.15973559405909046,CMCC-ESM2
2097,-0.13432626869596367,-0.47427032937941066,0.047354262688945645,CMCC-ESM2
2098,-0.12362329542921706,-0.36912624094579594,-0.0010001142302457266,CMCC-ESM2
2099,-0.11292632587428166,-0.4513085528803252,0.06725761613739735,CMCC-ESM2
2100,-0.05012331406139566,-0.4193334117343832,0.1441149122606765,CMCC-ESM2
