Year,Annual,Summer,Winter,Model
2015,-0.18053883638514337,-0.6905068137265087,-0.00938801445720025,CMCC-ESM2
2016,-0.21708370376908195,-0.6711029947160191,-0.022790981411782246,CMCC-ESM2
2017,-0.19975834811602644,-0.6642779980796415,-0.03999215120231145,CMCC-ESM2
2018,-0.2579973778981994,-0.6268854056622664,-0.10018236790362832,CMCC-ESM2
2019,-0.20010487101816168,-0.6166728707574243,-0.01828439884984292,CMCC-ESM2
2020,-0.14771991000938675,-0.5479372223631561,-0.05388772890744644,CMCC-ESM2
2021,-0.16724440644465147,-0.6569191778800081,-0.008372099581499095,CMCC-ESM2
2022,-0.23713425519369982,-0.6098990138151602,-0.07539000845274368,CMCC-ESM2
2023,-0.1977805616511621,-0.6638962067410987,-0.017393384636564282,CMCC-ESM2
2024,-0.20825225548668155,-0.6650264068781464,-0.059149392165173065,CMCC-ESM2
2025,-0.19995198488666976,-0.600202845044867,-0.028839715110539944,CMCC-ESM2
2026,-0.1549551516978092,-0.6528502577362904,0.0028623091740543278,CMCC-ESM2
2027,-0.22342195207130322,-0.6198120372196426,-0.06804163541825631,CMCC-ESM2
2028,-0.2161821363812225,-0.673003848472884,-0.03734809721283334,CMCC-ESM2
2029,-0.24861849477471334,-0.6685832385415574,-0.09821475172871597,CMCC-ESM2
2030,-0.226576746425312,-0.6257040998724538,-0.04363242096957393,CMCC-ESM2
2031,-0.27203521480394255,-0.6280562310577369,-0.12490975031715554,CMCC-ESM2
2032,-0.22559462690241408,-0.6797640563203238,-0.11335480965785014,CMCC-ESM2
2033,-0.22508605020396225,-0.6465061873617608,-0.11402370617484159,CMCC-ESM2
2034,-0.15858515600657955,-0.630284391964904,0.02034644553343044,CMCC-ESM2
2035,-0.1588936205187008,-0.6319665966650788,0.00627160365034472,CMCC-ESM2
2036,-0.17191915653124137,-0.6104889275372972,0.02878832566816541,CMCC-ESM2
2037,-0.17952535317245108,-0.5825640490050009,-0.02251870495244482,CMCC-ESM2
2038,-0.20646616667625395,-0.6930392245987135,-0.04345808521267348,CMCC-ESM2
2039,-0.20980727416300304,-0.6527484015967314,-0.04927876345965,CMCC-ESM2
2040,-0.2067855000672605,-0.632179438973836,-0.029812601614377533,CMCC-ESM2
2041,-0.24752504642846837,-0.6388363063963166,-0.10428666042576262,CMCC-ESM2
2042,-0.17457753779695614,-0.6551350614428986,-0.06262239835136477,CMCC-ESM2
2043,-0.20247317473171236,-0.6453505619561678,-0.01465443436899353,CMCC-ESM2
2044,-0.216117205552304,-0.6680382002089346,-0.04439168012656413,CMCC-ESM2
2045,-0.2819996174581741,-0.6569797985854303,-0.171321788810303,CMCC-ESM2
2046,-0.25737304917490444,-0.603185326467536,-0.1297366085833397,CMCC-ESM2
2047,-0.1722996924304513,-0.5723476177524074,-0.024502519133244093,CMCC-ESM2
2048,-0.14106596249576397,-0.6164351470142764,0.053421737915623185,CMCC-ESM2
2049,-0.22791180649469525,-0.677152802735734,-0.03942964565984539,CMCC-ESM2
2050,-0.23486346162635774,-0.5994416375150633,-0.040619032976798794,CMCC-ESM2
2051,-0.20676579513406287,-0.6552940666726662,-0.07395910729261979,CMCC-ESM2
2052,-0.22644223018391077,-0.610718758596661,-0.09068470783121267,CMCC-ESM2
2053,-0.19069717220152763,-0.6364547476144494,-0.013146848288534666,CMCC-ESM2
2054,-0.18229221171612406,-0.5928648955704806,-0.05583888368649161,CMCC-ESM2
2055,-0.17653592239305824,-0.5892034932456068,-0.08258147647281322,CMCC-ESM2
2056,-0.15378093584331104,-0.6936801751116934,-0.00016125043878085368,CMCC-ESM2
2057,-0.2595605752910695,-0.6400746731603403,-0.11695628223692851,CMCC-ESM2
2058,-0.18822374617110227,-0.6029771198829197,-0.05671375921222529,CMCC-ESM2
2059,-0.1675149904614733,-0.5301063791310113,-0.02255080795165349,CMCC-ESM2
2060,-0.11754819330230419,-0.539488265948459,-0.0002153593459705117,CMCC-ESM2
2061,-0.21233259254974227,-0.628858622997482,-0.05862339247957673,CMCC-ESM2
2062,-0.21298576998708954,-0.6031240688084409,-0.042302917635455635,CMCC-ESM2
2063,-0.18944122455284126,-0.5611199467355432,-0.07464949168953916,CMCC-ESM2
2064,-0.24914359085829185,-0.6110248093438724,-0.11613045453527564,CMCC-ESM2
2065,-0.27526377691628745,-0.6420826009229396,-0.12113867424780092,CMCC-ESM2
2066,-0.18884473775823404,-0.583618030209615,0.008568051186594415,CMCC-ESM2
2067,-0.205641702181982,-0.5566386853601643,-0.10291598976859816,CMCC-ESM2
2068,-0.14627162341660535,-0.5620316050104945,-0.006111590945512232,CMCC-ESM2
2069,-0.16037929693487432,-0.6252125586216828,0.020878222423570517,CMCC-ESM2
2070,-0.18752398019272198,-0.5527094004091985,-0.03446040386499799,CMCC-ESM2
2071,-0.17299776168808065,-0.6390250911437958,0.07841437887730239,CMCC-ESM2
2072,-0.1750152617427215,-0.5713527374647962,-0.05104520850822403,CMCC-ESM2
2073,-0.20672751752614085,-0.6098523851335017,-0.07293890305910289,CMCC-ESM2
2074,-0.15635809385107177,-0.5691100901499265,0.06736899629948875,CMCC-ESM2
2075,-0.10196799394007781,-0.5489820749376726,0.12227305446320581,CMCC-ESM2
2076,-0.1582839236921024,-0.5713868555634055,0.0384882529848507,CMCC-ESM2
2077,-0.1984501989782761,-0.5625993251650077,-0.10133059065784643,CMCC-ESM2
2078,-0.14152981483905566,-0.5436568436774953,0.005906302518466028,CMCC-ESM2
2079,-0.17122567744667527,-0.5731486750171316,-0.028552804164239866,CMCC-ESM2
2080,-0.13879904394431322,-0.6066947319135203,0.0857973473959998,CMCC-ESM2
2081,-0.15035307107560966,-0.5755714558207657,0.0447496619344967,CMCC-ESM2
2082,-0.22345003487899762,-0.5366914249223749,-0.09008660059831551,CMCC-ESM2
2083,-0.21277610200617345,-0.5540986812065661,-0.122597353098158,CMCC-ESM2
2084,-0.13141113243803507,-0.4970357580744601,-0.04341310278324792,CMCC-ESM2
2085,-0.1474695575487349,-0.5903212705201489,-0.04380418522014218,CMCC-ESM2
2086,-0.1562751595601319,-0.520165161498608,0.03297991501139714,CMCC-ESM2
2087,-0.1751276275654244,-0.5575743978708453,-3.42329406158325e-05,CMCC-ESM2
2088,-0.19461786844460752,-0.4804464491444163,-0.07774309735625366,CMCC-ESM2
2089,-0.11581628427097261,-0.5501684770185873,0.08461162354900892,CMCC-ESM2
2090,-0.10059683440140273,-0.5436988129861362,0.032265281273482445,CMCC-ESM2
2091,-0.1316952603788347,-0.5449459487696616,0.04592135100993906,CMCC-ESM2
2092,-0.16522846504348943,-0.6247037762020918,0.005076717987244316,CMCC-ESM2
2093,-0.15233662782085108,-0.4488852804529612,-0.022078064372102968,CMCC-ESM2
2094,-0.07670150661422773,-0.5614457453223071,0.06620172230904421,CMCC-ESM2
2095,-0.1037843424538506,-0.5875080916614158,0.09654978899137728,CMCC-ESM2
2096,-0.13508626586242947,-0.5457690767369969,0.033668613539241825,CMCC-ESM2
2097,-0.1550021331587633,-0.6106389810382802,0.023557751776339526,CMCC-ESM2
2098,-0.13459497762772912,-0.5054294398871106,-0.02648999386441859,CMCC-ESM2
2099,-0.2075085816535004,-0.5393563190207994,-0.07187247508150636,CMCC-ESM2
2100,-0.12641074622393308,-0.541875154667417,-0.01868606310874258,CMCC-ESM2
