Year,Annual,Summer,Winter,Model
2015,96.09135,34.275047302246094,134.27984619140625,CMCC-ESM2
2016,93.428444,37.11216354370117,127.60860443115234,CMCC-ESM2
2017,91.02134,34.83560562133789,126.82071685791016,CMCC-ESM2
2018,90.70597,36.0629997253418,124.40413665771484,CMCC-ESM2
2019,90.22347,33.8013916015625,122.6087646484375,CMCC-ESM2
2020,91.56583,33.96031188964844,129.29510498046875,CMCC-ESM2
2021,91.3509,36.13811111450195,124.0499267578125,CMCC-ESM2
2022,94.54772,41.23573684692383,128.5431671142578,CMCC-ESM2
2023,90.012566,33.51310348510742,126.40047454833984,CMCC-ESM2
2024,89.476654,32.24406814575195,124.61629486083984,CMCC-ESM2
2025,92.85746,35.99483108520508,126.74942779541016,CMCC-ESM2
2026,90.651375,39.22216033935547,123.56684112548828,CMCC-ESM2
2027,87.84558,30.705659866333008,122.24728393554688,CMCC-ESM2
2028,91.4654,37.08149337768555,123.9865951538086,CMCC-ESM2
2029,91.79624,38.09260177612305,125.1989974975586,CMCC-ESM2
2030,88.204765,30.0208740234375,125.30975341796875,CMCC-ESM2
2031,87.78547,30.76049041748047,122.00341033935547,CMCC-ESM2
2032,88.55962,32.25094985961914,122.86539459228516,CMCC-ESM2
2033,89.4173,34.12652587890625,123.86454010009766,CMCC-ESM2
2034,92.71957,33.869205474853516,127.66141510009766,CMCC-ESM2
2035,91.00732,37.256263732910156,123.31838989257812,CMCC-ESM2
2036,87.54484,33.791507720947266,123.92940521240234,CMCC-ESM2
2037,90.381966,35.54659652709961,124.46762084960938,CMCC-ESM2
2038,94.059235,37.26814270019531,128.572265625,CMCC-ESM2
2039,91.66129,37.20986557006836,126.26200103759766,CMCC-ESM2
2040,89.081024,31.234586715698242,123.7353744506836,CMCC-ESM2
2041,91.60742,34.4813232421875,126.5864486694336,CMCC-ESM2
2042,93.88529,38.14686965942383,128.4540557861328,CMCC-ESM2
2043,88.45941,34.272159576416016,120.08255767822266,CMCC-ESM2
2044,92.51019,39.901641845703125,124.23653411865234,CMCC-ESM2
2045,92.29794,38.375038146972656,126.5240478515625,CMCC-ESM2
2046,87.35949,32.65237808227539,121.38763427734375,CMCC-ESM2
2047,90.988625,39.501827239990234,123.10091400146484,CMCC-ESM2
2048,90.86108,36.88410949707031,124.51102447509766,CMCC-ESM2
2049,88.551,35.79448318481445,119.5561752319336,CMCC-ESM2
2050,87.11126,37.64796829223633,118.48672485351562,CMCC-ESM2
2051,88.25274,37.57973861694336,120.97689056396484,CMCC-ESM2
2052,85.461586,31.9525089263916,120.23247528076172,CMCC-ESM2
2053,84.17264,32.26727294921875,116.48531341552734,CMCC-ESM2
2054,89.33603,34.86338806152344,123.60601043701172,CMCC-ESM2
2055,88.69528,40.0737419128418,120.1673355102539,CMCC-ESM2
2056,88.81782,36.78911209106445,124.6106948852539,CMCC-ESM2
2057,88.63596,36.23821258544922,120.65484619140625,CMCC-ESM2
2058,87.549126,40.36372756958008,119.91703033447266,CMCC-ESM2
2059,87.5661,38.47712707519531,119.62032318115234,CMCC-ESM2
2060,87.35107,36.1369743347168,121.34757232666016,CMCC-ESM2
2061,88.05771,37.57301712036133,119.67208099365234,CMCC-ESM2
2062,88.17428,38.92076873779297,118.97784423828125,CMCC-ESM2
2063,89.65357,38.295169830322266,122.04559326171875,CMCC-ESM2
2064,88.24737,36.83799362182617,121.23506927490234,CMCC-ESM2
2065,84.200966,32.750728607177734,117.38330078125,CMCC-ESM2
2066,86.646095,35.898406982421875,116.30205535888672,CMCC-ESM2
2067,88.167725,34.47977828979492,121.3314208984375,CMCC-ESM2
2068,88.37731,35.57919692993164,122.15582275390625,CMCC-ESM2
2069,88.3276,38.59268569946289,119.818359375,CMCC-ESM2
2070,88.002556,37.57570266723633,120.35665130615234,CMCC-ESM2
2071,86.19913,36.319091796875,117.2972640991211,CMCC-ESM2
2072,86.50478,36.0078010559082,117.05459594726562,CMCC-ESM2
2073,83.35836,30.95757484436035,115.27115631103516,CMCC-ESM2
2074,87.5202,35.74644470214844,120.74633026123047,CMCC-ESM2
2075,85.74833,34.781795501708984,115.2970962524414,CMCC-ESM2
2076,85.73528,35.01625442504883,118.55635833740234,CMCC-ESM2
2077,84.83128,37.19840621948242,113.2838363647461,CMCC-ESM2
2078,87.16572,35.45634460449219,119.06771087646484,CMCC-ESM2
2079,85.55539,37.23812484741211,117.29300689697266,CMCC-ESM2
2080,83.56934,35.24650573730469,114.62496185302734,CMCC-ESM2
2081,81.477356,32.96029281616211,114.38592529296875,CMCC-ESM2
2082,82.37195,33.38099670410156,112.46109008789062,CMCC-ESM2
2083,86.12905,40.55699920654297,115.28363037109375,CMCC-ESM2
2084,83.81599,36.33675003051758,116.89523315429688,CMCC-ESM2
2085,86.50601,37.40787887573242,117.56085968017578,CMCC-ESM2
2086,81.35145,28.419591903686523,113.79068756103516,CMCC-ESM2
2087,82.38223,33.59709167480469,111.00069427490234,CMCC-ESM2
2088,86.2864,40.4358024597168,114.72806549072266,CMCC-ESM2
2089,87.43094,37.57197570800781,116.7084732055664,CMCC-ESM2
2090,85.35916,35.36088180541992,117.9438247680664,CMCC-ESM2
2091,84.678825,39.5450325012207,114.13278198242188,CMCC-ESM2
2092,85.24694,37.34695053100586,114.33206176757812,CMCC-ESM2
2093,81.13047,32.2628288269043,112.63716888427734,CMCC-ESM2
2094,81.87917,34.817832946777344,112.24275970458984,CMCC-ESM2
2095,81.4164,33.66474914550781,110.8554458618164,CMCC-ESM2
2096,85.62655,45.908748626708984,112.74282836914062,CMCC-ESM2
2097,85.92202,39.332794189453125,113.85868072509766,CMCC-ESM2
