Year,Annual,Summer,Winter,Model
2015,72.18688,160.1104278564453,7.643518447875977,CMCC-ESM2
2016,73.95176,163.78326416015625,7.798637390136719,CMCC-ESM2
2017,73.12675,158.31890869140625,8.189543724060059,CMCC-ESM2
2018,70.3269,155.8235321044922,8.043340682983398,CMCC-ESM2
2019,72.05278,156.49798583984375,7.810418605804443,CMCC-ESM2
2020,73.79104,163.1779022216797,8.116976737976074,CMCC-ESM2
2021,72.85897,160.39393615722656,8.065999984741211,CMCC-ESM2
2022,73.34551,160.5878448486328,8.408463478088379,CMCC-ESM2
2023,72.63735,157.95921325683594,8.03515338897705,CMCC-ESM2
2024,72.977684,160.31858825683594,8.004008293151855,CMCC-ESM2
2025,71.70573,158.4057159423828,8.005325317382812,CMCC-ESM2
2026,72.60647,158.2767791748047,7.853776931762695,CMCC-ESM2
2027,72.07853,159.21307373046875,8.076478004455566,CMCC-ESM2
2028,71.10425,157.1581268310547,7.902781963348389,CMCC-ESM2
2029,72.15801,160.4694366455078,8.00260066986084,CMCC-ESM2
2030,73.31832,159.3951873779297,7.803348541259766,CMCC-ESM2
2031,71.87359,156.7100372314453,7.967617511749268,CMCC-ESM2
2032,72.09793,158.7472686767578,7.922080993652344,CMCC-ESM2
2033,71.83839,155.41761779785156,7.9581170082092285,CMCC-ESM2
2034,72.851074,161.68923950195312,7.883628845214844,CMCC-ESM2
2035,72.171394,156.88235473632812,7.84760856628418,CMCC-ESM2
2036,72.68527,157.46559143066406,7.83325719833374,CMCC-ESM2
2037,73.172356,158.19903564453125,7.690809726715088,CMCC-ESM2
2038,71.93818,157.0654296875,8.058008193969727,CMCC-ESM2
2039,71.39956,153.24412536621094,8.004688262939453,CMCC-ESM2
2040,71.69801,155.8415069580078,7.67633056640625,CMCC-ESM2
2041,71.49386,156.6400146484375,7.704296112060547,CMCC-ESM2
2042,73.6138,159.2928009033203,7.731166362762451,CMCC-ESM2
2043,72.62801,160.189453125,7.772701263427734,CMCC-ESM2
2044,72.591545,158.9561004638672,7.987046718597412,CMCC-ESM2
2045,71.16584,154.8688201904297,7.7826690673828125,CMCC-ESM2
2046,71.238335,155.0411834716797,7.892714023590088,CMCC-ESM2
2047,72.365166,157.13441467285156,7.555084228515625,CMCC-ESM2
2048,72.11048,154.69541931152344,7.779151439666748,CMCC-ESM2
2049,70.73267,154.48020935058594,7.590787410736084,CMCC-ESM2
2050,71.77301,158.8348388671875,7.70781135559082,CMCC-ESM2
2051,71.5176,157.37811279296875,7.92802619934082,CMCC-ESM2
2052,71.790375,156.3026885986328,7.666208744049072,CMCC-ESM2
2053,72.38895,158.2141571044922,7.619505405426025,CMCC-ESM2
2054,71.57032,153.8124237060547,7.464418888092041,CMCC-ESM2
2055,71.63589,153.4773712158203,7.690431594848633,CMCC-ESM2
2056,71.94443,155.48594665527344,7.232234477996826,CMCC-ESM2
2057,70.91754,153.2493438720703,7.289921283721924,CMCC-ESM2
2058,71.598145,154.8190460205078,7.5410308837890625,CMCC-ESM2
2059,72.14605,158.94459533691406,7.280429840087891,CMCC-ESM2
2060,72.72221,158.4459228515625,7.826467514038086,CMCC-ESM2
2061,70.960014,156.42437744140625,7.6543660163879395,CMCC-ESM2
2062,70.37849,152.01466369628906,7.79931640625,CMCC-ESM2
2063,71.946815,156.40672302246094,7.405200958251953,CMCC-ESM2
2064,71.008736,154.42884826660156,7.4728264808654785,CMCC-ESM2
2065,70.049675,152.97161865234375,7.324787139892578,CMCC-ESM2
2066,70.42068,155.12948608398438,7.253719329833984,CMCC-ESM2
2067,70.31597,151.2897186279297,7.457742691040039,CMCC-ESM2
2068,71.003975,154.1767578125,7.571126461029053,CMCC-ESM2
2069,71.200584,153.14366149902344,7.396595001220703,CMCC-ESM2
2070,70.861145,154.6654815673828,7.422355651855469,CMCC-ESM2
2071,71.0637,153.71710205078125,7.515344142913818,CMCC-ESM2
2072,70.82227,153.2048797607422,7.424733638763428,CMCC-ESM2
2073,70.24984,151.1656951904297,7.288249969482422,CMCC-ESM2
2074,70.87553,153.90216064453125,7.398221969604492,CMCC-ESM2
2075,71.26416,153.5437469482422,7.830390453338623,CMCC-ESM2
2076,70.52668,150.6147003173828,7.245044708251953,CMCC-ESM2
2077,70.08568,151.1529541015625,7.5467848777771,CMCC-ESM2
2078,72.16125,156.39427185058594,7.539723873138428,CMCC-ESM2
2079,70.685555,152.86134338378906,7.381916046142578,CMCC-ESM2
2080,71.18766,155.5866241455078,7.113344669342041,CMCC-ESM2
2081,70.46711,151.21051025390625,7.322216510772705,CMCC-ESM2
2082,70.70003,152.5093536376953,7.443033695220947,CMCC-ESM2
2083,71.50918,155.6376495361328,7.532657623291016,CMCC-ESM2
2084,71.87821,155.20191955566406,7.753889560699463,CMCC-ESM2
2085,70.37422,153.1277618408203,7.164682865142822,CMCC-ESM2
2086,70.30579,149.84988403320312,7.47355842590332,CMCC-ESM2
2087,70.151695,151.88096618652344,7.360888957977295,CMCC-ESM2
2088,70.617836,152.4071807861328,6.994041919708252,CMCC-ESM2
2089,70.287025,152.81040954589844,7.1769866943359375,CMCC-ESM2
2090,70.576164,149.288818359375,7.4412970542907715,CMCC-ESM2
2091,69.49576,149.97352600097656,7.555160045623779,CMCC-ESM2
2092,69.63329,152.13380432128906,6.902781009674072,CMCC-ESM2
2093,70.20954,151.64356994628906,7.637636661529541,CMCC-ESM2
2094,70.2941,149.3490447998047,7.68024206161499,CMCC-ESM2
