Year,Annual,Summer,Winter,Model
2015,-0.007130880840735733,0.37269892134641786,-0.4425937929426804,CMCC-ESM2
2016,-0.045972994813730794,0.4338415812486115,-0.42479294209111995,CMCC-ESM2
2017,0.005851351395467173,0.4852287363742442,-0.4464629263525902,CMCC-ESM2
2018,0.024514526591198304,0.5875910150267389,-0.3744245752236913,CMCC-ESM2
2019,0.027275301585860067,0.24220170675477168,-0.38503011749074456,CMCC-ESM2
2020,-0.06486081520337317,0.4470666967202426,-0.5214516886852485,CMCC-ESM2
2021,0.00476252580411482,0.4439800855272847,-0.39930775086749537,CMCC-ESM2
2022,-0.02374486917372472,0.5509565089841784,-0.4775055664826587,CMCC-ESM2
2023,-0.04865138001361691,0.459909035839225,-0.5724975874474595,CMCC-ESM2
2024,0.0037470587567786096,0.35469953496112067,-0.4149966886459544,CMCC-ESM2
2025,0.0231358285819611,0.386724142916549,-0.39569033088833805,CMCC-ESM2
2026,0.027334903996633353,0.39154666993100257,-0.38286067184142897,CMCC-ESM2
2027,0.004746636263872002,0.487409131657532,-0.43122338609885263,CMCC-ESM2
2028,0.028370340725202708,0.218530521823354,-0.3335426644333306,CMCC-ESM2
2029,-0.04355090695194741,0.41437380906575705,-0.4730211423093881,CMCC-ESM2
2030,0.03890287037835964,0.37340836849076026,-0.36148042665937014,CMCC-ESM2
2031,0.005533015225861114,0.4311589126431531,-0.39834682830244356,CMCC-ESM2
2032,0.014933666851594649,0.40862398788088306,-0.43020416970048087,CMCC-ESM2
2033,-0.011064189924272503,0.26064875441256097,-0.4903314729224405,CMCC-ESM2
2034,-0.03404385915336146,0.26306908196090145,-0.3949468313436116,CMCC-ESM2
2035,0.03876615633193947,0.38892101328840784,-0.36072181268877535,CMCC-ESM2
2036,0.03522074922349244,0.5307277020323896,-0.3303475804445257,CMCC-ESM2
2037,0.06081491960428235,0.3070690521258638,-0.2742287681118338,CMCC-ESM2
2038,-0.030511932132292946,0.2419530366927807,-0.44128168188786265,CMCC-ESM2
2039,-0.05244699795852564,0.47246748430610375,-0.5034880470937385,CMCC-ESM2
2040,-0.010840166102082154,0.3221596129138835,-0.4386956648778653,CMCC-ESM2
2041,-0.0196074503527869,0.3023815320718092,-0.40685495406443,CMCC-ESM2
2042,-0.058844860651120066,0.4399825468085834,-0.459406348082245,CMCC-ESM2
2043,-0.0051136234989671665,0.33048697231722207,-0.43713265298125575,CMCC-ESM2
2044,0.013760395869395842,0.44123067689878,-0.42002238123396946,CMCC-ESM2
2045,0.004410671754135583,0.45974641472750166,-0.35536552394635834,CMCC-ESM2
2046,-0.016071115280450948,0.19853614199759587,-0.47097277309677177,CMCC-ESM2
2047,-0.06110705001632239,0.5181316751106988,-0.4732533907655016,CMCC-ESM2
2048,0.013930135620245539,0.2854428217697547,-0.4363665973752804,CMCC-ESM2
2049,-0.04086180094047267,0.382791987141753,-0.43043136463093645,CMCC-ESM2
2050,-0.008037591549537119,0.2917071161055606,-0.4213300060027756,CMCC-ESM2
2051,0.007885865072385248,0.4847559726636434,-0.470449788487777,CMCC-ESM2
2052,-0.026916290988644776,0.38021437723613954,-0.4843088208638761,CMCC-ESM2
2053,0.014709856486266609,0.39238371858930227,-0.43995665687741203,CMCC-ESM2
2054,0.04135863550711961,0.17096695021889452,-0.3269694576698816,CMCC-ESM2
2055,0.008051997572523808,0.31547180376583644,-0.29792476348874597,CMCC-ESM2
2056,0.014878567083734669,0.32363437256844474,-0.3969184430981896,CMCC-ESM2
2057,-0.0029339788858351637,0.3045223458949347,-0.3358054242764261,CMCC-ESM2
2058,0.0020158430741656166,0.37355740537932086,-0.381643548469874,CMCC-ESM2
2059,-0.024468379805770116,0.261999285978334,-0.4623345617247059,CMCC-ESM2
2060,-0.030650983417464212,0.35807558488673147,-0.4408232541129386,CMCC-ESM2
2061,0.01187968033151141,0.30162109596639536,-0.36691794161717944,CMCC-ESM2
2062,0.028677805521193808,0.21341535947175636,-0.3016929696327267,CMCC-ESM2
2063,-0.01218605415623115,0.3735380275255022,-0.38233070027351224,CMCC-ESM2
2064,-0.02822905083798756,0.4290453088969189,-0.45325361870366965,CMCC-ESM2
2065,0.05433617573674168,0.2312434614647078,-0.34338504318539487,CMCC-ESM2
2066,0.030137886243937446,0.3875917985417535,-0.32358331998920553,CMCC-ESM2
2067,-0.002155665047616511,0.21258362987275917,-0.4249021468944622,CMCC-ESM2
2068,0.01059050050510584,0.24528914796481543,-0.35071501385648557,CMCC-ESM2
2069,0.02783000013679773,0.220351494176743,-0.3052668433789193,CMCC-ESM2
2070,0.06331796111063313,0.38442903336200657,-0.23253103998440078,CMCC-ESM2
2071,0.005039606170011986,0.26927117000776507,-0.3735590227922258,CMCC-ESM2
2072,-0.06015508820199667,0.15573228277422999,-0.4743823247479137,CMCC-ESM2
2073,-0.03339594684911728,0.13982238423541155,-0.3719528635966824,CMCC-ESM2
2074,-0.04914683967853517,0.2843903222340666,-0.3600615662302396,CMCC-ESM2
2075,-0.058669705182488145,0.29694053014616856,-0.4352697343655814,CMCC-ESM2
2076,-0.03437643598597837,0.3192622368659113,-0.4115065339118511,CMCC-ESM2
2077,-0.023681148225536616,0.09664762826469243,-0.34256775682810975,CMCC-ESM2
2078,-0.01062212291249477,0.2795687606114193,-0.33218704302371577,CMCC-ESM2
2079,-0.042642952845121436,0.39427112044266155,-0.41359741705663106,CMCC-ESM2
2080,-0.022175837403036025,0.4240262446752462,-0.4537765081583641,CMCC-ESM2
2081,-0.05203552598972345,0.3070942183001487,-0.46552584425740934,CMCC-ESM2
2082,-0.028958566656779147,0.21581554042214715,-0.39296248279520146,CMCC-ESM2
2083,-0.003379364256905325,0.204626737318076,-0.28385858981610096,CMCC-ESM2
2084,-0.046566424329463015,0.13940170704315694,-0.4013106169879239,CMCC-ESM2
2085,0.013331457081222972,0.382228126341818,-0.3265967277854926,CMCC-ESM2
2086,0.018421203285115508,0.36023977158290604,-0.3112330441080885,CMCC-ESM2
2087,7.310643894488797e-05,0.35734913280299613,-0.3060624216614816,CMCC-ESM2
2088,-0.007805455606346716,0.2642091135811084,-0.3793904516401363,CMCC-ESM2
2089,-0.05764212295883612,0.0732729395549401,-0.426279102744247,CMCC-ESM2
2090,-0.10320755752281996,0.24690932883323227,-0.4703063510332836,CMCC-ESM2
2091,-0.030298842486004934,0.372079194737744,-0.42097385784940683,CMCC-ESM2
2092,-0.042131247720618714,0.143281134553241,-0.3793561064166228,CMCC-ESM2
2093,-0.056239357273023184,0.17142057163363794,-0.4126317330221381,CMCC-ESM2
2094,-0.026895088844562348,0.2576559276798588,-0.2894678808635577,CMCC-ESM2
2095,-0.03324905340936738,0.20128619265053688,-0.37270172197857615,CMCC-ESM2
2096,-0.10081224131162397,0.30788134498985487,-0.496459288005061,CMCC-ESM2
2097,-0.10476843627849898,0.11079051453289321,-0.4875766988474997,CMCC-ESM2
2098,-0.058440553712717384,0.3124402043611468,-0.44771671237494565,CMCC-ESM2
2099,-0.10835491862011283,0.27405340508262144,-0.5079644078386802,CMCC-ESM2
2100,-0.055211275874387865,0.02875534449117565,-0.4502692280065181,CMCC-ESM2
