Year,Annual,Summer,Winter,Model
2015,0.2631550906594488,0.6761672111927709,0.011761430417037219,CMCC-ESM2
2016,0.2766651736567477,0.7644030791176636,0.057610720009916794,CMCC-ESM2
2017,0.29166304339003885,0.7362556606948071,-0.0031314098914994324,CMCC-ESM2
2018,0.2431985056098274,0.7283098305970909,-0.05797740085086644,CMCC-ESM2
2019,0.3124996546708328,0.6714165650623158,0.04836715759324891,CMCC-ESM2
2020,0.2619793995305638,0.6688580471415438,-0.011018015437364892,CMCC-ESM2
2021,0.25961255331673727,0.6894672696170998,-0.022108537967810864,CMCC-ESM2
2022,0.2855674691271419,0.7502968122451203,0.011356174969676886,CMCC-ESM2
2023,0.26472173790926085,0.6772296976314607,-0.0550204917823995,CMCC-ESM2
2024,0.2922230191406204,0.6874655877145196,0.01969350268223691,CMCC-ESM2
2025,0.28491876414631995,0.6471372168425579,0.034760192608597425,CMCC-ESM2
2026,0.2626542428079221,0.6539963742611146,-0.012822445123819469,CMCC-ESM2
2027,0.224518580573379,0.7312449856809771,-0.12487304191593251,CMCC-ESM2
2028,0.2790726771149515,0.5741022849702404,0.023555675903520232,CMCC-ESM2
2029,0.19489024521583964,0.6289361045765252,-0.0182667902141229,CMCC-ESM2
2030,0.31824398903763523,0.6894079095952329,0.08697313139966639,CMCC-ESM2
2031,0.2879118106337892,0.718504899633279,0.01294344157551288,CMCC-ESM2
2032,0.2751092885180103,0.6262766075234124,-0.01879049907100287,CMCC-ESM2
2033,0.25154770084098355,0.639862060667914,-0.062388732430031825,CMCC-ESM2
2034,0.25974824058875956,0.6039269098595236,0.0006489333016002772,CMCC-ESM2
2035,0.27702918104608704,0.6632493308740844,-0.02252318920544635,CMCC-ESM2
2036,0.2904557250580115,0.6679065307553482,-0.012311699283691128,CMCC-ESM2
2037,0.25454883078270263,0.5937247726187587,-0.019995731880909227,CMCC-ESM2
2038,0.23552361921304146,0.6023979237108061,-0.01080974998606758,CMCC-ESM2
2039,0.2702033756353685,0.6616399567198639,0.07125054719804634,CMCC-ESM2
2040,0.25992095830667367,0.6255382091397536,-0.015188293979794109,CMCC-ESM2
2041,0.25860025512307655,0.5455978905054506,0.029497705562721473,CMCC-ESM2
2042,0.2462206214910069,0.6415577493933349,0.030931594554791882,CMCC-ESM2
