Year,Annual,Summer,Winter,Model
2015,55.05586,138.1891632080078,3.281677007675171,CMCC-ESM2
2016,55.92969,138.94952392578125,3.3725545406341553,CMCC-ESM2
2017,55.363373,136.7608184814453,3.707204818725586,CMCC-ESM2
2018,55.512493,138.1602325439453,3.4612667560577393,CMCC-ESM2
2019,56.211002,137.83209228515625,3.728191375732422,CMCC-ESM2
2020,57.366894,142.81985473632812,3.7056963443756104,CMCC-ESM2
2021,56.5357,140.86251831054688,3.5029239654541016,CMCC-ESM2
2022,56.63776,139.4256134033203,3.667804718017578,CMCC-ESM2
2023,56.3457,140.2606964111328,3.7429378032684326,CMCC-ESM2
2024,56.711414,140.62135314941406,3.570629835128784,CMCC-ESM2
2025,55.705994,137.7705841064453,3.545275926589966,CMCC-ESM2
2026,55.865185,137.78443908691406,3.5861148834228516,CMCC-ESM2
2027,55.92102,141.00108337402344,3.565282106399536,CMCC-ESM2
2028,55.985813,137.61744689941406,3.6626977920532227,CMCC-ESM2
2029,57.571045,141.8814239501953,3.5645320415496826,CMCC-ESM2
2030,57.050564,141.2740020751953,3.653388261795044,CMCC-ESM2
2031,56.90132,139.32666015625,3.713169813156128,CMCC-ESM2
2032,57.73924,141.4815216064453,3.831822633743286,CMCC-ESM2
2033,55.14656,135.83079528808594,3.8226242065429688,CMCC-ESM2
2034,56.919556,140.02809143066406,3.6982669830322266,CMCC-ESM2
2035,55.551777,138.6856231689453,3.866945505142212,CMCC-ESM2
2036,56.58494,138.24696350097656,3.722222089767456,CMCC-ESM2
2037,57.005665,139.19332885742188,3.8046114444732666,CMCC-ESM2
2038,56.759064,140.2516632080078,3.7904443740844727,CMCC-ESM2
2039,56.95222,139.0873260498047,3.7423181533813477,CMCC-ESM2
2040,57.563076,140.76385498046875,3.7983710765838623,CMCC-ESM2
2041,57.761448,142.58502197265625,3.7292702198028564,CMCC-ESM2
2042,58.552547,143.70697021484375,3.938883066177368,CMCC-ESM2
2043,57.730408,142.1303253173828,3.8242380619049072,CMCC-ESM2
2044,57.249584,141.4850616455078,3.9652082920074463,CMCC-ESM2
2045,56.954758,138.31004333496094,3.9178638458251953,CMCC-ESM2
2046,57.043133,139.27955627441406,3.989304542541504,CMCC-ESM2
2047,58.14137,143.0414276123047,3.8551547527313232,CMCC-ESM2
2048,57.737427,140.4512176513672,3.9570419788360596,CMCC-ESM2
2049,57.454254,138.3081817626953,3.9474780559539795,CMCC-ESM2
2050,58.618824,141.92953491210938,4.066736698150635,CMCC-ESM2
2051,58.502884,140.40997314453125,4.090031147003174,CMCC-ESM2
2052,57.94919,139.38414001464844,4.061384677886963,CMCC-ESM2
2053,58.724903,140.30055236816406,4.09463357925415,CMCC-ESM2
2054,57.890553,140.23129272460938,3.9492523670196533,CMCC-ESM2
2055,57.502155,139.6759796142578,4.062325954437256,CMCC-ESM2
2056,59.0264,142.1016387939453,3.9549598693847656,CMCC-ESM2
2057,58.38447,140.05955505371094,3.8982295989990234,CMCC-ESM2
2058,58.467854,139.99427795410156,4.2485785484313965,CMCC-ESM2
2059,58.853252,142.17469787597656,3.915233612060547,CMCC-ESM2
2060,59.305973,145.15879821777344,4.120988845825195,CMCC-ESM2
2061,58.206097,141.15133666992188,4.145793437957764,CMCC-ESM2
2062,57.845898,139.4313201904297,4.17373514175415,CMCC-ESM2
2063,59.64656,142.65396118164062,3.948228120803833,CMCC-ESM2
2064,57.757244,137.27517700195312,4.1763739585876465,CMCC-ESM2
2065,58.894176,141.00904846191406,4.234088897705078,CMCC-ESM2
2066,59.303345,142.67588806152344,4.142894268035889,CMCC-ESM2
2067,57.253292,138.1282196044922,3.962078094482422,CMCC-ESM2
2068,58.896786,141.7669219970703,4.076355457305908,CMCC-ESM2
2069,58.187153,138.7390594482422,4.027516841888428,CMCC-ESM2
2070,59.255566,141.74412536621094,4.060563564300537,CMCC-ESM2
2071,59.264023,140.263916015625,4.347187519073486,CMCC-ESM2
2072,58.350037,139.15931701660156,4.1190361976623535,CMCC-ESM2
2073,59.599655,142.4526824951172,4.196749687194824,CMCC-ESM2
2074,60.10133,144.2598114013672,4.231029033660889,CMCC-ESM2
2075,59.75795,142.96701049804688,4.369228839874268,CMCC-ESM2
2076,59.4492,141.6908721923828,4.092285633087158,CMCC-ESM2
2077,59.019516,140.14320373535156,4.360899448394775,CMCC-ESM2
2078,59.95225,142.9580841064453,4.185348033905029,CMCC-ESM2
2079,59.816498,141.94825744628906,4.185847759246826,CMCC-ESM2
2080,60.439045,143.1957550048828,4.416553020477295,CMCC-ESM2
2081,61.13097,144.20703125,4.309537887573242,CMCC-ESM2
2082,59.754913,141.83763122558594,4.367710113525391,CMCC-ESM2
2083,59.953335,143.0966033935547,4.313007831573486,CMCC-ESM2
2084,61.84753,145.9980926513672,4.486937999725342,CMCC-ESM2
2085,60.754414,143.16656494140625,4.279024600982666,CMCC-ESM2
2086,60.709766,141.57249450683594,4.509240627288818,CMCC-ESM2
2087,60.91663,142.05894470214844,4.49843168258667,CMCC-ESM2
2088,60.94429,143.656494140625,4.239965915679932,CMCC-ESM2
2089,60.22565,143.4815216064453,4.265466213226318,CMCC-ESM2
2090,61.388416,143.43536376953125,4.344445705413818,CMCC-ESM2
2091,59.7933,141.37159729003906,4.582745552062988,CMCC-ESM2
2092,59.900127,142.69235229492188,4.264064311981201,CMCC-ESM2
2093,61.599182,145.7506103515625,4.602829456329346,CMCC-ESM2
2094,61.44525,142.540771484375,4.573532581329346,CMCC-ESM2
2095,61.142445,143.58523559570312,4.412406921386719,CMCC-ESM2
2096,60.717693,142.45298767089844,4.500131130218506,CMCC-ESM2
2097,60.067257,140.576416015625,4.381893634796143,CMCC-ESM2
2098,61.228962,143.44290161132812,4.355729579925537,CMCC-ESM2
2099,60.68362,141.787841796875,4.408904552459717,CMCC-ESM2
2100,62.055897,143.41664123535156,4.515711784362793,CMCC-ESM2
