Year,Annual,Summer,Winter,Model
2015,0.7106616106742516,0.35462940805305054,0.9464522007496374,CMCC-ESM2
2016,0.6981460020727752,0.552689813095595,0.9279039028073176,CMCC-ESM2
2017,0.6958441680360624,0.2916464025337221,0.9265639880533749,CMCC-ESM2
2018,0.7102867465223942,0.382219715816691,0.9453744012938364,CMCC-ESM2
2019,0.6812654506602026,0.3705488124231584,0.9193007160483676,CMCC-ESM2
2020,0.7113992597272594,0.38941007985315024,0.9396508699328898,CMCC-ESM2
2021,0.7006511794116236,0.27310269386158564,0.9480091630864806,CMCC-ESM2
2022,0.6814619047615907,0.3058757936613196,0.942370470023344,CMCC-ESM2
2023,0.6944403535201595,0.4485195327774784,0.9360163999212111,CMCC-ESM2
2024,0.7141116612608873,0.4279264937825397,0.9347498211625889,CMCC-ESM2
2025,0.741080294198824,0.4651522994987629,0.9457743456530529,CMCC-ESM2
2026,0.6784409108620005,0.2529774947499088,0.9299371926386371,CMCC-ESM2
2027,0.6786072529282715,0.43832618209351387,0.9463687936081286,CMCC-ESM2
2028,0.7342175461227433,0.31793274907388763,0.9388571679104175,CMCC-ESM2
2029,0.6691774862012361,0.46272453847920386,0.936577672867837,CMCC-ESM2
2030,0.704849538313424,0.356975688691375,0.9285735092048713,CMCC-ESM2
2031,0.7176726107612184,0.5323913129352551,0.9401170906844883,CMCC-ESM2
2032,0.7171243449761332,0.34610714289368666,0.8989073862709113,CMCC-ESM2
2033,0.7003081810934564,0.4239860780262628,0.9384474896090487,CMCC-ESM2
2034,0.712375143772161,0.4451983816946731,0.9460638412356206,CMCC-ESM2
2035,0.7164234774757827,0.5007141217767822,0.9163938324502501,CMCC-ESM2
2036,0.7091850218750003,0.5807695655950577,0.9212890144028228,CMCC-ESM2
2037,0.7253070556607665,0.45438102084421644,0.9328705795161697,CMCC-ESM2
2038,0.7102747517967246,0.5056841759753904,0.9237115895024555,CMCC-ESM2
2039,0.7379326238866125,0.4216961634668249,0.9076623679235429,CMCC-ESM2
2040,0.7299149389750846,0.4506161209086832,0.9473594876035802,CMCC-ESM2
2041,0.7262944090757036,0.5363491920109573,0.9355246911259842,CMCC-ESM2
2042,0.7168026024647802,0.47501472260345157,0.9207395526795347,CMCC-ESM2
2043,0.6936933496871575,0.46254618975975625,0.9229612474272353,CMCC-ESM2
2044,0.6939656280941494,0.45733490749668754,0.9225911710703714,CMCC-ESM2
2045,0.7139125017760309,0.4429631955205348,0.9174282212503393,CMCC-ESM2
2046,0.7294576152369109,0.5852717538040827,0.9251527873566341,CMCC-ESM2
2047,0.7267842763437558,0.48907007229186633,0.9333662256819949,CMCC-ESM2
2048,0.7050885013223328,0.4935881752134957,0.9371129933445692,CMCC-ESM2
2049,0.7203392206482836,0.4739992017989134,0.9359675436610834,CMCC-ESM2
2050,0.7012742465374177,0.4430405392372221,0.9019590930660939,CMCC-ESM2
2051,0.6972216438202353,0.39663995605358254,0.9072792521218758,CMCC-ESM2
2052,0.730781572792194,0.5320116713592571,0.9469777877343183,CMCC-ESM2
2053,0.7425242134254318,0.5434776196566694,0.9430887703000106,CMCC-ESM2
2054,0.7386349803613248,0.6517871563709416,0.9352886326632354,CMCC-ESM2
2055,0.7357372358012393,0.6106663077488516,0.8916054631572042,CMCC-ESM2
2056,0.7316348012967313,0.5316534474638773,0.9041076505908974,CMCC-ESM2
2057,0.718576193798098,0.5413942727509017,0.9126481419938627,CMCC-ESM2
