Year,Annual,Summer,Winter,Model
2015,0.7203438446532825,0.3500673034940644,0.9398503451509115,CMCC-ESM2
2016,0.7005416862246729,0.3449061838572497,0.9412602828556967,CMCC-ESM2
2017,0.6967364612260866,0.14625160884993316,0.9423352459861923,CMCC-ESM2
2018,0.6890840176438459,0.3988873492309294,0.9515810852765862,CMCC-ESM2
2019,0.6935747925674703,0.2798617612286442,0.9138833990642652,CMCC-ESM2
2020,0.6996067777723457,0.2992261630298675,0.940750231794175,CMCC-ESM2
2021,0.7215852242289369,0.29180644932242966,0.9482916715720417,CMCC-ESM2
2022,0.7177986000780225,0.2613656084090713,0.9484666360988073,CMCC-ESM2
2023,0.6976838124251113,0.37695098972345215,0.9614214638184199,CMCC-ESM2
2024,0.7385296813549397,0.30513776892207384,0.9491263510361382,CMCC-ESM2
2025,0.7183249859778446,0.29846421592437083,0.9434535093894367,CMCC-ESM2
2026,0.6875445766107843,0.17004110565167005,0.9499266138053005,CMCC-ESM2
2027,0.6600033144090661,0.2266333497609777,0.9559091883318409,CMCC-ESM2
2028,0.7069441837968803,0.2390998043099084,0.9376402872982831,CMCC-ESM2
2029,0.6772830881375692,0.3639992009456724,0.9426579750732527,CMCC-ESM2
2030,0.6902506705646084,0.20376926012401467,0.9391096752047442,CMCC-ESM2
2031,0.6850370852575955,0.17711475538890942,0.9460879006606175,CMCC-ESM2
2032,0.7045148982682577,0.18603127464159847,0.9477415389757584,CMCC-ESM2
2033,0.7033985173109357,0.3696888357017589,0.9522839038574348,CMCC-ESM2
2034,0.7334547800366447,0.26819861048946125,0.9492535400807705,CMCC-ESM2
2035,0.6999621200553187,0.3625219971651284,0.9466075123377126,CMCC-ESM2
2036,0.6885668579448495,0.2421820683112985,0.9546724309646175,CMCC-ESM2
2037,0.7243868636371444,0.2391257011211434,0.9402781485741278,CMCC-ESM2
2038,0.7050007968236279,0.3000154414365482,0.9541684490599901,CMCC-ESM2
2039,0.73804871939295,0.21948946749862921,0.9507007989682749,CMCC-ESM2
2040,0.6789367729572575,0.14084834751425618,0.9501437479829233,CMCC-ESM2
2041,0.7121301018348416,0.43865588015964474,0.9426458164716274,CMCC-ESM2
2042,0.7557919247045595,0.33017605261316707,0.9293613536077583,CMCC-ESM2
2043,0.6781315389655805,0.27189501039751296,0.942281169779291,CMCC-ESM2
2044,0.7039313474754253,0.37034088509863283,0.9423774183943381,CMCC-ESM2
2045,0.7088842325490776,0.2614202773494574,0.916982703496767,CMCC-ESM2
2046,0.7022374088924616,0.269952617307706,0.9325102753185343,CMCC-ESM2
2047,0.7028405697708663,0.26657144302454866,0.9318557847694161,CMCC-ESM2
2048,0.6968823530666414,0.2828213200121394,0.9361208830865494,CMCC-ESM2
2049,0.6984007114839031,0.2902831531977538,0.9256014880255138,CMCC-ESM2
2050,0.6858598082605764,0.2533031497216461,0.924721495987809,CMCC-ESM2
2051,0.7017227153440908,0.06672739501539933,0.9248260317019378,CMCC-ESM2
2052,0.6869454385231432,0.26191942722183564,0.9452654060012874,CMCC-ESM2
2053,0.72770132529926,0.3034167354550291,0.9443373094048682,CMCC-ESM2
2054,0.7293792308136542,0.3819707184471394,0.9319519943101119,CMCC-ESM2
2055,0.7236292025622997,0.28951848800624175,0.9235841062929706,CMCC-ESM2
2056,0.7310038339303823,0.2819995874287388,0.9372852902406693,CMCC-ESM2
2057,0.7059658861826845,0.3571804897020615,0.9274523897250198,CMCC-ESM2
2058,0.7395412666696878,0.19827488730500306,0.9282272578030065,CMCC-ESM2
2059,0.6807348850295064,0.23804853003793586,0.9506893117412928,CMCC-ESM2
2060,0.7204570115975296,0.3089233400135563,0.9325072389420449,CMCC-ESM2
2061,0.7224569536966091,0.2758200463956809,0.944351630464795,CMCC-ESM2
2062,0.7103629136079855,0.3768727013790432,0.9122306899570041,CMCC-ESM2
2063,0.7546093014730527,0.3348284801924663,0.9375218173507242,CMCC-ESM2
2064,0.7037803958857659,0.26331528665168374,0.9203334278000613,CMCC-ESM2
2065,0.6963492268172017,0.2494084492274635,0.9293604738998954,CMCC-ESM2
2066,0.7384921030981838,0.216590087877509,0.932484014365598,CMCC-ESM2
2067,0.6919019074123454,0.30226753322787264,0.9305042725542092,CMCC-ESM2
2068,0.7275130301068543,0.38772118757457247,0.948984193409965,CMCC-ESM2
2069,0.7450350242052809,0.42291472873579844,0.9353851553415592,CMCC-ESM2
2070,0.7196901500887455,0.41164719494390173,0.9114193661477944,CMCC-ESM2
2071,0.7325873975751573,0.29108951889634305,0.9157993887741133,CMCC-ESM2
2072,0.7321103600588006,0.24361538980210232,0.9306115966612581,CMCC-ESM2
2073,0.7250899204024358,0.31212442028234993,0.9385638631917534,CMCC-ESM2
2074,0.7235813229212439,0.2943722242107466,0.9279543643676644,CMCC-ESM2
2075,0.7435843448692093,0.36370639760726103,0.9319798016844699,CMCC-ESM2
2076,0.748306228678311,0.3299726510174442,0.932085769393158,CMCC-ESM2
2077,0.7266388520552374,0.3631573590635747,0.9034109563152384,CMCC-ESM2
2078,0.7498187126948271,0.3419536815280696,0.9324230817407756,CMCC-ESM2
2079,0.7208155605368715,0.4103718550501033,0.9098526958631311,CMCC-ESM2
2080,0.7327451494024092,0.24275550260173032,0.9150283117571295,CMCC-ESM2
2081,0.7288099515045731,0.13120439198337477,0.9363871330995088,CMCC-ESM2
2082,0.7260200223231004,0.26108557987310355,0.9350417814402985,CMCC-ESM2
2083,0.7097629049105908,0.40491001349142497,0.9219622614627716,CMCC-ESM2
2084,0.7478974272569969,0.27000303776221446,0.9195999491450372,CMCC-ESM2
