Year,Annual,Summer,Winter,Model
2015,-0.7151101233943412,-0.5397261384187232,-0.8410117056118739,CMCC-ESM2
2016,-0.7000302158928041,-0.3621047804608727,-0.8494687118971557,CMCC-ESM2
2017,-0.6587366091576187,-0.6041306170400798,-0.8265596582933209,CMCC-ESM2
2018,-0.719295326013034,-0.671336359207384,-0.8051103698777223,CMCC-ESM2
2019,-0.7392375213316172,-0.5672888368962523,-0.8312886772509442,CMCC-ESM2
2020,-0.7116868328262873,-0.6658436550225054,-0.8505039667856537,CMCC-ESM2
2021,-0.7495148335536288,-0.755649871296108,-0.8578056544141808,CMCC-ESM2
2022,-0.7738751314220328,-0.6136780299712256,-0.847444370797951,CMCC-ESM2
2023,-0.6888076799094142,-0.44818660058827514,-0.8536448668451277,CMCC-ESM2
2024,-0.6441060289582989,-0.5413905204096879,-0.8359007845176255,CMCC-ESM2
2025,-0.720061876213382,-0.5390195921103983,-0.8112674981856777,CMCC-ESM2
2026,-0.7118690595772104,-0.6983229564660862,-0.8559969037664871,CMCC-ESM2
2027,-0.7378427202674954,-0.5535333911941569,-0.8223922193921192,CMCC-ESM2
2028,-0.7016362948863398,-0.6654492247899396,-0.8075222280157923,CMCC-ESM2
2029,-0.7504897660195168,-0.6785872189572698,-0.8364574048491971,CMCC-ESM2
2030,-0.733956497015006,-0.5546051190487845,-0.8506062596777714,CMCC-ESM2
2031,-0.701074927433725,-0.4895652493868114,-0.82144223351242,CMCC-ESM2
2032,-0.6823198712941215,-0.6122328289379303,-0.8409159005273091,CMCC-ESM2
2033,-0.7163505944634201,-0.4679778494336183,-0.8431317511948041,CMCC-ESM2
2034,-0.6601741956909765,-0.613742869707245,-0.8266922966345028,CMCC-ESM2
2035,-0.7117951823099942,-0.49694039043689725,-0.8535531763362583,CMCC-ESM2
2036,-0.6833076166006947,-0.4240065952239348,-0.8471464686754708,CMCC-ESM2
2037,-0.6606463327882144,-0.45445957791529507,-0.7987325027020201,CMCC-ESM2
2038,-0.6546577678272217,-0.28637035262073934,-0.8183712927083939,CMCC-ESM2
2039,-0.6609785506372604,-0.6529600659917305,-0.8419381855027774,CMCC-ESM2
2040,-0.7135303871532317,-0.5159608798702907,-0.8242291245462655,CMCC-ESM2
2041,-0.6640475773754076,-0.3991657703250134,-0.8097448315487487,CMCC-ESM2
2042,-0.6357169838897495,-0.6368945561756707,-0.8651175274494664,CMCC-ESM2
2043,-0.7224339485641161,-0.5968324522889602,-0.8563706832967269,CMCC-ESM2
2044,-0.70235990175336,-0.5751180701141619,-0.8357936180457936,CMCC-ESM2
2045,-0.7041502452641172,-0.5074216630593565,-0.8036307793656,CMCC-ESM2
2046,-0.6732526505979163,-0.4052419089777052,-0.8345009795989747,CMCC-ESM2
2047,-0.6426186593142628,-0.6514200115619126,-0.852434929071342,CMCC-ESM2
2048,-0.7262007233980868,-0.4770074271554451,-0.8393099382584275,CMCC-ESM2
2049,-0.6861007475567716,-0.34453284041518906,-0.8269810370613682,CMCC-ESM2
2050,-0.640195699077876,-0.32713959232791845,-0.820576710780849,CMCC-ESM2
2051,-0.6281854249927721,-0.4897406849198289,-0.8157439051835459,CMCC-ESM2
2052,-0.6488280307660453,-0.32628928500511195,-0.8280333523420668,CMCC-ESM2
2053,-0.621131871373159,-0.42216357992921094,-0.8255714202649206,CMCC-ESM2
2054,-0.6527307227505464,-0.2065968630835925,-0.8441901006185886,CMCC-ESM2
2055,-0.6069891517384289,-0.36923251062735307,-0.8356879043441626,CMCC-ESM2
2056,-0.6510122560817433,-0.4319987484351619,-0.8295542937087611,CMCC-ESM2
2057,-0.6443338739772165,-0.33878324029307616,-0.8162634128443071,CMCC-ESM2
2058,-0.604490392031717,-0.5200099734898045,-0.8339962650995606,CMCC-ESM2
2059,-0.6724625732331059,-0.3916736808346316,-0.8248338856697788,CMCC-ESM2
2060,-0.6153588597578635,-0.37175087660336353,-0.8316805720226722,CMCC-ESM2
2061,-0.6111120771348307,-0.33410296012405416,-0.8177839131738925,CMCC-ESM2
2062,-0.6111260632374584,-0.23639657978426476,-0.8144082674619357,CMCC-ESM2
2063,-0.6070492965781776,-0.4796737763529839,-0.8344001775330795,CMCC-ESM2
2064,-0.6644114817339363,-0.3730413234865465,-0.8447159584200911,CMCC-ESM2
2065,-0.6262518724927199,-0.285781046053323,-0.8246271068682673,CMCC-ESM2
2066,-0.6035449408573063,-0.5393632016489273,-0.8005389795678997,CMCC-ESM2
2067,-0.6752690625415467,-0.17845627543477963,-0.8385590057296449,CMCC-ESM2
2068,-0.596903830977433,-0.3585059229641726,-0.827028766662635,CMCC-ESM2
2069,-0.6056327971641522,-0.2312046641035254,-0.8229707966447857,CMCC-ESM2
2070,-0.5653032844290323,-0.31888128846568453,-0.816372034116145,CMCC-ESM2
2071,-0.5961761811789567,-0.28537089119850245,-0.801397135220003,CMCC-ESM2
2072,-0.5871678789184357,-0.07703379057492746,-0.8244768899024403,CMCC-ESM2
2073,-0.5691788325485658,-0.20102257335531795,-0.8192764396964888,CMCC-ESM2
2074,-0.5782337424183208,-0.2157087764292635,-0.8017318380304785,CMCC-ESM2
2075,-0.5388772489515016,-0.29818945363097416,-0.7987645254396479,CMCC-ESM2
2076,-0.6283566731590097,-0.3892053092912451,-0.8071756593762908,CMCC-ESM2
2077,-0.5892450259258138,-0.19104637874708585,-0.7890406836172663,CMCC-ESM2
2078,-0.5778802050832991,-0.1607266272624961,-0.8164921898660459,CMCC-ESM2
2079,-0.5407469507275631,-0.16389649254377542,-0.8041261592973139,CMCC-ESM2
2080,-0.5582420248656818,-0.2791357412829367,-0.7856564041980008,CMCC-ESM2
2081,-0.5555288629626293,-0.3543912151146287,-0.7987801655598419,CMCC-ESM2
2082,-0.5816069850439042,-0.153937894276536,-0.7819034473059274,CMCC-ESM2
2083,-0.536537950995011,-0.028907802207331,-0.7790911231052065,CMCC-ESM2
2084,-0.520090047502786,-0.2870118513292466,-0.8030529558394515,CMCC-ESM2
2085,-0.559583658154827,-0.2991432023079302,-0.804952671250116,CMCC-ESM2
2086,-0.5372930400758806,-0.16726123916579844,-0.782451036747723,CMCC-ESM2
2087,-0.5408134522212639,-0.34092723527506197,-0.773286860910946,CMCC-ESM2
2088,-0.586417091524368,-0.341786346794706,-0.7948235648504143,CMCC-ESM2
2089,-0.5582003879220148,-0.01267539706241057,-0.7950863929585226,CMCC-ESM2
2090,-0.518771950500961,-0.24250031613238646,-0.7956475603823161,CMCC-ESM2
2091,-0.568808839430898,-0.1725891619205548,-0.7947354326527596,CMCC-ESM2
2092,-0.5245146223479645,-0.1749178585707279,-0.7929481140067435,CMCC-ESM2
2093,-0.5329243497595636,-0.12645798344794484,-0.7994728793870808,CMCC-ESM2
2094,-0.5112984166913419,-0.2657257938225979,-0.7944298880129794,CMCC-ESM2
2095,-0.5227312215154398,-0.075314878981834,-0.781680704566156,CMCC-ESM2
2096,-0.5272616852376973,-0.3096793645695877,-0.7961560775294265,CMCC-ESM2
2097,-0.5655424004506718,-0.03055938090374348,-0.7999148194235883,CMCC-ESM2
2098,-0.5178529265670075,-0.14127960911504117,-0.8004766164343373,CMCC-ESM2
2099,-0.503587397530028,-0.10048222509618479,-0.7906098834885777,CMCC-ESM2
2100,-0.5239986894299422,-0.4629048082041485,-0.7944746869942703,CMCC-ESM2
