Year,Annual,Summer,Winter,Model
2015,-0.8614574091958639,-0.9080231629893962,-0.9253773229007429,CMCC-ESM2
2016,-0.8764728622866454,-0.9073513729035698,-0.9181901127209657,CMCC-ESM2
2017,-0.8519276298110526,-0.9102147841679525,-0.9027485873533259,CMCC-ESM2
2018,-0.8546772216650099,-0.8967383858959479,-0.8853575414556641,CMCC-ESM2
2019,-0.8242145165864714,-0.8959633917072046,-0.8556284098300264,CMCC-ESM2
2020,-0.8348906971125974,-0.8974047630011042,-0.9033824871806256,CMCC-ESM2
2021,-0.8460822193992089,-0.90979298687208,-0.9149667669324075,CMCC-ESM2
2022,-0.8579143169363564,-0.9126745799820482,-0.9248904229792835,CMCC-ESM2
2023,-0.841911164519573,-0.8682474966208263,-0.9202956520788803,CMCC-ESM2
2024,-0.8305693227484282,-0.9304935888487961,-0.8997774103658484,CMCC-ESM2
2025,-0.8535731780540301,-0.8865413325882252,-0.8781908812991083,CMCC-ESM2
2026,-0.8466576924330492,-0.9050495905169458,-0.9051636656471921,CMCC-ESM2
2027,-0.8393243489716586,-0.9016362162786562,-0.8838607282115997,CMCC-ESM2
2028,-0.8111763293320058,-0.8766963295434034,-0.8533410337003986,CMCC-ESM2
2029,-0.8210975760664482,-0.895807513810811,-0.8993705419639642,CMCC-ESM2
2030,-0.8299162616153315,-0.8790310928228381,-0.8878309412310235,CMCC-ESM2
2031,-0.8063704390951382,-0.8606810760243784,-0.8586610272804618,CMCC-ESM2
2032,-0.7731480212412288,-0.8822890246761201,-0.8684440959254021,CMCC-ESM2
2033,-0.8128073727130641,-0.8619455268990959,-0.8954784600633731,CMCC-ESM2
2034,-0.8243253684811244,-0.8994645309160268,-0.9057368661612727,CMCC-ESM2
2035,-0.8238712172597132,-0.8914137346409019,-0.8963559688467396,CMCC-ESM2
2036,-0.8108660948045214,-0.8366005447734741,-0.8830644512073205,CMCC-ESM2
2037,-0.7681151142150515,-0.8600747013017728,-0.8343998621446904,CMCC-ESM2
2038,-0.7834173395366317,-0.8195690893073168,-0.8786382025328909,CMCC-ESM2
2039,-0.7790118991828363,-0.8537798556274704,-0.8977670278585435,CMCC-ESM2
2040,-0.7849158679613097,-0.8741428794187224,-0.8584722732512994,CMCC-ESM2
2041,-0.7811787011224736,-0.7933251485810121,-0.8505364561578278,CMCC-ESM2
2042,-0.7584331837336711,-0.8943486586100606,-0.9209041739487378,CMCC-ESM2
2043,-0.8212296675209233,-0.872268527679803,-0.9062702800222578,CMCC-ESM2
2044,-0.8117544653360863,-0.8678436247209413,-0.9070903487940898,CMCC-ESM2
2045,-0.8099464619229811,-0.8742646471483767,-0.8631994890344014,CMCC-ESM2
2046,-0.7895283514678823,-0.8309217984714458,-0.8881307946339718,CMCC-ESM2
2047,-0.7755054987758226,-0.863326054503921,-0.9106099740996771,CMCC-ESM2
2048,-0.8072073683027496,-0.8733430784503009,-0.9055712322845793,CMCC-ESM2
2049,-0.8286339959729251,-0.858478826603409,-0.8822188384801729,CMCC-ESM2
2050,-0.7739129861710571,-0.8090057362001798,-0.8626417068570447,CMCC-ESM2
2051,-0.7675298148756057,-0.8849533409109068,-0.8601592755597384,CMCC-ESM2
2052,-0.7881481666982572,-0.8198816144456712,-0.8642861899975944,CMCC-ESM2
2053,-0.7605228572768721,-0.8169284768260725,-0.8861874968577803,CMCC-ESM2
2054,-0.7677985978273788,-0.8126363608892235,-0.9045592758672814,CMCC-ESM2
2055,-0.7687375957026493,-0.7815069846414386,-0.9010083491261885,CMCC-ESM2
2056,-0.7326124950533416,-0.8178035270172874,-0.8795335222684298,CMCC-ESM2
2057,-0.7599501627663087,-0.8039494175072879,-0.8604421598406815,CMCC-ESM2
2058,-0.7533242436625937,-0.8343226418236435,-0.8783183741397536,CMCC-ESM2
2059,-0.7637966595944786,-0.7765613629334946,-0.8854862938029526,CMCC-ESM2
2060,-0.7027697351068802,-0.8322189541929632,-0.8901970683397535,CMCC-ESM2
2061,-0.7446035797494374,-0.7937617268315413,-0.884878575503522,CMCC-ESM2
2062,-0.7440764732237749,-0.7730765383562057,-0.8647986020223372,CMCC-ESM2
2063,-0.7444012478489902,-0.815118265178924,-0.9018287287547497,CMCC-ESM2
2064,-0.7749545148937474,-0.810720260203788,-0.8848011590762033,CMCC-ESM2
2065,-0.7509642216386387,-0.7293382987018461,-0.8670658800356317,CMCC-ESM2
2066,-0.7142790050627091,-0.8016685703815607,-0.828527431104141,CMCC-ESM2
2067,-0.7433049065240925,-0.7729997054720501,-0.896257020268651,CMCC-ESM2
2068,-0.7063950945276202,-0.7643345312903403,-0.8750484490544735,CMCC-ESM2
2069,-0.7344642532875644,-0.7933011011166222,-0.8893679671184066,CMCC-ESM2
2070,-0.7518671302455634,-0.802622944885569,-0.8476727998035296,CMCC-ESM2
2071,-0.7422484242329034,-0.6927891836041076,-0.8433979416391104,CMCC-ESM2
2072,-0.6936727820883003,-0.7184674880896806,-0.876882852829842,CMCC-ESM2
2073,-0.6667372690859477,-0.7028758688280288,-0.8571741591529535,CMCC-ESM2
2074,-0.6997974566857735,-0.6036333608980787,-0.8316869452463796,CMCC-ESM2
2075,-0.6114950513667547,-0.7666896393686387,-0.7999838806833528,CMCC-ESM2
2076,-0.7059662486547214,-0.7058936227817505,-0.8331509759715416,CMCC-ESM2
2077,-0.6728664891876552,-0.6974352444813343,-0.8420670608908771,CMCC-ESM2
2078,-0.6498942202787199,-0.7835935205567546,-0.8750967310204757,CMCC-ESM2
2079,-0.6840208225619998,-0.7438651919872047,-0.8435600706433356,CMCC-ESM2
2080,-0.683026864705036,-0.7266717828551039,-0.7987653650032429,CMCC-ESM2
2081,-0.6469539835626051,-0.7068319588038552,-0.8188978021389158,CMCC-ESM2
2082,-0.6360850213731617,-0.6570509021468337,-0.8184421465374713,CMCC-ESM2
2083,-0.649908994608886,-0.5950556305100825,-0.8154578033503473,CMCC-ESM2
2084,-0.5950904301843377,-0.6167083136980063,-0.8225802219914887,CMCC-ESM2
2085,-0.5984871008544338,-0.6975818084349076,-0.8107195728185366,CMCC-ESM2
2086,-0.6114231734100836,-0.5936946936085779,-0.7685722508860505,CMCC-ESM2
2087,-0.5592966187652538,-0.6519772422696194,-0.7708082067620731,CMCC-ESM2
2088,-0.6354283879119517,-0.6708888335505745,-0.8266664240032509,CMCC-ESM2
2089,-0.6322782798315089,-0.457951692713729,-0.8186940652118287,CMCC-ESM2
2090,-0.56622686475462,-0.6062165453940864,-0.7917927731049822,CMCC-ESM2
2091,-0.5900735348146254,-0.5928532316663196,-0.787427367832761,CMCC-ESM2
2092,-0.5989064072982905,-0.624354637617032,-0.8283341942421452,CMCC-ESM2
2093,-0.5740665652251251,-0.5116632743974036,-0.7972511928969561,CMCC-ESM2
2094,-0.5406102906861668,-0.6676236649640923,-0.8054729548636994,CMCC-ESM2
2095,-0.5897170825254775,-0.45080366595218624,-0.7847102284104934,CMCC-ESM2
2096,-0.5565658056878664,-0.5922269378233591,-0.77821716537963,CMCC-ESM2
2097,-0.6274911619434664,-0.4908614274641932,-0.7940220685007918,CMCC-ESM2
2098,-0.5605077853178849,-0.5831679345226202,-0.817137132685851,CMCC-ESM2
2099,-0.5789232309195752,-0.431936082651366,-0.8089914347286362,CMCC-ESM2
2100,-0.5739645991426016,-0.7679200433511036,-0.7985011366531137,CMCC-ESM2
