Year,Annual,Summer,Winter,Model
2015,58.73943,142.5512237548828,4.292595386505127,CMCC-ESM2
2016,59.82426,143.8573455810547,4.381850719451904,CMCC-ESM2
2017,59.15283,141.09979248046875,4.7067413330078125,CMCC-ESM2
2018,58.847225,141.8209991455078,4.5185017585754395,CMCC-ESM2
2019,59.59963,141.7147674560547,4.649376392364502,CMCC-ESM2
2020,60.850407,146.7705078125,4.6845269203186035,CMCC-ESM2
2021,60.14295,145.04425048828125,4.532676696777344,CMCC-ESM2
2022,60.29619,143.91629028320312,4.731759548187256,CMCC-ESM2
2023,59.89882,143.9060516357422,4.703532695770264,CMCC-ESM2
2024,60.21426,144.6009063720703,4.560790061950684,CMCC-ESM2
2025,59.159252,141.98902893066406,4.551628589630127,CMCC-ESM2
2026,59.438793,141.97023010253906,4.542163372039795,CMCC-ESM2
2027,59.491863,144.68067932128906,4.598067760467529,CMCC-ESM2
2028,59.34688,141.67257690429688,4.635753631591797,CMCC-ESM2
2029,60.861393,145.9792022705078,4.592479705810547,CMCC-ESM2
2030,60.656887,145.02923583984375,4.612175941467285,CMCC-ESM2
2031,60.131897,142.84422302246094,4.661108016967773,CMCC-ESM2
2032,60.887756,145.15345764160156,4.746246814727783,CMCC-ESM2
2033,58.70261,139.8634796142578,4.751864910125732,CMCC-ESM2
2034,60.33848,144.5146942138672,4.6381354331970215,CMCC-ESM2
2035,59.111317,142.3009796142578,4.776033878326416,CMCC-ESM2
2036,60.119556,142.23268127441406,4.675202369689941,CMCC-ESM2
2037,60.489014,143.08192443847656,4.683043003082275,CMCC-ESM2
2038,60.052013,143.85179138183594,4.754471302032471,CMCC-ESM2
2039,60.130844,142.1195831298828,4.685267925262451,CMCC-ESM2
2040,60.706715,143.9921112060547,4.692836284637451,CMCC-ESM2
2041,60.73942,145.4815216064453,4.618293762207031,CMCC-ESM2
2042,61.733715,146.8470001220703,4.801554203033447,CMCC-ESM2
2043,60.84541,145.73904418945312,4.7079644203186035,CMCC-ESM2
2044,60.53722,145.2147216796875,4.885265827178955,CMCC-ESM2
2045,59.986103,141.6645050048828,4.795162200927734,CMCC-ESM2
2046,60.03996,142.52806091308594,4.8505682945251465,CMCC-ESM2
2047,61.202633,145.90187072753906,4.693261623382568,CMCC-ESM2
2048,60.83351,143.43580627441406,4.829981803894043,CMCC-ESM2
2049,60.214672,141.50741577148438,4.758194446563721,CMCC-ESM2
2050,61.45883,145.4719696044922,4.887424468994141,CMCC-ESM2
2051,61.316135,143.93821716308594,4.951237201690674,CMCC-ESM2
2052,60.90071,142.83604431152344,4.886667251586914,CMCC-ESM2
2053,61.618633,144.00987243652344,4.889593601226807,CMCC-ESM2
2054,60.786167,142.90386962890625,4.742374420166016,CMCC-ESM2
2055,60.46419,142.2444305419922,4.883099555969238,CMCC-ESM2
2056,61.77467,144.89097595214844,4.6923627853393555,CMCC-ESM2
2057,61.09784,142.8820343017578,4.667789936065674,CMCC-ESM2
2058,61.22931,142.9466552734375,4.983826160430908,CMCC-ESM2
2059,61.607056,145.42886352539062,4.6689066886901855,CMCC-ESM2
2060,62.116398,147.77919006347656,4.939687728881836,CMCC-ESM2
2061,60.907623,144.32814025878906,4.932566165924072,CMCC-ESM2
2062,60.49864,141.9391326904297,4.973703384399414,CMCC-ESM2
2063,62.241833,145.38597106933594,4.742063999176025,CMCC-ESM2
2064,60.57939,140.97486877441406,4.91607141494751,CMCC-ESM2
2065,61.307392,143.525634765625,4.941014766693115,CMCC-ESM2
2066,61.745163,145.37657165527344,4.867251396179199,CMCC-ESM2
2067,60.02995,140.87339782714844,4.768889904022217,CMCC-ESM2
2068,61.456146,144.30120849609375,4.869113445281982,CMCC-ESM2
2069,60.95529,141.7019805908203,4.7866387367248535,CMCC-ESM2
2070,61.741123,144.37120056152344,4.813201427459717,CMCC-ESM2
2071,61.772877,142.9870147705078,5.072400093078613,CMCC-ESM2
2072,60.985943,141.98548889160156,4.87255859375,CMCC-ESM2
2073,61.842762,144.19944763183594,4.906584739685059,CMCC-ESM2
2074,62.415966,146.25047302246094,4.948910236358643,CMCC-ESM2
2075,62.26208,145.13427734375,5.176259517669678,CMCC-ESM2
2076,61.821976,143.54537963867188,4.806904315948486,CMCC-ESM2
2077,61.37105,142.32418823242188,5.10020637512207,CMCC-ESM2
2078,62.52002,145.74151611328125,4.942824840545654,CMCC-ESM2
2079,62.113537,144.0749969482422,4.923703670501709,CMCC-ESM2
2080,62.781902,145.82533264160156,5.029534339904785,CMCC-ESM2
2081,63.13492,145.6441650390625,5.000778675079346,CMCC-ESM2
2082,62.133923,144.11183166503906,5.093440532684326,CMCC-ESM2
2083,62.39157,145.6593017578125,5.055212020874023,CMCC-ESM2
2084,64.003876,148.02410888671875,5.244717121124268,CMCC-ESM2
2085,62.823547,145.2572479248047,4.937317371368408,CMCC-ESM2
2086,62.790394,143.33091735839844,5.180952548980713,CMCC-ESM2
2087,62.966263,144.18905639648438,5.154694080352783,CMCC-ESM2
2088,63.07581,145.55828857421875,4.86812162399292,CMCC-ESM2
2089,62.41153,145.50445556640625,4.927527904510498,CMCC-ESM2
2090,63.41321,144.74232482910156,5.066593647003174,CMCC-ESM2
2091,61.97241,143.29319763183594,5.271565914154053,CMCC-ESM2
2092,62.00014,144.69760131835938,4.859241962432861,CMCC-ESM2
2093,63.460064,147.0248565673828,5.303625583648682,CMCC-ESM2
2094,63.369843,144.006591796875,5.278491973876953,CMCC-ESM2
2095,63.023956,145.66566467285156,5.115816593170166,CMCC-ESM2
2096,62.746902,144.28460693359375,5.107705593109131,CMCC-ESM2
2097,62.09824,142.11744689941406,4.997410297393799,CMCC-ESM2
2098,63.17322,145.18359375,5.006732940673828,CMCC-ESM2
2099,62.487305,143.30430603027344,4.999505043029785,CMCC-ESM2
2100,63.891857,144.98338317871094,5.14324951171875,CMCC-ESM2
