Year,Annual,Summer,Winter,Model
2015,21.72541,5.350440502166748,32.83316421508789,CMCC-ESM2
2016,20.457159,4.161458969116211,32.08304977416992,CMCC-ESM2
2017,19.969536,4.496086597442627,31.1214599609375,CMCC-ESM2
2018,22.152283,6.288938999176025,32.32609939575195,CMCC-ESM2
2019,19.950241,5.61431884765625,30.230966567993164,CMCC-ESM2
2020,20.67353,4.8986687660217285,31.57741355895996,CMCC-ESM2
2021,20.635683,6.244760990142822,31.704843521118164,CMCC-ESM2
2022,21.146883,6.348146915435791,32.07603073120117,CMCC-ESM2
2023,20.0982,4.78212308883667,31.895776748657227,CMCC-ESM2
2024,19.516508,3.731088876724243,30.681137084960938,CMCC-ESM2
2025,20.638012,4.916701793670654,31.281320571899414,CMCC-ESM2
2026,20.107473,5.840250492095947,31.46101188659668,CMCC-ESM2
2027,21.512766,5.819534778594971,32.452030181884766,CMCC-ESM2
2028,21.19758,5.272590160369873,31.798044204711914,CMCC-ESM2
2029,20.54422,5.8810553550720215,31.591873168945312,CMCC-ESM2
2030,20.380083,4.847350597381592,33.26791763305664,CMCC-ESM2
2031,19.236753,4.369680404663086,30.93707847595215,CMCC-ESM2
2032,19.305214,4.989317417144775,30.6374568939209,CMCC-ESM2
2033,19.37749,5.196116924285889,30.773168563842773,CMCC-ESM2
2034,19.321262,4.344701290130615,30.65074348449707,CMCC-ESM2
2035,18.935862,4.350721836090088,30.828893661499023,CMCC-ESM2
2036,19.2315,3.8305273056030273,32.22179412841797,CMCC-ESM2
2037,18.679583,3.7114298343658447,30.277917861938477,CMCC-ESM2
2038,18.69891,3.9828789234161377,30.558639526367188,CMCC-ESM2
2039,19.2295,4.569987773895264,30.066179275512695,CMCC-ESM2
2040,19.488262,4.622758388519287,31.6030330657959,CMCC-ESM2
2041,18.865969,4.126514911651611,30.2963924407959,CMCC-ESM2
2042,18.466135,3.3748700618743896,30.366256713867188,CMCC-ESM2
2043,18.09528,4.400987148284912,29.65761375427246,CMCC-ESM2
2044,18.88331,4.9803290367126465,30.747817993164062,CMCC-ESM2
