Year,Annual,Summer,Winter,Model
2015,0.08334780300385193,-0.5149295978537917,0.5858181309048144,CMCC-ESM2
2016,0.1359976229571974,-0.46306299415313373,0.6147649297551819,CMCC-ESM2
2017,0.09268145057182609,-0.446710687209741,0.6333968855059534,CMCC-ESM2
2018,0.1138439338007764,-0.49898573956405007,0.6354082047502307,CMCC-ESM2
2019,0.09524662470846983,-0.47561760290782445,0.6505657754088563,CMCC-ESM2
2020,0.11230616911542735,-0.5852125563426303,0.6435899830765706,CMCC-ESM2
2021,0.026517866842479698,-0.5896296082279957,0.5653283309201901,CMCC-ESM2
2022,0.07700202741917685,-0.49508378164127165,0.6034333903637257,CMCC-ESM2
2023,0.16111234061308863,-0.5077594587168561,0.7435196868063874,CMCC-ESM2
2024,0.11677553029249048,-0.5074492328637156,0.6649131392319686,CMCC-ESM2
2025,0.08525930052060227,-0.44381213703771355,0.6089384122042442,CMCC-ESM2
2026,0.08842806180159431,-0.5269962502376682,0.574159742847056,CMCC-ESM2
2027,0.08490404045376117,-0.517579914365512,0.6569246150192811,CMCC-ESM2
2028,0.0938992688720461,-0.3824232740074764,0.5919435580571564,CMCC-ESM2
2029,0.11390316649011323,-0.5064363302126295,0.6120044213093346,CMCC-ESM2
2030,0.019467893893226756,-0.433019234800174,0.5370406774179323,CMCC-ESM2
2031,0.12135537998399437,-0.45807810626038126,0.6231602750528806,CMCC-ESM2
2032,0.10054199625626141,-0.5572382614726351,0.6219692071187037,CMCC-ESM2
2033,0.04851139698760012,-0.5687644924059879,0.623497892421793,CMCC-ESM2
2034,0.06984103695010029,-0.41023584416233716,0.554609725683465,CMCC-ESM2
2035,0.05802267666627265,-0.48693089074402096,0.5762843791045359,CMCC-ESM2
2036,0.10006748001790844,-0.3715331444793849,0.6015735962550043,CMCC-ESM2
2037,0.12610760555415731,-0.4179790088555987,0.6366530278847511,CMCC-ESM2
2038,0.12690971477794744,-0.4410899985975611,0.6680355466318403,CMCC-ESM2
2039,0.16658527459012143,-0.5439850876672082,0.6877047765708726,CMCC-ESM2
2040,0.11215936454813813,-0.44485098271569534,0.6626635932521137,CMCC-ESM2
2041,0.11828066194357416,-0.4985004473187769,0.6223207452766821,CMCC-ESM2
2042,0.10446277057089588,-0.41325882624373445,0.550839082980928,CMCC-ESM2
2043,0.07821741223551328,-0.4392576320496937,0.5954907733096607,CMCC-ESM2
2044,0.0681194927045214,-0.4720483388236698,0.5885221647291909,CMCC-ESM2
2045,0.07866061745649389,-0.4672622345754674,0.5867223167310152,CMCC-ESM2
2046,0.1260234526602113,-0.45813007898771574,0.6744602634935805,CMCC-ESM2
2047,0.08146364454459737,-0.47647440043512096,0.5606974476574503,CMCC-ESM2
2048,0.0631662947134541,-0.47564651102477945,0.584149124758292,CMCC-ESM2
2049,0.12782298075944729,-0.36892118484872377,0.6568086602998472,CMCC-ESM2
2050,0.14748052363410669,-0.36839337901713565,0.6302974484409337,CMCC-ESM2
2051,0.08538597183740108,-0.5718692640784061,0.6309691526255901,CMCC-ESM2
2052,0.10838422638978723,-0.4864264910157584,0.6867132574900445,CMCC-ESM2
2053,-0.001495333032322595,-0.5188500350704411,0.46796136761882856,CMCC-ESM2
2054,0.006561194645998497,-0.5015218582128149,0.45871989561385396,CMCC-ESM2
2055,0.04746757933526616,-0.4735718939674813,0.5549742838810707,CMCC-ESM2
2056,0.07744496790891274,-0.495527624943579,0.614015973462781,CMCC-ESM2
2057,0.09969059894480813,-0.4808555502450957,0.633256901207942,CMCC-ESM2
