Year,Annual,Summer,Winter,Model
2015,-0.21957783277725473,-0.7461094443404113,0.046843887141477566,CMCC-ESM2
2016,-0.228062457905538,-0.8013442818896924,0.00162268028831574,CMCC-ESM2
2017,-0.251958230440274,-0.7514577237606938,0.06861336905483845,CMCC-ESM2
2018,-0.17410749758755847,-0.7615656692780939,0.17235290112163204,CMCC-ESM2
2019,-0.24955956205295818,-0.766219910131614,0.11304477019499745,CMCC-ESM2
2020,-0.23735199578370705,-0.7573988922324569,0.06840667502756625,CMCC-ESM2
2021,-0.2457574719969247,-0.7519327520535815,0.08385069930790927,CMCC-ESM2
2022,-0.2302842500844844,-0.7658228976161856,0.05250871857515277,CMCC-ESM2
2023,-0.21450576282884173,-0.7641715222346067,0.1317484937930706,CMCC-ESM2
2024,-0.2375240431169617,-0.7325317899723095,0.08343093728491927,CMCC-ESM2
2025,-0.2220682013223636,-0.703613604348394,0.08121239090954419,CMCC-ESM2
2026,-0.2148956568542835,-0.7413984276752786,0.09902063311164794,CMCC-ESM2
2027,-0.1432603858535412,-0.7518385916761281,0.2683761224545599,CMCC-ESM2
2028,-0.19245689969167676,-0.6923216678941582,0.13321877646944222,CMCC-ESM2
2029,-0.1526979797725083,-0.6705947843937059,0.11661699939631878,CMCC-ESM2
2030,-0.22842997046292413,-0.6728897660691041,0.04731473276964642,CMCC-ESM2
2031,-0.15715389449286804,-0.7598367194843951,0.17332871002498165,CMCC-ESM2
2032,-0.16084595139568492,-0.725050398801512,0.1871481669278779,CMCC-ESM2
2033,-0.21530499484014323,-0.8039080049330657,0.14274171386190226,CMCC-ESM2
2034,-0.22918546464628098,-0.7058553134591645,0.07738640889927312,CMCC-ESM2
2035,-0.20371326765984432,-0.7708944166410486,0.14845056989360392,CMCC-ESM2
2036,-0.18010709499780486,-0.6895876613070688,0.18822536017556857,CMCC-ESM2
2037,-0.11704359209624744,-0.727736561312197,0.2735919705158058,CMCC-ESM2
2038,-0.15094800634017802,-0.7542049742747117,0.16468010087690316,CMCC-ESM2
2039,-0.1919286343826464,-0.7131664439208129,0.03680813803868487,CMCC-ESM2
2040,-0.13365461470668394,-0.7162830406472781,0.20850542480435516,CMCC-ESM2
2041,-0.18499568854803253,-0.7216968741622891,0.12354975095037135,CMCC-ESM2
2042,-0.21429478628462584,-0.7183812446346403,0.04648238832513423,CMCC-ESM2
2043,-0.23551130266528655,-0.725462626028395,0.08059201425525173,CMCC-ESM2
2044,-0.21227915798018557,-0.7406993597423461,0.12508931718389707,CMCC-ESM2
2045,-0.1942225053492992,-0.7490817891443539,0.15161094139530706,CMCC-ESM2
2046,-0.21687578858592624,-0.695524819770841,0.1525035775073302,CMCC-ESM2
2047,-0.17040337093750735,-0.672297614023672,0.10566822101448863,CMCC-ESM2
2048,-0.17720270416624373,-0.7157319033141673,0.1472874194445989,CMCC-ESM2
2049,-0.15381482035295121,-0.7345652078954303,0.2583028081708893,CMCC-ESM2
2050,-0.1788687702775392,-0.6953483570534318,0.17518304323374922,CMCC-ESM2
2051,-0.13038183469238213,-0.7061815993684307,0.2500043047597496,CMCC-ESM2
