Year,Annual,Summer,Winter,Model
2015,44.727077,18.36820411682129,67.23307037353516,CMCC-ESM2
2016,44.16505,18.623779296875,66.00210571289062,CMCC-ESM2
2017,43.51563,18.145906448364258,63.63056945800781,CMCC-ESM2
2018,43.54027,17.78360366821289,64.63375854492188,CMCC-ESM2
2019,39.764053,16.565309524536133,58.219390869140625,CMCC-ESM2
2020,42.0406,16.540422439575195,63.31064987182617,CMCC-ESM2
2021,42.990536,17.50813865661621,64.99842071533203,CMCC-ESM2
2022,43.161636,17.594465255737305,65.2655029296875,CMCC-ESM2
2023,42.243423,16.623044967651367,63.44309616088867,CMCC-ESM2
2024,41.17303,15.69488525390625,62.5166015625,CMCC-ESM2
2025,42.27091,17.776500701904297,62.7617073059082,CMCC-ESM2
2026,42.63532,18.1560001373291,64.02803039550781,CMCC-ESM2
2027,43.031063,17.378263473510742,63.30729293823242,CMCC-ESM2
2028,40.947964,16.84440803527832,61.10160446166992,CMCC-ESM2
2029,40.286736,16.043485641479492,62.39752197265625,CMCC-ESM2
2030,40.392242,15.26572322845459,61.105743408203125,CMCC-ESM2
2031,39.16202,14.369121551513672,59.04243469238281,CMCC-ESM2
2032,37.99631,13.911896705627441,58.43019104003906,CMCC-ESM2
2033,40.751392,16.393535614013672,59.8036003112793,CMCC-ESM2
2034,40.898907,16.28499984741211,61.35789108276367,CMCC-ESM2
2035,40.760242,16.255399703979492,60.22629928588867,CMCC-ESM2
2036,39.8012,15.213055610656738,59.2371826171875,CMCC-ESM2
2037,38.014553,14.277297973632812,55.717227935791016,CMCC-ESM2
2038,38.53081,14.54869556427002,58.39677047729492,CMCC-ESM2
2039,39.707447,14.046727180480957,60.98919677734375,CMCC-ESM2
2040,38.31882,14.061701774597168,58.152587890625,CMCC-ESM2
2041,37.839123,12.986679077148438,57.97414016723633,CMCC-ESM2
2042,38.270805,12.919743537902832,59.31693649291992,CMCC-ESM2
2043,38.654995,15.029799461364746,58.65446853637695,CMCC-ESM2
2044,39.49429,15.342921257019043,58.9655876159668,CMCC-ESM2
2045,38.59942,16.080612182617188,57.21677780151367,CMCC-ESM2
2046,37.795162,14.03589916229248,56.87418746948242,CMCC-ESM2
2047,36.999992,12.897567749023438,57.78773498535156,CMCC-ESM2
2048,37.64736,14.153953552246094,57.67970657348633,CMCC-ESM2
2049,37.687077,15.048831939697266,57.52861404418945,CMCC-ESM2
2050,34.95734,13.1099271774292,52.902587890625,CMCC-ESM2
2051,34.683186,12.532254219055176,52.41835403442383,CMCC-ESM2
2052,35.608253,14.155036926269531,52.752193450927734,CMCC-ESM2
2053,34.136425,12.717514991760254,53.143646240234375,CMCC-ESM2
2054,36.511253,13.280797004699707,56.25320816040039,CMCC-ESM2
2055,36.841846,12.992764472961426,56.191986083984375,CMCC-ESM2
2056,34.928997,11.544533729553223,54.4576530456543,CMCC-ESM2
2057,35.220253,12.220221519470215,54.10359573364258,CMCC-ESM2
2058,33.8222,12.235095977783203,51.868778228759766,CMCC-ESM2
2059,34.507378,12.499133110046387,53.36069107055664,CMCC-ESM2
2060,34.83592,11.467594146728516,53.74106979370117,CMCC-ESM2
2061,33.88503,12.002479553222656,52.22843933105469,CMCC-ESM2
2062,33.93811,11.35561466217041,51.96731948852539,CMCC-ESM2
2063,33.920605,10.906574249267578,53.70286560058594,CMCC-ESM2
2064,33.617924,11.415580749511719,51.651180267333984,CMCC-ESM2
2065,32.57853,10.817436218261719,49.65263366699219,CMCC-ESM2
2066,31.177528,10.29526424407959,46.7014274597168,CMCC-ESM2
2067,34.855072,11.931803703308105,53.942134857177734,CMCC-ESM2
2068,33.99634,10.783865928649902,53.20758056640625,CMCC-ESM2
2069,33.107365,11.082489967346191,51.93800735473633,CMCC-ESM2
2070,32.96022,10.802254676818848,51.17253494262695,CMCC-ESM2
2071,30.342024,10.93701171875,45.263057708740234,CMCC-ESM2
2072,31.925573,9.873041152954102,49.80824661254883,CMCC-ESM2
2073,30.25535,8.912504196166992,46.811126708984375,CMCC-ESM2
2074,30.39418,8.529437065124512,46.57293701171875,CMCC-ESM2
2075,29.604399,8.605600357055664,45.50618362426758,CMCC-ESM2
2076,30.550722,9.107654571533203,46.74892044067383,CMCC-ESM2
2077,29.441786,9.369512557983398,45.28944396972656,CMCC-ESM2
2078,31.041742,9.370213508605957,48.900238037109375,CMCC-ESM2
2079,29.425959,9.030488014221191,46.46371078491211,CMCC-ESM2
2080,27.390419,8.884998321533203,41.6075439453125,CMCC-ESM2
2081,28.118301,7.851089954376221,44.12214660644531,CMCC-ESM2
2082,27.56131,7.784185886383057,42.15237808227539,CMCC-ESM2
2083,28.032698,7.893653392791748,42.815673828125,CMCC-ESM2
2084,26.757874,6.412363529205322,42.67917251586914,CMCC-ESM2
2085,26.453802,6.901346683502197,41.69682312011719,CMCC-ESM2
2086,24.901253,6.402506351470947,37.96533203125,CMCC-ESM2
2087,24.040655,6.1951680183410645,36.91411209106445,CMCC-ESM2
2088,27.267107,7.293960094451904,42.64935302734375,CMCC-ESM2
2089,27.113317,6.841056823730469,42.917240142822266,CMCC-ESM2
2090,25.949568,5.7757487297058105,41.25276184082031,CMCC-ESM2
2091,26.095953,6.939232349395752,39.761898040771484,CMCC-ESM2
2092,26.787832,7.407114028930664,41.72181701660156,CMCC-ESM2
2093,25.097406,5.979156494140625,39.766632080078125,CMCC-ESM2
2094,24.054918,5.720639705657959,38.474483489990234,CMCC-ESM2
2095,23.50797,5.961752414703369,37.03496551513672,CMCC-ESM2
2096,24.44956,6.147039890289307,37.80281448364258,CMCC-ESM2
2097,25.473783,7.003279209136963,39.35951614379883,CMCC-ESM2
2098,25.157654,6.219964981079102,39.89840316772461,CMCC-ESM2
2099,24.812067,5.716793060302734,39.291263580322266,CMCC-ESM2
2100,24.096182,5.251978874206543,38.86143112182617,CMCC-ESM2
