Year,Annual,Summer,Winter,Model
2015,-0.40229767940125893,0.35435228205105607,-0.6718919712304161,CMCC-ESM2
2016,-0.3840007508899603,0.32894614212100476,-0.6588790394162759,CMCC-ESM2
2017,-0.35159668930230525,0.3510269694083327,-0.6529035288836758,CMCC-ESM2
2018,-0.367791106491765,0.2007124444038278,-0.6296885605977338,CMCC-ESM2
2019,-0.375370368268698,0.1969263948833769,-0.6319532812774329,CMCC-ESM2
2020,-0.3962807274049264,0.17251492495353665,-0.6670074414052564,CMCC-ESM2
2021,-0.39278344901712287,0.1703484714360983,-0.6974345779098464,CMCC-ESM2
2022,-0.4070645132306798,0.3358325714930527,-0.6789656728777993,CMCC-ESM2
2023,-0.35175943643988034,0.33649264811161,-0.6809725523180468,CMCC-ESM2
2024,-0.3592643542890346,0.28411459929464483,-0.6537826776357709,CMCC-ESM2
2025,-0.39887320506969387,0.1814002488526887,-0.648180192878039,CMCC-ESM2
2026,-0.38824156889084277,0.28640828957547937,-0.6816858857011089,CMCC-ESM2
2027,-0.3744158065687147,0.33883817378373204,-0.6582878714624228,CMCC-ESM2
2028,-0.3712878487754629,0.21390612366511538,-0.6191573977972104,CMCC-ESM2
2029,-0.3793113256441967,0.10155640346566694,-0.6459464992882806,CMCC-ESM2
2030,-0.3792810725893154,0.3256638972186571,-0.6642599017168955,CMCC-ESM2
2031,-0.3758440127854619,0.2569901150079579,-0.6422861415925742,CMCC-ESM2
2032,-0.36844502903922777,0.3610682006683422,-0.6185023028002253,CMCC-ESM2
2033,-0.36759461594286674,0.33434793989879374,-0.6505298673252058,CMCC-ESM2
2034,-0.38147732959694247,0.23810959630820225,-0.6433727763438181,CMCC-ESM2
2035,-0.38885206106128334,0.2042997476598873,-0.6563173986384109,CMCC-ESM2
2036,-0.37269554684257283,0.26256387958119154,-0.6665109324344799,CMCC-ESM2
2037,-0.35570706916006567,0.22847272933209803,-0.601059159120538,CMCC-ESM2
2038,-0.3590431393063778,0.4144999260012275,-0.615450425546265,CMCC-ESM2
2039,-0.3764576567410123,0.1914937294351334,-0.6137819778090342,CMCC-ESM2
2040,-0.3820098555489843,0.2820795199023262,-0.6676283967083729,CMCC-ESM2
2041,-0.35088235878192897,0.22093087666675673,-0.6242496004518341,CMCC-ESM2
2042,-0.3518401342604491,0.11434085744218361,-0.6527041789022067,CMCC-ESM2
2043,-0.37779591375170557,0.18341708471147425,-0.6611287694622664,CMCC-ESM2
2044,-0.36300188941941774,0.1711987208493871,-0.6360916430968168,CMCC-ESM2
2045,-0.36745572992797343,0.32397088658340945,-0.5934868726209128,CMCC-ESM2
2046,-0.36484168790977695,0.15236854112522458,-0.6240713582800015,CMCC-ESM2
2047,-0.3821087996073098,0.01919627118602963,-0.6546342077360662,CMCC-ESM2
2048,-0.4005826356775233,0.25263051390815333,-0.6601655044352068,CMCC-ESM2
2049,-0.3594059976785633,0.291681374482646,-0.642475859350257,CMCC-ESM2
2050,-0.3535745790151627,0.2950256641215084,-0.6124507795146912,CMCC-ESM2
2051,-0.3378761088191329,0.32946785073124046,-0.6047235876444472,CMCC-ESM2
2052,-0.3606911266963336,0.265127560148475,-0.650078973947234,CMCC-ESM2
2053,-0.36821835359645294,0.1908836598086361,-0.6464391663199569,CMCC-ESM2
2054,-0.3703218470797667,0.24748781317144625,-0.6519898584869219,CMCC-ESM2
2055,-0.3244154093360159,0.24050120005546213,-0.5940469931125104,CMCC-ESM2
2056,-0.3443318959971428,0.27514586689016757,-0.5995618195549334,CMCC-ESM2
2057,-0.3339813496517446,0.2764558622608437,-0.608525023684974,CMCC-ESM2
2058,-0.33167855515537475,0.18185561401315428,-0.6232886405807899,CMCC-ESM2
2059,-0.33888934603813553,0.14475078297534863,-0.6362330209722631,CMCC-ESM2
2060,-0.35617376269124623,0.23582821366989795,-0.6434650165429908,CMCC-ESM2
2061,-0.3556912962289959,0.27981124417028114,-0.6112956173360146,CMCC-ESM2
2062,-0.35973830544474916,0.224493224581753,-0.6343676325273314,CMCC-ESM2
2063,-0.3649640593427292,0.18705302752368622,-0.6139859244626323,CMCC-ESM2
2064,-0.35038316695752775,0.2509923671387617,-0.6367591754155426,CMCC-ESM2
2065,-0.30234924749509284,0.2461923049899465,-0.6265965881735388,CMCC-ESM2
2066,-0.3704474522056729,0.20344433124438802,-0.6307910930668303,CMCC-ESM2
2067,-0.3382674733377416,0.30383212599813647,-0.6505484949886173,CMCC-ESM2
2068,-0.35487367431419353,0.12920793532226096,-0.6429285417064421,CMCC-ESM2
2069,-0.3726058504365564,0.2271309698738147,-0.654467799585571,CMCC-ESM2
2070,-0.333556038331071,0.24546266304875683,-0.6212981052798181,CMCC-ESM2
2071,-0.336174909321222,0.30902251628720917,-0.5920562340041906,CMCC-ESM2
2072,-0.32160236922360885,0.3927333044903602,-0.6177145095687995,CMCC-ESM2
2073,-0.3474777836378362,0.25614890376922583,-0.6290076756545339,CMCC-ESM2
2074,-0.31727764181564316,0.36726451866484755,-0.5898562601808071,CMCC-ESM2
2075,-0.3046564484768667,0.20264447442548536,-0.6257737557691756,CMCC-ESM2
2076,-0.3580435576995387,0.273878198693599,-0.6267531146419588,CMCC-ESM2
2077,-0.3157382410304658,0.24620343502154318,-0.6015792653777092,CMCC-ESM2
2078,-0.3411866574816023,0.27075486422973744,-0.6298753554185487,CMCC-ESM2
2079,-0.32035363143241097,0.2586525414504122,-0.6103010097302799,CMCC-ESM2
2080,-0.32455658446687974,0.26283494855247636,-0.5900957286264341,CMCC-ESM2
2081,-0.31390773709176967,0.2557743782214632,-0.6257750370605046,CMCC-ESM2
2082,-0.3270666526581781,0.24331880563747652,-0.6113706278590477,CMCC-ESM2
2083,-0.3163366169417719,0.2953508577811869,-0.608397789602053,CMCC-ESM2
2084,-0.3212983760580617,0.2821013744548003,-0.612962180924873,CMCC-ESM2
2085,-0.2932223125723034,0.2904218486946674,-0.6302831192425394,CMCC-ESM2
2086,-0.30296724098256805,0.3772006312625417,-0.5971354372968459,CMCC-ESM2
2087,-0.32208748689603617,0.22186148564790142,-0.5944097889164919,CMCC-ESM2
2088,-0.2996232890448003,0.16684424631179853,-0.5990024173664004,CMCC-ESM2
2089,-0.3153580211121393,0.32911710486535084,-0.5766507960311006,CMCC-ESM2
2090,-0.2987051398613849,0.2777158095880486,-0.6222259402239669,CMCC-ESM2
2091,-0.3224575413236698,0.346116146779597,-0.5964100151887638,CMCC-ESM2
2092,-0.3104329575984451,0.22859203849100623,-0.6107556658207204,CMCC-ESM2
2093,-0.3096800586976046,0.2956153517045014,-0.5972446853985393,CMCC-ESM2
2094,-0.28043409960970794,0.33004025464525577,-0.581423047136566,CMCC-ESM2
