Year,Annual,Summer,Winter,Model
2015,-0.5602333521913284,-0.10516374554335095,-0.7902567538078332,CMCC-ESM2
2016,-0.5481520631615714,-0.07277532428390249,-0.7787636119919898,CMCC-ESM2
2017,-0.5103354837834361,0.13116073821694454,-0.7699786059716788,CMCC-ESM2
2018,-0.49246197400365976,-0.08781286783203297,-0.7579553615772608,CMCC-ESM2
2019,-0.473470053400572,-0.07959266623716621,-0.6660458036163737,CMCC-ESM2
2020,-0.5250739274552403,-0.03869289830306442,-0.7565400127220785,CMCC-ESM2
2021,-0.5289944450607799,-0.027096670658656785,-0.7980422770471312,CMCC-ESM2
2022,-0.5415026776751816,8.42559582075225e-05,-0.8091320521086344,CMCC-ESM2
2023,-0.5048520220917029,-0.05819114749217737,-0.8172491013283357,CMCC-ESM2
2024,-0.5382691825193323,-0.08195134719570343,-0.7711637378769501,CMCC-ESM2
2025,-0.529045185939773,-0.07945632308078768,-0.7364756440313459,CMCC-ESM2
2026,-0.5251570855977213,0.08987540817839189,-0.7859934514569181,CMCC-ESM2
2027,-0.468915713369405,0.061960369535884706,-0.7644174209426483,CMCC-ESM2
2028,-0.4744283426092273,-0.020155392568449306,-0.7016136771616464,CMCC-ESM2
2029,-0.4831328205967069,-0.07624862408027791,-0.756923168200654,CMCC-ESM2
2030,-0.46130483917274656,0.09379463843333288,-0.7366681168969641,CMCC-ESM2
2031,-0.45054069876608716,0.16543414970469394,-0.7139870185564319,CMCC-ESM2
2032,-0.4670234527372395,0.12674449434353074,-0.731943034620197,CMCC-ESM2
2033,-0.467957418228161,-0.06904570535349293,-0.7675045198479826,CMCC-ESM2
2034,-0.5378305509986826,0.03201932266092698,-0.7819756771652878,CMCC-ESM2
2035,-0.48656154551255715,-0.0967989066821774,-0.7641602188882908,CMCC-ESM2
2036,-0.4623816455746357,0.18558667879492152,-0.7575611144604176,CMCC-ESM2
2037,-0.4337017377779797,0.04417577397591497,-0.6694479741818372,CMCC-ESM2
2038,-0.47195139487000853,0.050774117744816855,-0.7534596853919875,CMCC-ESM2
2039,-0.4973159444973838,0.086333118517854,-0.7774168759934829,CMCC-ESM2
2040,-0.42526742277779933,0.15112705578973326,-0.718182308342274,CMCC-ESM2
2041,-0.4493434821586831,-0.04890145465096559,-0.700247395313449,CMCC-ESM2
2042,-0.5071085967850472,-0.06875554829357722,-0.774532361642524,CMCC-ESM2
2043,-0.48698473848978296,0.035539544461858724,-0.7742242902171588,CMCC-ESM2
2044,-0.48486015260366244,-0.04511369921536161,-0.7712330299509189,CMCC-ESM2
2045,-0.4880698416440108,0.06293395471994406,-0.6886057434504422,CMCC-ESM2
2046,-0.45722663248557915,0.05706846160543801,-0.7294035563577079,CMCC-ESM2
2047,-0.4827543165724378,0.0325580693598936,-0.7626124569807444,CMCC-ESM2
2048,-0.47892696073787117,0.01874450838407147,-0.7621413976804594,CMCC-ESM2
2049,-0.4714807094355911,0.024082831391453605,-0.7182036315230467,CMCC-ESM2
2050,-0.42785636539534005,0.08483185837049174,-0.6959172436936466,CMCC-ESM2
2051,-0.4559220161792623,0.21075676511920818,-0.6914384781952141,CMCC-ESM2
2052,-0.4406010772909896,0.11231653536499754,-0.7221698356094624,CMCC-ESM2
2053,-0.4773986620716774,0.0919174651669707,-0.7448321889521184,CMCC-ESM2
2054,-0.46518529164137673,0.03042651636680409,-0.757090771758885,CMCC-ESM2
2055,-0.4462251402961475,0.1307574976941211,-0.739816363155311,CMCC-ESM2
2056,-0.4381331283369437,0.11100867913077526,-0.7213541117248818,CMCC-ESM2
2057,-0.4391290695581136,0.018050367213187504,-0.6865849656958755,CMCC-ESM2
2058,-0.48312115236015485,0.14575755910963129,-0.7191425655203896,CMCC-ESM2
2059,-0.4048271301496218,0.12485142037750442,-0.7506106049208358,CMCC-ESM2
2060,-0.43232897804070874,0.028707117682049584,-0.7295627020634435,CMCC-ESM2
2061,-0.46682430328517804,0.14399015408828905,-0.7447400636357843,CMCC-ESM2
2062,-0.4272460471091975,-0.03197108747231903,-0.6738800168740383,CMCC-ESM2
2063,-0.5047025617626976,0.019103057814679077,-0.7573435356674872,CMCC-ESM2
2064,-0.4564060914219619,0.1363098621142754,-0.7107845238318917,CMCC-ESM2
2065,-0.39938901719364645,0.13145220198416127,-0.7031828423801236,CMCC-ESM2
2066,-0.4486387119094437,0.173628902444761,-0.6552219597055687,CMCC-ESM2
2067,-0.40532251356260685,0.10262512599139885,-0.7441991120226487,CMCC-ESM2
2068,-0.43623319989371856,0.0021354487012218647,-0.740311615159011,CMCC-ESM2
2069,-0.462884790208469,0.003279064736816809,-0.7355391841813197,CMCC-ESM2
2070,-0.4271483705903453,-0.012329391096783037,-0.6547937635680695,CMCC-ESM2
2071,-0.4423028889724882,0.19585082298964882,-0.6568194892365626,CMCC-ESM2
2072,-0.4212103762560717,0.28132187675117165,-0.7078441243815199,CMCC-ESM2
2073,-0.3862075683563319,0.13937061067369946,-0.6933943100394371,CMCC-ESM2
2074,-0.42187533090368606,0.23585905493602805,-0.6541395089908324,CMCC-ESM2
2075,-0.3852207101201061,0.1010703749126154,-0.6249849550495781,CMCC-ESM2
2076,-0.4225898129762322,0.15328478535964493,-0.6584600325041939,CMCC-ESM2
2077,-0.3857039296528,0.14066182124814308,-0.6259871909310961,CMCC-ESM2
2078,-0.43013960230281384,0.057521619883173745,-0.7030763792767036,CMCC-ESM2
2079,-0.3824373667474856,0.04103556769053637,-0.626131614620829,CMCC-ESM2
2080,-0.382138242418746,0.27273870456125243,-0.6002709103153592,CMCC-ESM2
2081,-0.3742512603457249,0.30895731643676977,-0.6396713359288748,CMCC-ESM2
2082,-0.35716912011801266,0.19565727625770232,-0.6396891445363299,CMCC-ESM2
2083,-0.3854417097854344,0.16736150994421178,-0.626803118611182,CMCC-ESM2
2084,-0.37210838269497476,0.2272652330272897,-0.6291376629640911,CMCC-ESM2
2085,-0.3456216967668863,0.23594505459389095,-0.6502169174785856,CMCC-ESM2
2086,-0.3326392803301121,0.34260824748524477,-0.5762085331526323,CMCC-ESM2
2087,-0.30897038170296215,0.18506479326417227,-0.5696437899182223,CMCC-ESM2
2088,-0.3669796168827248,0.16791120726058711,-0.6551119119805101,CMCC-ESM2
2089,-0.37055969639428943,0.2087588417838728,-0.6352693037949988,CMCC-ESM2
2090,-0.376283173080886,0.2102341334848483,-0.636653731913914,CMCC-ESM2
2091,-0.35645891574996685,0.2397983337233494,-0.6327370768123854,CMCC-ESM2
2092,-0.351913625440412,0.19194764405420736,-0.6498223401867491,CMCC-ESM2
2093,-0.3108481328343883,0.29261858466128926,-0.589898167267024,CMCC-ESM2
2094,-0.3013809713048387,0.2625327990216847,-0.602548078035841,CMCC-ESM2
2095,-0.32351403476928137,0.2835955802399721,-0.5716698993485579,CMCC-ESM2
2096,-0.33228960207573094,0.10631520118581204,-0.568119817741443,CMCC-ESM2
2097,-0.365406119462206,0.21664463372408155,-0.617130069473918,CMCC-ESM2
2098,-0.3453062668329518,0.22805420879407445,-0.632520675483224,CMCC-ESM2
2099,-0.3367129445619905,0.29810039909583697,-0.6221664296042031,CMCC-ESM2
2100,-0.3186569663489864,0.22205715035895546,-0.5742055571245646,CMCC-ESM2
