Year,Annual,Summer,Winter,Model
2015,791336048.413715,297730175.64995176,1203735636.1421144,CMCC-ESM2
2016,772714358.2992531,299074069.21784765,1179885011.7865348,CMCC-ESM2
2017,762966054.1730951,291510683.4103541,1132227261.5450795,CMCC-ESM2
2018,773289074.2312764,290672528.0329403,1158319549.041338,CMCC-ESM2
2019,697553610.1497293,268517164.43191004,1033965536.7805467,CMCC-ESM2
2020,738233286.4470323,266605755.60845268,1129514241.9739497,CMCC-ESM2
2021,751652995.7788779,280871656.77525955,1159430591.3813758,CMCC-ESM2
2022,757608290.4007291,286055980.85021335,1159577142.3887584,CMCC-ESM2
2023,738784361.1045347,266847925.7936472,1123575427.23584,CMCC-ESM2
2024,720270232.95051,248536109.339947,1111167865.0148761,CMCC-ESM2
2025,744779635.13031,283772624.27780014,1125760381.5830843,CMCC-ESM2
2026,747611992.440739,293808650.9556903,1142474974.0801136,CMCC-ESM2
2027,761935890.5957699,284853834.23404104,1133471577.1589646,CMCC-ESM2
2028,725316870.5988547,271847826.40835214,1098624821.3921673,CMCC-ESM2
2029,706419503.7374831,257411545.8428565,1110736619.5359936,CMCC-ESM2
2030,710940869.731603,241152190.3855265,1092605113.2389038,CMCC-ESM2
2031,686593808.7672895,228186334.4707191,1051959445.236545,CMCC-ESM2
2032,664853066.898147,223400467.66499424,1038097406.5935932,CMCC-ESM2
2033,708166885.530315,263256145.7341396,1054955693.3317488,CMCC-ESM2
2034,709084278.2420079,259381822.5354979,1087386314.689081,CMCC-ESM2
2035,708515709.9102418,260244690.601364,1061635076.847895,CMCC-ESM2
2036,695910512.261819,242438940.01548755,1052282055.3021675,CMCC-ESM2
2037,667256800.288688,229314096.85383973,992594238.698157,CMCC-ESM2
2038,674086765.2771717,233320438.55702588,1035472015.1007665,CMCC-ESM2
2039,692435599.796337,223453122.32509112,1077726850.7692478,CMCC-ESM2
2040,674441671.5273426,227812851.94806015,1035161804.2157847,CMCC-ESM2
2041,662474287.4562063,209519278.37030935,1032504712.1777639,CMCC-ESM2
2042,663354866.9442488,206748343.9254361,1037988607.6545509,CMCC-ESM2
2043,667717858.5696746,239039617.31169644,1029687059.9517231,CMCC-ESM2
2044,684582087.5635928,247356127.67287305,1035426602.7047485,CMCC-ESM2
2045,669913640.5872849,258554955.08876976,1015450420.1977816,CMCC-ESM2
2046,655102089.4329962,226540599.72455302,999956152.7023414,CMCC-ESM2
2047,641348798.1078364,207833310.65462747,1012381708.0339187,CMCC-ESM2
2048,647332003.1546594,222510865.61191523,1007954122.7402807,CMCC-ESM2
2049,648062455.0938154,234669709.1439859,1009562110.5616283,CMCC-ESM2
2050,605489601.6251254,206488659.7625476,927768673.3114184,CMCC-ESM2
2051,596136973.1497041,195426449.0648185,914910960.3335152,CMCC-ESM2
2052,612622106.5998268,221846756.04652676,924127396.6585268,CMCC-ESM2
2053,582583647.2371962,199238754.7681726,927311829.3907022,CMCC-ESM2
2054,627552079.1438178,210401322.54537463,983481719.868145,CMCC-ESM2
2055,634647575.8459182,203425375.43580368,980322406.2496853,CMCC-ESM2
2056,598205368.4540046,177729284.86581248,949879731.3947916,CMCC-ESM2
2057,603612980.2221214,187776038.99131152,946512651.2667236,CMCC-ESM2
2058,577176550.1334994,189503629.22101447,900559687.4348192,CMCC-ESM2
2059,594030598.8007199,196794331.46366882,933106087.666297,CMCC-ESM2
2060,599885772.8662148,183376614.39582768,935546329.3993076,CMCC-ESM2
2061,580895831.8999845,189087971.7284181,907121794.256801,CMCC-ESM2
2062,583484575.5903944,180524014.40128317,902540109.7765793,CMCC-ESM2
2063,582509583.014983,171672295.07209364,934993202.2357296,CMCC-ESM2
2064,571735343.1845343,173064313.23254532,892276544.5405165,CMCC-ESM2
2065,559814768.4728366,170411017.42999032,861911761.3688599,CMCC-ESM2
2066,534827383.0865392,162632250.95830962,814231008.1747823,CMCC-ESM2
2067,601327061.2480073,189025736.7730799,942366579.5246843,CMCC-ESM2
2068,587915564.1983708,173088072.95444652,926517709.6377405,CMCC-ESM2
2069,565349795.6652297,173466380.43663296,897560016.7698025,CMCC-ESM2
2070,570314051.6107491,171384310.99872246,895085106.2582426,CMCC-ESM2
2071,515617309.43266493,169879850.49138126,780465745.2945095,CMCC-ESM2
2072,544377805.1318805,152747805.05689776,861759027.0323018,CMCC-ESM2
2073,515105479.3433861,136574889.2885183,806611762.0036694,CMCC-ESM2
2074,520429776.4836002,135707381.84978205,807004261.8666935,CMCC-ESM2
2075,512486454.7785384,133438014.19585615,801440908.2776331,CMCC-ESM2
2076,521171121.8129154,141025614.2268989,812350000.0701231,CMCC-ESM2
2077,501641987.0505286,147375415.16737258,781354672.4572163,CMCC-ESM2
2078,527487218.1169861,145596508.0162006,842092425.3846048,CMCC-ESM2
2079,501883083.05256224,139241558.12530524,798843606.5317723,CMCC-ESM2
2080,466958151.11119646,135578225.93953258,718625206.1056277,CMCC-ESM2
2081,476832420.0091372,119757859.48067033,763258750.0867805,CMCC-ESM2
2082,467841294.6442153,119454006.30442618,727705883.1166807,CMCC-ESM2
2083,477624525.4318741,123033073.7181526,734759861.3705956,CMCC-ESM2
2084,456608276.3569501,99994159.44766302,735235125.4974494,CMCC-ESM2
2085,452224236.57838935,106556555.59082949,718984798.7137839,CMCC-ESM2
2086,424831499.96767896,97703750.4926831,657436951.3505572,CMCC-ESM2
2087,411188997.4820142,95596504.84539585,639757070.0235981,CMCC-ESM2
2088,462406823.81017375,114032628.73973334,736830030.4827439,CMCC-ESM2
2089,464819482.44385785,105619965.47690143,742239229.1598272,CMCC-ESM2
2090,446415816.62908,88290123.26181997,720833908.8184515,CMCC-ESM2
2091,448336461.6868372,106716888.15922166,689310236.1696194,CMCC-ESM2
2092,457788564.516563,116397716.94150537,720468294.8345364,CMCC-ESM2
2093,428574983.46209145,95396206.46964376,685889414.0218893,CMCC-ESM2
2094,405794442.56476736,88098660.9993551,657910246.1228329,CMCC-ESM2
2095,400329021.579773,89910582.77660073,637832509.5852658,CMCC-ESM2
2096,418663274.9713855,94456262.74588585,656184815.1250613,CMCC-ESM2
2097,432598317.36917025,107340421.58398694,680511700.8727475,CMCC-ESM2
2098,427544788.96128654,95788946.89271338,686948908.9548444,CMCC-ESM2
2099,419438472.74769264,88603554.72246192,673100841.4694779,CMCC-ESM2
2100,410775030.7312948,82624851.45178686,668874871.1234256,CMCC-ESM2
