Year,Annual,Summer,Winter,Model
2015,0.15132602,1.3926849365234375,-0.6403682827949524,CMCC-ESM2
2016,0.1473282,1.2794054746627808,-0.5640226006507874,CMCC-ESM2
2017,0.21586996,1.3521240949630737,-0.5071318745613098,CMCC-ESM2
2018,0.25277746,1.4322370290756226,-0.49558886885643005,CMCC-ESM2
2019,0.3566145,1.4033232927322388,-0.32062941789627075,CMCC-ESM2
2020,0.30914506,1.5461922883987427,-0.4796297252178192,CMCC-ESM2
2021,0.17204534,1.3521791696548462,-0.5997434258460999,CMCC-ESM2
2022,0.061424624,1.1030136346817017,-0.6433656811714172,CMCC-ESM2
2023,0.26478526,1.421643614768982,-0.5185814499855042,CMCC-ESM2
2024,0.35393584,1.559308409690857,-0.3932375907897949,CMCC-ESM2
2025,0.37823114,1.5992885828018188,-0.3619879186153412,CMCC-ESM2
2026,0.22723192,1.2659286260604858,-0.4629850387573242,CMCC-ESM2
2027,0.35478202,1.5675554275512695,-0.4452585279941559,CMCC-ESM2
2028,0.3532226,1.5303711891174316,-0.3927326202392578,CMCC-ESM2
2029,0.283383,1.3053762912750244,-0.3948420584201813,CMCC-ESM2
2030,0.34312674,1.6083835363388062,-0.46862760186195374,CMCC-ESM2
2031,0.61125726,2.013015031814575,-0.26254913210868835,CMCC-ESM2
2032,0.57766646,1.7537764310836792,-0.1622845083475113,CMCC-ESM2
2033,0.5657036,1.8786345720291138,-0.27153506875038147,CMCC-ESM2
2034,0.36790004,1.5609159469604492,-0.3586746156215668,CMCC-ESM2
2035,0.358966,1.513863205909729,-0.4047207832336426,CMCC-ESM2
2036,0.43699434,1.6253581047058105,-0.35076388716697693,CMCC-ESM2
2037,0.67392343,2.022106409072876,-0.17942805588245392,CMCC-ESM2
2038,0.5652939,1.7224901914596558,-0.18178319931030273,CMCC-ESM2
2039,0.4590578,1.6189322471618652,-0.2526119649410248,CMCC-ESM2
2040,0.5117653,1.7393490076065063,-0.2653099000453949,CMCC-ESM2
2041,0.55802196,1.8895206451416016,-0.28680863976478577,CMCC-ESM2
2042,0.44420907,1.640770435333252,-0.3280492126941681,CMCC-ESM2
2043,0.4741502,1.6433566808700562,-0.2781204879283905,CMCC-ESM2
2044,0.4691687,1.608996033668518,-0.26725009083747864,CMCC-ESM2
2045,0.4850874,1.5056289434432983,-0.21632318198680878,CMCC-ESM2
