Year,Annual,Summer,Winter,Model
2015,-0.07251544808272549,0.4606255960698286,-0.3666265396527715,CMCC-ESM2
2016,-0.1072648512830573,0.3802220622723756,-0.4533245609139383,CMCC-ESM2
2017,-0.13251421934311994,0.35774780247465165,-0.5187956785590855,CMCC-ESM2
2018,-0.1957760464878924,0.24116750784980062,-0.5380190051887509,CMCC-ESM2
2019,-0.2559833320907824,0.21468239282687773,-0.655902307586415,CMCC-ESM2
2020,-0.1835236762909648,0.40394325094519373,-0.5384388866853056,CMCC-ESM2
2021,-0.09077043899179094,0.481070946849151,-0.46371476995285765,CMCC-ESM2
2022,-0.09638640443257833,0.48768184890359606,-0.449258401730221,CMCC-ESM2
2023,-0.16381821546008532,0.3092125943019639,-0.5711597558699262,CMCC-ESM2
2024,-0.18796530590171925,0.3530102469241825,-0.557665594049376,CMCC-ESM2
2025,-0.16841775721322202,0.3778798262920287,-0.5362386254967031,CMCC-ESM2
2026,-0.09945847779299989,0.3941051744486382,-0.42486756041643226,CMCC-ESM2
2027,-0.16460178543815718,0.2568357580078095,-0.5089335587495164,CMCC-ESM2
2028,-0.24035021227707912,0.2346945649654649,-0.5722500199655758,CMCC-ESM2
2029,-0.11386195181263496,0.45271500006392335,-0.43303541785332206,CMCC-ESM2
2030,-0.09068081935738011,0.18058706616703848,-0.37473582699640257,CMCC-ESM2
2031,-0.21476915191432366,0.18475615208508692,-0.5290744059933994,CMCC-ESM2
2032,-0.20039672471587663,0.43217073996930877,-0.5572526618203624,CMCC-ESM2
2033,-0.10213405587739582,0.30311626015206816,-0.49231157279940624,CMCC-ESM2
2034,-0.1612005220890055,0.25919804104466465,-0.4902367105483207,CMCC-ESM2
2035,-0.1318907719474255,0.3025577260291653,-0.46865054470125367,CMCC-ESM2
2036,-0.17630706830426354,0.05978923724076838,-0.5159257504502577,CMCC-ESM2
2037,-0.3550877393296004,-0.009528254638897936,-0.6803828506644245,CMCC-ESM2
2038,-0.28901638742261,0.20879759267921796,-0.6309843826441451,CMCC-ESM2
2039,-0.22017222960230143,0.3911311281149765,-0.5811002904689573,CMCC-ESM2
2040,-0.21420138736477357,0.20043366029514498,-0.5721698583862158,CMCC-ESM2
2041,-0.24728429304377206,0.2265821237808616,-0.5740458290276769,CMCC-ESM2
2042,-0.1557893817418539,0.36147156578767003,-0.44962031726197277,CMCC-ESM2
2043,-0.0848625273398158,0.36816896412110284,-0.45288280111482404,CMCC-ESM2
2044,-0.11492351436228543,0.2543584089343984,-0.46819000259092525,CMCC-ESM2
2045,-0.21576109251361134,0.2257114285712729,-0.5316432966679758,CMCC-ESM2
2046,-0.239957709760983,0.20097578518354164,-0.6220924223044556,CMCC-ESM2
2047,-0.1429322316599079,0.41387818699673273,-0.48216265301521233,CMCC-ESM2
2048,-0.08257370074216182,0.3496919668221713,-0.4250731278613357,CMCC-ESM2
2049,-0.20362085509068115,0.11018760139241843,-0.5648113307697387,CMCC-ESM2
2050,-0.2914898034228046,0.13235420246829735,-0.6245074312997466,CMCC-ESM2
2051,-0.18997714329674878,0.34973183407157615,-0.5372987032262816,CMCC-ESM2
2052,-0.19915888549143693,0.2855464787734035,-0.60145815506026,CMCC-ESM2
2053,-0.10137091934732474,0.3081694791508636,-0.4576303747303483,CMCC-ESM2
2054,-0.07493109869349263,0.2699720083650808,-0.36980805108828846,CMCC-ESM2
2055,-0.13135188332334052,0.25744911986021474,-0.44558004662033446,CMCC-ESM2
2056,-0.18043822824954267,0.24901616191555284,-0.563276261184957,CMCC-ESM2
2057,-0.2389784652162419,0.10078061662877684,-0.6262142758234038,CMCC-ESM2
2058,-0.25430178590157065,0.3201165955959977,-0.6269111249783926,CMCC-ESM2
2059,-0.16930990054630388,0.17635807229059533,-0.5320799455963878,CMCC-ESM2
2060,-0.16342710501846672,0.1828074787932088,-0.4906906212230474,CMCC-ESM2
2061,-0.2063543615117057,0.1751548732630875,-0.5722449628016807,CMCC-ESM2
2062,-0.22545706927554257,0.07301904649178528,-0.5507130294636929,CMCC-ESM2
2063,-0.17262144518633837,0.3311472746404873,-0.4730464796262476,CMCC-ESM2
2064,-0.16021722373300662,0.23681159027077756,-0.5158912709228063,CMCC-ESM2
2065,-0.23043202818324993,0.04224829426251683,-0.6202349058026833,CMCC-ESM2
2066,-0.29297792872207434,0.27660979065326896,-0.6302089373378166,CMCC-ESM2
2067,-0.15626075983073007,0.19040128092531308,-0.5209379211096391,CMCC-ESM2
2068,-0.13864131503120133,0.22440840436242218,-0.46221006936989545,CMCC-ESM2
2069,-0.11368067066593195,0.20425408989557053,-0.4476117175791094,CMCC-ESM2
2070,-0.22502553704872452,0.011728370626126437,-0.5366594377155173,CMCC-ESM2
2071,-0.2818912918257049,0.11260733717551905,-0.6656800287851127,CMCC-ESM2
2072,-0.2497820100245858,0.02162179308335922,-0.5879262262650641,CMCC-ESM2
2073,-0.24671822967745502,0.05401592307920669,-0.5446840476566746,CMCC-ESM2
2074,-0.26511606814217686,0.1610909747615504,-0.596671088576791,CMCC-ESM2
2075,-0.28599165786670516,0.07693459329664694,-0.6760463054768813,CMCC-ESM2
2076,-0.2793335592496266,0.1340342099489062,-0.6225549151715432,CMCC-ESM2
2077,-0.18091676482844574,0.12176352212176163,-0.5148912752134509,CMCC-ESM2
2078,-0.18018059928451932,0.07096868085362133,-0.4921704077189408,CMCC-ESM2
2079,-0.2222568171936787,0.00905289375819867,-0.5695615308278783,CMCC-ESM2
2080,-0.30741454711086275,0.11049492556356715,-0.6905599120383963,CMCC-ESM2
2081,-0.25499544999359525,0.007760005377479773,-0.6079287717447656,CMCC-ESM2
2082,-0.2352185057910333,0.055392467174300124,-0.57348916117473,CMCC-ESM2
2083,-0.24060931667141483,-0.09098378743124756,-0.5468271815296906,CMCC-ESM2
2084,-0.3021616293683384,-0.0946128940394798,-0.5941055848113307,CMCC-ESM2
2085,-0.2675468083547536,-0.04796497112521314,-0.538105616016098,CMCC-ESM2
2086,-0.33562287528554974,-0.03788264666133514,-0.6674201065616308,CMCC-ESM2
2087,-0.2943437658332138,0.04836536603175025,-0.6161498713379757,CMCC-ESM2
2088,-0.23519103913053363,0.14779977421968904,-0.5950212648681157,CMCC-ESM2
2089,-0.24257223649243617,-0.09037223465663947,-0.582941597574642,CMCC-ESM2
2090,-0.33614491218877546,0.01051667173253653,-0.6807094445373131,CMCC-ESM2
2091,-0.3317439226514637,-0.08952837753151177,-0.70471790671615,CMCC-ESM2
2092,-0.3233078975411347,-0.021531210611011802,-0.6474470072079836,CMCC-ESM2
2093,-0.25462810707017564,-0.027441269298758463,-0.6052528312803536,CMCC-ESM2
2094,-0.19001416686315042,0.08708138774729099,-0.5084475674508477,CMCC-ESM2
2095,-0.27067199739971315,-0.10637233854549241,-0.6417725574965507,CMCC-ESM2
2096,-0.3722942787365969,-0.02906058794200904,-0.7348393786818272,CMCC-ESM2
2097,-0.2986528523384185,-0.058149098606617315,-0.6372238465352259,CMCC-ESM2
2098,-0.2406115730484837,0.04290250384930721,-0.5649298264517146,CMCC-ESM2
2099,-0.27553140503837736,0.0310050238203066,-0.6496257889287574,CMCC-ESM2
2100,-0.3059044004145909,0.31312088588762566,-0.6338399324916574,CMCC-ESM2
