Year,Annual,Summer,Winter,Model
2015,-0.7320695,0.3387121260166168,-1.4577075242996216,CMCC-ESM2
2016,-0.77304196,0.18627481162548065,-1.4270192384719849,CMCC-ESM2
2017,-0.72389036,0.2492348998785019,-1.3848390579223633,CMCC-ESM2
2018,-0.71591854,0.2900654971599579,-1.4163538217544556,CMCC-ESM2
2019,-0.58538026,0.41811227798461914,-1.2915056943893433,CMCC-ESM2
2020,-0.61599594,0.4968777596950531,-1.3888602256774902,CMCC-ESM2
2021,-0.6781599,0.36646565794944763,-1.4090598821640015,CMCC-ESM2
2022,-0.75218004,0.18708360195159912,-1.416845440864563,CMCC-ESM2
2023,-0.6179732,0.4307746887207031,-1.3538180589675903,CMCC-ESM2
2024,-0.5926028,0.4997587203979492,-1.3517943620681763,CMCC-ESM2
2025,-0.60339385,0.4733099937438965,-1.3456209897994995,CMCC-ESM2
2026,-0.7031092,0.20370741188526154,-1.355093002319336,CMCC-ESM2
2027,-0.6232106,0.4690258800983429,-1.366188883781433,CMCC-ESM2
2028,-0.6271842,0.38490715622901917,-1.3486675024032593,CMCC-ESM2
2029,-0.6320164,0.34659406542778015,-1.3507336378097534,CMCC-ESM2
2030,-0.5720366,0.5715314745903015,-1.341433048248291,CMCC-ESM2
2031,-0.47442746,0.7619886994361877,-1.2921212911605835,CMCC-ESM2
2032,-0.5110216,0.568977952003479,-1.2665033340454102,CMCC-ESM2
2033,-0.50121737,0.6818151473999023,-1.2975443601608276,CMCC-ESM2
2034,-0.62961495,0.3976358473300934,-1.3226113319396973,CMCC-ESM2
2035,-0.57251334,0.5098416209220886,-1.2996805906295776,CMCC-ESM2
2036,-0.55713755,0.4667266309261322,-1.255092978477478,CMCC-ESM2
2037,-0.44080767,0.7234232425689697,-1.222336769104004,CMCC-ESM2
2038,-0.5213928,0.5343771576881409,-1.2618924379348755,CMCC-ESM2
2039,-0.587303,0.5005393624305725,-1.3150701522827148,CMCC-ESM2
2040,-0.50584567,0.6505177021026611,-1.2975096702575684,CMCC-ESM2
2041,-0.48192406,0.7085237503051758,-1.2917653322219849,CMCC-ESM2
2042,-0.5405664,0.6350638270378113,-1.3188115358352661,CMCC-ESM2
2043,-0.50989306,0.6004300713539124,-1.2581990957260132,CMCC-ESM2
2044,-0.5070279,0.5939567685127258,-1.2487770318984985,CMCC-ESM2
2045,-0.5729781,0.36590883135795593,-1.244960904121399,CMCC-ESM2
2046,-0.39767626,0.7476294040679932,-1.1745136976242065,CMCC-ESM2
2047,-0.43474224,0.687964141368866,-1.1944791078567505,CMCC-ESM2
2048,-0.46669865,0.6182546615600586,-1.2318869829177856,CMCC-ESM2
2049,-0.45276964,0.6416816711425781,-1.2092700004577637,CMCC-ESM2
2050,-0.36104143,0.6657356023788452,-1.0880085229873657,CMCC-ESM2
2051,-0.34526977,0.7376565933227539,-1.0908643007278442,CMCC-ESM2
2052,-0.27644965,0.9330332279205322,-1.101313591003418,CMCC-ESM2
2053,-0.22473042,0.9965940117835999,-1.0443814992904663,CMCC-ESM2
2054,-0.34457946,0.8495092391967773,-1.1578726768493652,CMCC-ESM2
2055,-0.42514262,0.6306299567222595,-1.1706856489181519,CMCC-ESM2
2056,-0.33282855,0.8289740681648254,-1.142537236213684,CMCC-ESM2
2057,-0.30965963,0.8523709177970886,-1.123914122581482,CMCC-ESM2
2058,-0.3043912,0.7149829864501953,-1.0399826765060425,CMCC-ESM2
2059,-0.29161492,0.7785518169403076,-1.0661779642105103,CMCC-ESM2
2060,-0.241229,0.9560975432395935,-1.0698022842407227,CMCC-ESM2
2061,-0.28238353,0.8275988101959229,-1.0554449558258057,CMCC-ESM2
2062,-0.30690894,0.7685405611991882,-1.0622872114181519,CMCC-ESM2
2063,-0.31132755,0.897939920425415,-1.1297870874404907,CMCC-ESM2
2064,-0.26980454,0.8829417824745178,-1.0628238916397095,CMCC-ESM2
2065,-0.1612483,1.082593560218811,-1.015302062034607,CMCC-ESM2
2066,-0.118069,1.0618566274642944,-0.8954901099205017,CMCC-ESM2
2067,-0.22583626,1.0543370246887207,-1.0680991411209106,CMCC-ESM2
2068,-0.26134425,0.9278350472450256,-1.0887956619262695,CMCC-ESM2
2069,-0.23241712,0.8689960837364197,-1.0540670156478882,CMCC-ESM2
2070,-0.253517,0.8912152647972107,-1.0473588705062866,CMCC-ESM2
2071,-0.108421564,1.0529407262802124,-0.8889594078063965,CMCC-ESM2
2072,-0.17738764,1.0037622451782227,-0.9625716209411621,CMCC-ESM2
2073,-0.044730812,1.294906497001648,-0.9136077761650085,CMCC-ESM2
2074,-0.06383253,1.1542607545852661,-0.880598247051239,CMCC-ESM2
2075,-0.0065207146,1.2956643104553223,-0.8515748977661133,CMCC-ESM2
2076,-0.041479442,1.1979843378067017,-0.860517680644989,CMCC-ESM2
2077,-0.026706608,1.2315152883529663,-0.8524207472801208,CMCC-ESM2
2078,-0.077919975,1.2100099325180054,-0.9266877174377441,CMCC-ESM2
2079,-0.023782535,1.1793826818466187,-0.8661457896232605,CMCC-ESM2
2080,0.060571562,1.1965062618255615,-0.7413083910942078,CMCC-ESM2
2081,0.11731752,1.4837778806686401,-0.7950243949890137,CMCC-ESM2
2082,0.19473334,1.5801719427108765,-0.7366582751274109,CMCC-ESM2
2083,0.04603963,1.188464641571045,-0.7436415553092957,CMCC-ESM2
2084,0.12080961,1.4167863130569458,-0.7825493812561035,CMCC-ESM2
