Year,Annual,Summer,Winter,Model
2015,0.3011926291240478,-0.018879540343493515,0.627725304084193,CMCC-ESM2
2016,0.2529136193334022,0.01166828700343646,0.5460697945662412,CMCC-ESM2
2017,0.23630142468817758,-0.1629586875805756,0.5530115731261013,CMCC-ESM2
2018,0.18942529750500228,-0.16354570569552068,0.47707374383476897,CMCC-ESM2
2019,0.15408379083204585,-0.1830420245519249,0.42905762359725136,CMCC-ESM2
2020,0.29398719118601824,0.0028983501104766418,0.6385970876501061,CMCC-ESM2
2021,0.3264292406757967,-0.047260209404700555,0.6799778029772963,CMCC-ESM2
2022,0.2777067895069798,-0.11764894416555914,0.640673109183078,CMCC-ESM2
2023,0.24357885970364912,-0.024596701267563185,0.6449336332351753,CMCC-ESM2
2024,0.21806398385052736,-0.1052073848525263,0.49525865246594,CMCC-ESM2
2025,0.18602564313632353,-0.10478987521122964,0.44224355979377195,CMCC-ESM2
2026,0.2135439230238957,-0.1969342004571231,0.48110889479191316,CMCC-ESM2
2027,0.1734281498925481,-0.20964062553411916,0.4433761851070907,CMCC-ESM2
2028,0.11723133540028254,-0.12262834364120888,0.2981284676380422,CMCC-ESM2
2029,0.24322961448110172,-0.021089187708324734,0.5319557210303466,CMCC-ESM2
2030,0.2164957580604087,-0.18021682553564422,0.5004871629392215,CMCC-ESM2
2031,0.12803512057348512,-0.2243039823448634,0.3439231236800536,CMCC-ESM2
2032,0.2070842461173595,-0.15170390011470836,0.5220948448109081,CMCC-ESM2
2033,0.26186017801068884,-0.0932695373381254,0.6201554345842846,CMCC-ESM2
2034,0.26484032128496254,-0.03101312117902425,0.5629537597935816,CMCC-ESM2
2035,0.2628618917550421,-0.08830785863223072,0.6071722758700279,CMCC-ESM2
2036,0.20557754557360178,-0.29967801620527246,0.544096055072279,CMCC-ESM2
2037,0.04978765847598996,-0.2817978480793797,0.2451335148653519,CMCC-ESM2
2038,0.1635745053050975,-0.1631317883822252,0.45778991154711934,CMCC-ESM2
2039,0.2504331849063215,-0.06670223721058877,0.5734585864213548,CMCC-ESM2
2040,0.21626905619430511,-0.14036662759046467,0.515998116941088,CMCC-ESM2
2041,0.13708479169113807,-0.0832279860304936,0.38830465284888366,CMCC-ESM2
2042,0.29559155292185774,-0.015423010984217425,0.7028111040330822,CMCC-ESM2
2043,0.2911862074741967,-0.0415418081766412,0.6498687065838076,CMCC-ESM2
2044,0.22161239756358286,-0.26019399562789247,0.5690072058593192,CMCC-ESM2
2045,0.1340635343027654,-0.2554733843277973,0.3818816718648137,CMCC-ESM2
2046,0.1708778910557828,-0.06913141462383328,0.4882119590099474,CMCC-ESM2
2047,0.28751812317412534,-0.051513840567853825,0.6510449755971828,CMCC-ESM2
2048,0.3241293608523106,-0.1016831987989842,0.7085844669783148,CMCC-ESM2
2049,0.18986304377680985,-0.2902622963776794,0.5119547942930835,CMCC-ESM2
2050,0.11769218429672122,-0.25403122703531494,0.4099225866453784,CMCC-ESM2
2051,0.18147569490626222,-0.2660863843062705,0.5126189271090046,CMCC-ESM2
2052,0.17994925322341823,-0.1871074154574769,0.5339084300291217,CMCC-ESM2
2053,0.26444401450788896,-0.16799414546054833,0.6222915876789566,CMCC-ESM2
2054,0.2819440241521379,-0.12277722332569906,0.6350665766657955,CMCC-ESM2
2055,0.23335175044090525,-0.07382023763832368,0.5588479619303904,CMCC-ESM2
2056,0.22189379152118663,-0.18391458002545258,0.5272181918318525,CMCC-ESM2
2057,0.16883842880484393,-0.23803296229567525,0.47207659984018063,CMCC-ESM2
2058,0.196490583332063,-0.2995030311805978,0.5854146255687207,CMCC-ESM2
2059,0.2190540690692754,-0.17934119044591346,0.6432141068659204,CMCC-ESM2
2060,0.26143444441861,-0.15480045770334364,0.6645531931008543,CMCC-ESM2
2061,0.257482246127197,-0.16251471252446378,0.6013403449233377,CMCC-ESM2
2062,0.22956801781433747,-0.2134276998157227,0.5954451447771814,CMCC-ESM2
2063,0.26145396417241423,-0.1003312459975549,0.6732499436246489,CMCC-ESM2
2064,0.27421361279544226,-0.12524359966257248,0.6903665949033687,CMCC-ESM2
2065,0.197721035117725,-0.3016938781343985,0.5681333090345103,CMCC-ESM2
2066,0.174208963396144,-0.148785210361398,0.5105818419619502,CMCC-ESM2
2067,0.26594430008641606,-0.21896975767629515,0.6836582299909902,CMCC-ESM2
2068,0.2879060532971673,-0.1690994397916163,0.6939119709906184,CMCC-ESM2
2069,0.29675602583532135,-0.16864383403736635,0.6977416965206514,CMCC-ESM2
2070,0.22336300722366653,-0.22767398569030037,0.5796778107528852,CMCC-ESM2
2071,0.17307236158935105,-0.38688972595756604,0.5173316258626023,CMCC-ESM2
2072,0.21013881937356685,-0.28088046328067423,0.6449667004803014,CMCC-ESM2
2073,0.2379226848509407,-0.27048903336544516,0.6553560786633357,CMCC-ESM2
2074,0.1955335497388014,-0.30653701480186957,0.5691869041295672,CMCC-ESM2
2075,0.18045230324850917,-0.2628208907783824,0.5060495886148577,CMCC-ESM2
2076,0.1887234435366235,-0.2396754596045734,0.5461141827647361,CMCC-ESM2
2077,0.22978315388476725,-0.2305901085288025,0.6485146034462308,CMCC-ESM2
2078,0.2602948258728387,-0.16383479005810464,0.7035696447255412,CMCC-ESM2
2079,0.2561522690715258,-0.2667096117172006,0.6744414731481356,CMCC-ESM2
2080,0.20608676897018274,-0.31676278022817256,0.5818366585431941,CMCC-ESM2
2081,0.19939723581046098,-0.33434816227002584,0.6542386392520075,CMCC-ESM2
2082,0.23261738860584735,-0.2708515943342686,0.6230039537748402,CMCC-ESM2
2083,0.20556331147417609,-0.37769135047957714,0.5863350481992722,CMCC-ESM2
2084,0.18334978951460734,-0.3258885936402982,0.6385852186157859,CMCC-ESM2
2085,0.20459659088926993,-0.3605833123523157,0.6815680210275382,CMCC-ESM2
2086,0.15311070605202423,-0.32649582776557334,0.5942185475125064,CMCC-ESM2
2087,0.18867752817390726,-0.35556600318822656,0.5478124223965013,CMCC-ESM2
2088,0.19145179293560496,-0.4086722697476412,0.6468281856472786,CMCC-ESM2
2089,0.22446274836957703,-0.3197238559104791,0.706377934786875,CMCC-ESM2
2090,0.2190584114446944,-0.36515412288589355,0.6696221727739811,CMCC-ESM2
2091,0.19150997706786743,-0.4375484368927943,0.6400525929868243,CMCC-ESM2
2092,0.19574233202788485,-0.3773679898415507,0.645767091195553,CMCC-ESM2
2093,0.2208926006338151,-0.2484886982776316,0.6559987880995264,CMCC-ESM2
2094,0.27747928707867736,-0.2939151831863246,0.7092240763821632,CMCC-ESM2
2095,0.2134950538991904,-0.4980556058732475,0.6616959807319898,CMCC-ESM2
2096,0.15251833889014163,-0.398063923465324,0.6546925433309715,CMCC-ESM2
2097,0.2015580309053049,-0.34635329380401647,0.7009274017128193,CMCC-ESM2
2098,0.22275056848197758,-0.4203388946958428,0.6896276443610417,CMCC-ESM2
2099,0.2325266485010047,-0.32200022319012667,0.6659450574323039,CMCC-ESM2
2100,0.19049484989724094,-0.46671336999877555,0.645157352029651,CMCC-ESM2
