Year,Annual,Summer,Winter,Model
2015,-0.6731778915361425,-0.607705445681514,-0.8150057861796765,CMCC-ESM2
2016,-0.6910796385321758,-0.5995303294780336,-0.8370788551584291,CMCC-ESM2
2017,-0.6986556406334671,-0.7042446105040726,-0.8520643455578338,CMCC-ESM2
2018,-0.7392341685604734,-0.6674830837031325,-0.8589845346474065,CMCC-ESM2
2019,-0.6958473387861237,-0.5919805961007424,-0.8226014393784603,CMCC-ESM2
2020,-0.6755931605625771,-0.6859528735157621,-0.8395238236714428,CMCC-ESM2
2021,-0.7277518477623413,-0.7376139158065854,-0.8476237691190048,CMCC-ESM2
2022,-0.7286811658195685,-0.7591640320225437,-0.839898413131342,CMCC-ESM2
2023,-0.7122563445785253,-0.5985269414542631,-0.8644751372437426,CMCC-ESM2
2024,-0.6792662579084832,-0.6226458370786995,-0.8478938322328359,CMCC-ESM2
2025,-0.7048500650526952,-0.6107080480332359,-0.8413214130729836,CMCC-ESM2
2026,-0.6768015000583906,-0.7225851790756774,-0.8160399900916397,CMCC-ESM2
2027,-0.7219626507968676,-0.7142039366298264,-0.8512932136641264,CMCC-ESM2
2028,-0.6908776496251056,-0.603296781413699,-0.7930933586433982,CMCC-ESM2
2029,-0.6977165482505039,-0.6929477671865845,-0.8254353444601075,CMCC-ESM2
2030,-0.71671470905848,-0.6367751828068137,-0.8557369779782543,CMCC-ESM2
2031,-0.6909990533525083,-0.6633593960096462,-0.8345827484216771,CMCC-ESM2
2032,-0.6903686788640057,-0.711326938422507,-0.8488019769956208,CMCC-ESM2
2033,-0.7285233647763528,-0.6614177718841501,-0.8811202786752448,CMCC-ESM2
2034,-0.6949430457421596,-0.648235245626192,-0.8661739879038006,CMCC-ESM2
2035,-0.7108863958427477,-0.6591390847984916,-0.8590416565584509,CMCC-ESM2
2036,-0.6972229864977848,-0.6484242404491644,-0.8650548086172682,CMCC-ESM2
2037,-0.6691524400216636,-0.48709611938315883,-0.8140304970826125,CMCC-ESM2
2038,-0.6591550902484372,-0.5633994366369159,-0.857099929927325,CMCC-ESM2
2039,-0.6896715392746094,-0.6972167079689737,-0.8635852316817899,CMCC-ESM2
2040,-0.7217905125341978,-0.6672179840396575,-0.8821452531816714,CMCC-ESM2
2041,-0.6871272711411422,-0.6009012493645807,-0.8394329218448078,CMCC-ESM2
2042,-0.6826375616454411,-0.6392611642484562,-0.8675414543919301,CMCC-ESM2
2043,-0.7119450319447974,-0.7004536655631315,-0.8741238288656167,CMCC-ESM2
2044,-0.7171466335349245,-0.7126424481680698,-0.8817318959964455,CMCC-ESM2
2045,-0.7304811418040247,-0.715194240055573,-0.8574879619165834,CMCC-ESM2
2046,-0.7161221888387582,-0.5923057063292192,-0.8757870022960986,CMCC-ESM2
2047,-0.6928022779022999,-0.649939519525444,-0.878033521744519,CMCC-ESM2
2048,-0.7061822710859218,-0.6445324586000157,-0.8706699489871719,CMCC-ESM2
