Year,Annual,Summer,Winter,Model
2015,-0.7523685180265908,-0.8791657762580748,-0.857439181373328,CMCC-ESM2
2016,-0.7682421793060018,-0.877829222749737,-0.8609676833517562,CMCC-ESM2
2017,-0.7619540673600079,-0.869017540652166,-0.8603148202164215,CMCC-ESM2
2018,-0.764052757138709,-0.854103704165709,-0.8717260567153721,CMCC-ESM2
2019,-0.7702968672547891,-0.8496346473631873,-0.8604687746393058,CMCC-ESM2
2020,-0.7347026555749209,-0.849291644815918,-0.8361682993442727,CMCC-ESM2
2021,-0.7430266118050212,-0.8802759246796265,-0.8406759118768766,CMCC-ESM2
2022,-0.7450386954382072,-0.8670018400234898,-0.8558083427036638,CMCC-ESM2
2023,-0.7487949672595273,-0.8430140503389785,-0.8561458489151245,CMCC-ESM2
2024,-0.7485528503324987,-0.8651781111055737,-0.866509870866875,CMCC-ESM2
2025,-0.7675179266616609,-0.8519129984845906,-0.8589445230545639,CMCC-ESM2
2026,-0.7454751606631985,-0.8741394154276534,-0.8625518342140889,CMCC-ESM2
2027,-0.7697648583562356,-0.8754385001362194,-0.860278802478525,CMCC-ESM2
2028,-0.7475701993803039,-0.8560976674011859,-0.8352471815741173,CMCC-ESM2
2029,-0.7429153614889867,-0.8518067551447153,-0.8551914627185966,CMCC-ESM2
2030,-0.7685568495667919,-0.8288332397794068,-0.8625137563068117,CMCC-ESM2
2031,-0.7475342080077977,-0.8513604460514984,-0.8538144511458929,CMCC-ESM2
2032,-0.7329172744012453,-0.8471454748089505,-0.8622228053397004,CMCC-ESM2
2033,-0.7531996301940328,-0.8712288262086241,-0.864533520945862,CMCC-ESM2
2034,-0.7534919701242725,-0.8605971064586327,-0.8585275496119605,CMCC-ESM2
2035,-0.7365654771294378,-0.8434437705045869,-0.8473809153798949,CMCC-ESM2
2036,-0.7464170780924854,-0.8225113251950937,-0.856667293772127,CMCC-ESM2
2037,-0.7478974785866962,-0.8175648325831678,-0.8432789913730151,CMCC-ESM2
2038,-0.7257777670874349,-0.8357535787216316,-0.8593061319525852,CMCC-ESM2
2039,-0.7363601457170601,-0.8473729712674649,-0.8668433342613215,CMCC-ESM2
2040,-0.7501949996982941,-0.8325461977096856,-0.8641753249513368,CMCC-ESM2
2041,-0.7344681973326658,-0.805219764228536,-0.8428230424210175,CMCC-ESM2
2042,-0.7151624599202785,-0.8512883363194864,-0.851597283010765,CMCC-ESM2
2043,-0.7394958446911009,-0.84989503664573,-0.8550517986563189,CMCC-ESM2
2044,-0.7370239066762195,-0.8551279457291859,-0.848383898039392,CMCC-ESM2
2045,-0.7556466142672612,-0.862788433698721,-0.8458753474625347,CMCC-ESM2
2046,-0.750572162679136,-0.8187810102001583,-0.8611183876829362,CMCC-ESM2
2047,-0.710756779179848,-0.8277257568823204,-0.8554852609814985,CMCC-ESM2
2048,-0.7211759906754999,-0.8499015327607327,-0.8564822879706859,CMCC-ESM2
2049,-0.7444453867752424,-0.8605893463365109,-0.8488072129750875,CMCC-ESM2
2050,-0.7386127802208567,-0.80554794033497,-0.8509678995808445,CMCC-ESM2
2051,-0.717148013062733,-0.8537030600605031,-0.8470439900280144,CMCC-ESM2
2052,-0.758247870775466,-0.8292264393998464,-0.8622861192322852,CMCC-ESM2
2053,-0.7131828050678601,-0.8291363641808035,-0.8596350571331313,CMCC-ESM2
2054,-0.7184941257228002,-0.8293863025291041,-0.8539865784072858,CMCC-ESM2
2055,-0.7148902891321615,-0.8165314099202465,-0.8462020087999791,CMCC-ESM2
2056,-0.7035254899562027,-0.8198656994850825,-0.8369565241347767,CMCC-ESM2
2057,-0.7360605454015143,-0.8276244289009759,-0.8341256144533203,CMCC-ESM2
2058,-0.7230504413443092,-0.8091463934649672,-0.853647463141538,CMCC-ESM2
2059,-0.7129476876396841,-0.8325654421315738,-0.8409977915930945,CMCC-ESM2
2060,-0.6959174231618275,-0.8034040995918792,-0.8438383033260618,CMCC-ESM2
2061,-0.6924390524974409,-0.8132011188399089,-0.8423538701527,CMCC-ESM2
2062,-0.7149248382081447,-0.7865394589390964,-0.8537428349078128,CMCC-ESM2
2063,-0.699368729468623,-0.8056807144804301,-0.844303934438489,CMCC-ESM2
2064,-0.711456287990737,-0.7787738951813831,-0.8406320287405825,CMCC-ESM2
2065,-0.7184461631784088,-0.7749982726404544,-0.8400881441238076,CMCC-ESM2
2066,-0.7036018760457138,-0.8091414125318409,-0.8370783798365034,CMCC-ESM2
2067,-0.7182613251150268,-0.8103065877045633,-0.8541422214355788,CMCC-ESM2
2068,-0.7059913400816772,-0.7783198706402641,-0.844385159255175,CMCC-ESM2
2069,-0.6896922987420484,-0.7948812441521895,-0.8453796278628264,CMCC-ESM2
2070,-0.7023061867740457,-0.7663202441982628,-0.8384102188168692,CMCC-ESM2
2071,-0.7008807777124532,-0.8099266620329697,-0.8193168890047209,CMCC-ESM2
2072,-0.6880262178056036,-0.7965550303246369,-0.8395880302960668,CMCC-ESM2
2073,-0.6843441664990056,-0.7633876442476673,-0.831123774361375,CMCC-ESM2
2074,-0.6945239813990333,-0.7725523206885835,-0.843510245474838,CMCC-ESM2
2075,-0.6627258834954332,-0.7736226220761598,-0.8214213962284783,CMCC-ESM2
2076,-0.7022931643789064,-0.7581793498672387,-0.8429055740130104,CMCC-ESM2
2077,-0.6811060818967061,-0.8109885806325248,-0.8303808728205164,CMCC-ESM2
2078,-0.6820706066782328,-0.7643300055124526,-0.8366666890483234,CMCC-ESM2
2079,-0.6757692413202726,-0.7808018551832016,-0.8320438972575694,CMCC-ESM2
2080,-0.6766844508751338,-0.7624165883193977,-0.8262410299807199,CMCC-ESM2
2081,-0.6755486156641087,-0.736579787192093,-0.8189506817490437,CMCC-ESM2
2082,-0.6630657628779328,-0.741681303962841,-0.8190098029778236,CMCC-ESM2
2083,-0.6722753317826203,-0.7355198369994838,-0.8315310598490346,CMCC-ESM2
2084,-0.64636047677628,-0.7037407863577091,-0.8220615534705618,CMCC-ESM2
2085,-0.6434198516508379,-0.7391357149716672,-0.8221692417497611,CMCC-ESM2
2086,-0.6735474023727632,-0.711203622616101,-0.8261754186190571,CMCC-ESM2
2087,-0.6348820317709193,-0.7144494041564328,-0.8277122045888206,CMCC-ESM2
2088,-0.6809124376141557,-0.7737717661367108,-0.8359992089345171,CMCC-ESM2
2089,-0.6588565515008783,-0.6269405650752838,-0.8381115257608626,CMCC-ESM2
2090,-0.6321102416640835,-0.7169771828930684,-0.8223766800068366,CMCC-ESM2
2091,-0.6472594894287185,-0.7373461343671496,-0.8181122321015595,CMCC-ESM2
2092,-0.639829513734894,-0.7355844536736245,-0.8256837710661962,CMCC-ESM2
2093,-0.6519327256181126,-0.6797824456709999,-0.8113184522019415,CMCC-ESM2
2094,-0.6337208497940544,-0.7370368255529193,-0.8235769391214995,CMCC-ESM2
2095,-0.634158177773937,-0.7046423702827034,-0.81766930330818,CMCC-ESM2
2096,-0.6435522901606358,-0.695616093931055,-0.8229720098933683,CMCC-ESM2
2097,-0.657648074308408,-0.7187154163191972,-0.8184414733709259,CMCC-ESM2
2098,-0.6160144576546043,-0.7389662653794546,-0.8172547499933733,CMCC-ESM2
2099,-0.6430888140731574,-0.7057616230539884,-0.8075379352994316,CMCC-ESM2
2100,-0.6280180869991581,-0.7506941356388341,-0.8200494306455319,CMCC-ESM2
