Year,Annual,Summer,Winter,Model
2015,-0.52809,0.5690184235572815,-1.2575525045394897,CMCC-ESM2
2016,-0.55946195,0.4301243722438812,-1.2183791399002075,CMCC-ESM2
2017,-0.50607425,0.49511900544166565,-1.1715750694274902,CMCC-ESM2
2018,-0.4894241,0.5474776029586792,-1.1912540197372437,CMCC-ESM2
2019,-0.3699825,0.6389909386634827,-1.0641369819641113,CMCC-ESM2
2020,-0.4074589,0.72137850522995,-1.1744871139526367,CMCC-ESM2
2021,-0.48088875,0.5830872058868408,-1.21135675907135,CMCC-ESM2
2022,-0.5584096,0.3969508111476898,-1.22337806224823,CMCC-ESM2
2023,-0.4095305,0.654539167881012,-1.1463958024978638,CMCC-ESM2
2024,-0.37561834,0.7342200875282288,-1.1250543594360352,CMCC-ESM2
2025,-0.38092694,0.7178501486778259,-1.1147880554199219,CMCC-ESM2
2026,-0.4865154,0.44228824973106384,-1.1389788389205933,CMCC-ESM2
2027,-0.3952527,0.7167227268218994,-1.142363429069519,CMCC-ESM2
2028,-0.40253028,0.6411945223808289,-1.1231881380081177,CMCC-ESM2
2029,-0.41954514,0.5678905844688416,-1.125912070274353,CMCC-ESM2
2030,-0.3516908,0.8123152256011963,-1.1233223676681519,CMCC-ESM2
2031,-0.22160137,1.0437371730804443,-1.044458270072937,CMCC-ESM2
2032,-0.26097074,0.8373549580574036,-1.0099772214889526,CMCC-ESM2
2033,-0.25523576,0.9527129530906677,-1.0566582679748535,CMCC-ESM2
2034,-0.39787057,0.6580879092216492,-1.091914176940918,CMCC-ESM2
2035,-0.35314786,0.7361025214195251,-1.0806493759155273,CMCC-ESM2
2036,-0.32079202,0.7312641143798828,-1.030342936515808,CMCC-ESM2
2037,-0.18206201,1.015450358390808,-0.9737537503242493,CMCC-ESM2
2038,-0.27299577,0.8009361624717712,-1.0093774795532227,CMCC-ESM2
2039,-0.3445849,0.756488025188446,-1.0660624504089355,CMCC-ESM2
2040,-0.26472262,0.902198851108551,-1.0465959310531616,CMCC-ESM2
2041,-0.24173188,0.9747800230979919,-1.0537323951721191,CMCC-ESM2
2042,-0.31006545,0.8623154163360596,-1.0796467065811157,CMCC-ESM2
2043,-0.28249416,0.8301682472229004,-1.0206867456436157,CMCC-ESM2
2044,-0.27792594,0.8244821429252625,-1.0094324350357056,CMCC-ESM2
2045,-0.32254186,0.6302515864372253,-0.9945033192634583,CMCC-ESM2
2046,-0.13925673,1.0196913480758667,-0.9122163653373718,CMCC-ESM2
2047,-0.19524437,0.9260606169700623,-0.9421147704124451,CMCC-ESM2
2048,-0.24090917,0.8455438017845154,-0.9962171912193298,CMCC-ESM2
