,Variable,Model,Type,Correlation
0,Iron,ACCESS-ESM1-5,Correlation,0.0786579454146386
1,NPP,ACCESS-ESM1-5,Correlation,0.9622478455858804
2,MLD,ACCESS-ESM1-5,Correlation,-0.0026000711548608
3,Nitrate,ACCESS-ESM1-5,Correlation,-0.2023793228315791
4,PAR,ACCESS-ESM1-5,Correlation,0.232803399734304
5,Sea ice fraction,ACCESS-ESM1-5,Correlation,0.1947368728479299
6,SST,ACCESS-ESM1-5,Correlation,-0.2175680363551353
7,Iron,CMCC-ESM2,Correlation,0.4805528843673534
8,NPP,CMCC-ESM2,Correlation,0.4357908066719566
9,Diatom,CMCC-ESM2,Correlation,0.4684080476413882
10,MLD,CMCC-ESM2,Correlation,0.1466012120673231
11,Nitrate,CMCC-ESM2,Correlation,0.1546310376662497
12,PAR,CMCC-ESM2,Correlation,0.3613258221476475
13,Sea ice fraction,CMCC-ESM2,Correlation,0.2192365507636041
14,SST,CMCC-ESM2,Correlation,-0.2472340031342647
15,NPP,EC-Earth3-CC,Correlation,0.932626695396752
16,Diatom,EC-Earth3-CC,Correlation,0.945449874020372
17,MLD,EC-Earth3-CC,Correlation,0.3657645242465213
18,Nitrate,EC-Earth3-CC,Correlation,0.1628999018227757
19,PAR,EC-Earth3-CC,Correlation,0.7310095384420715
20,Sea ice fraction,EC-Earth3-CC,Correlation,0.1474182586486306
21,SST,EC-Earth3-CC,Correlation,0.2159835012683424
22,Iron,IPSL-CM6A-LR,Correlation,0.1482122193600839
23,NPP,IPSL-CM6A-LR,Correlation,0.9724162390403362
24,Diatom,IPSL-CM6A-LR,Correlation,0.9801055282449616
25,MLD,IPSL-CM6A-LR,Correlation,-0.2198862353085172
26,Nitrate,IPSL-CM6A-LR,Correlation,-0.5477979609248892
27,PAR,IPSL-CM6A-LR,Correlation,0.7380488335874051
28,Sea ice fraction,IPSL-CM6A-LR,Correlation,0.3197643002484811
29,SST,IPSL-CM6A-LR,Correlation,-0.2929363672180181
30,Iron,MPI-ESM1-2-HR,Correlation,-0.67510537451502
31,NPP,MPI-ESM1-2-HR,Correlation,0.9188353924684616
32,MLD,MPI-ESM1-2-HR,Correlation,0.0098327415903793
33,Nitrate,MPI-ESM1-2-HR,Correlation,-0.6523030302720886
34,PAR,MPI-ESM1-2-HR,Correlation,0.7959495583969317
35,Sea ice fraction,MPI-ESM1-2-HR,Correlation,0.1862668391490791
36,SST,MPI-ESM1-2-HR,Correlation,0.1735618168160649
37,Export,EC-Earth3-CC,Correlation,
38,Export,MPI-ESM1-2-HR,Correlation,
39,Export,ACCESS-ESM1-5,Correlation,
40,Export,CMCC-ESM2,Correlation,
41,Export,IPSL-CM6A-LR,Correlation,
42,Iron,ACCESS-ESM1-5,Kendall,0.0879163401907193
43,NPP,ACCESS-ESM1-5,Kendall,0.920251229932218
44,MLD,ACCESS-ESM1-5,Kendall,-0.2547900877795228
45,Nitrate,ACCESS-ESM1-5,Kendall,-0.3772557921163599
46,PAR,ACCESS-ESM1-5,Kendall,0.6991336650661807
47,Sea ice fraction,ACCESS-ESM1-5,Kendall,0.4717748965161475
48,SST,ACCESS-ESM1-5,Kendall,-0.1809379463374654
49,Iron,CMCC-ESM2,Kendall,0.279009521651292
50,NPP,CMCC-ESM2,Kendall,0.6166661920859587
51,Diatom,CMCC-ESM2,Kendall,0.6444620480704668
52,MLD,CMCC-ESM2,Kendall,0.0552438566640652
53,Nitrate,CMCC-ESM2,Kendall,0.0597567024572901
54,PAR,CMCC-ESM2,Kendall,0.3546769951215737
55,Sea ice fraction,CMCC-ESM2,Kendall,0.2613062020347723
56,SST,CMCC-ESM2,Kendall,-0.231834852633074
57,NPP,EC-Earth3-CC,Kendall,0.7115789171031383
58,Diatom,EC-Earth3-CC,Kendall,0.7390435983288232
59,MLD,EC-Earth3-CC,Kendall,0.2652674930361926
60,Nitrate,EC-Earth3-CC,Kendall,0.0837416234074291
61,PAR,EC-Earth3-CC,Kendall,0.4524920812148686
62,Sea ice fraction,EC-Earth3-CC,Kendall,0.1927783632054212
63,SST,EC-Earth3-CC,Kendall,0.0945563267923915
64,Iron,IPSL-CM6A-LR,Kendall,0.2565668019722412
65,NPP,IPSL-CM6A-LR,Kendall,0.6039936195149509
66,Diatom,IPSL-CM6A-LR,Kendall,0.6953055293930613
67,MLD,IPSL-CM6A-LR,Kendall,-0.1548439040516541
68,Nitrate,IPSL-CM6A-LR,Kendall,-0.350021806258621
69,PAR,IPSL-CM6A-LR,Kendall,0.298913562453548
70,Sea ice fraction,IPSL-CM6A-LR,Kendall,0.2648409130641874
71,SST,IPSL-CM6A-LR,Kendall,-0.2106473652213942
72,Iron,MPI-ESM1-2-HR,Kendall,-0.5276769369181773
73,NPP,MPI-ESM1-2-HR,Kendall,0.7615380196773366
74,MLD,MPI-ESM1-2-HR,Kendall,-0.0672279626356852
75,Nitrate,MPI-ESM1-2-HR,Kendall,-0.5164082143007456
76,PAR,MPI-ESM1-2-HR,Kendall,0.557049374261622
77,Sea ice fraction,MPI-ESM1-2-HR,Kendall,0.078122432486375
78,SST,MPI-ESM1-2-HR,Kendall,0.1580868423003558
79,Export,EC-Earth3-CC,Kendall,
80,Export,MPI-ESM1-2-HR,Kendall,
81,Export,ACCESS-ESM1-5,Kendall,
82,Export,CMCC-ESM2,Kendall,
83,Export,IPSL-CM6A-LR,Kendall,
84,Iron,ACCESS-ESM1-5,Correlation_ice,0.2155938613619157
85,NPP,ACCESS-ESM1-5,Correlation_ice,0.2691135900699801
86,MLD,ACCESS-ESM1-5,Correlation_ice,-0.3502713727693859
87,Nitrate,ACCESS-ESM1-5,Correlation_ice,-0.5423359428439152
88,PAR,ACCESS-ESM1-5,Correlation_ice,0.4945773333039048
89,Sea ice fraction,ACCESS-ESM1-5,Correlation_ice,
90,SST,ACCESS-ESM1-5,Correlation_ice,-0.7844866819975583
91,Iron,CMCC-ESM2,Correlation_ice,0.0400792783979023
92,NPP,CMCC-ESM2,Correlation_ice,0.0966458282865428
93,Diatom,CMCC-ESM2,Correlation_ice,0.1236725109167919
94,MLD,CMCC-ESM2,Correlation_ice,-0.4542424794175531
95,Nitrate,CMCC-ESM2,Correlation_ice,-0.3567093963845057
96,PAR,CMCC-ESM2,Correlation_ice,0.0815614652887548
97,Sea ice fraction,CMCC-ESM2,Correlation_ice,
98,SST,CMCC-ESM2,Correlation_ice,-0.8842151094932986
99,NPP,EC-Earth3-CC,Correlation_ice,0.1376410869924293
100,Diatom,EC-Earth3-CC,Correlation_ice,0.0316027470323698
101,MLD,EC-Earth3-CC,Correlation_ice,-0.2644435762669282
102,Nitrate,EC-Earth3-CC,Correlation_ice,-0.5637546861506962
103,PAR,EC-Earth3-CC,Correlation_ice,0.3979656643789022
104,Sea ice fraction,EC-Earth3-CC,Correlation_ice,
105,SST,EC-Earth3-CC,Correlation_ice,-0.3922012610346913
106,Iron,IPSL-CM6A-LR,Correlation_ice,0.3514175622248103
107,NPP,IPSL-CM6A-LR,Correlation_ice,0.2834765263542586
108,Diatom,IPSL-CM6A-LR,Correlation_ice,0.343492774645571
109,MLD,IPSL-CM6A-LR,Correlation_ice,-0.5966058961329108
110,Nitrate,IPSL-CM6A-LR,Correlation_ice,-0.6211022506694167
111,PAR,IPSL-CM6A-LR,Correlation_ice,0.398022534549003
112,Sea ice fraction,IPSL-CM6A-LR,Correlation_ice,
113,SST,IPSL-CM6A-LR,Correlation_ice,-0.8658719390499195
