,Variable,Model,Season,Type,Correlation
0,Iron,ACCESS-ESM1-5,Summer,Correlation,0.066764354869853
1,Iron,ACCESS-ESM1-5,Winter,Correlation,0.057344930899992
2,NPP,ACCESS-ESM1-5,Summer,Correlation,0.913848337641285
3,NPP,ACCESS-ESM1-5,Winter,Correlation,0.48574109798576
4,MLD,ACCESS-ESM1-5,Summer,Correlation,-0.145343506542198
5,MLD,ACCESS-ESM1-5,Winter,Correlation,-0.015152311281837
6,Nitrate,ACCESS-ESM1-5,Summer,Correlation,-0.1254914150652
7,Nitrate,ACCESS-ESM1-5,Winter,Correlation,-0.16574475194612
8,PAR,ACCESS-ESM1-5,Summer,Correlation,0.13158968380619
9,PAR,ACCESS-ESM1-5,Winter,Correlation,0.046131822459032
10,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation,0.210444783333553
11,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation,0.141303844291068
12,SST,ACCESS-ESM1-5,Summer,Correlation,-0.138718372006307
13,SST,ACCESS-ESM1-5,Winter,Correlation,-0.103842283596243
14,Iron,CMCC-ESM2,Summer,Correlation,-0.360676235010932
15,Iron,CMCC-ESM2,Winter,Correlation,0.767070833191951
16,NPP,CMCC-ESM2,Summer,Correlation,0.166741333841898
17,NPP,CMCC-ESM2,Winter,Correlation,-0.018098265210004
18,Diatom,CMCC-ESM2,Summer,Correlation,0.146190308183885
19,Diatom,CMCC-ESM2,Winter,Correlation,0.005822102512769
20,MLD,CMCC-ESM2,Summer,Correlation,0.709687525747994
21,MLD,CMCC-ESM2,Winter,Correlation,-0.126063203756098
22,Nitrate,CMCC-ESM2,Summer,Correlation,0.165539185288583
23,Nitrate,CMCC-ESM2,Winter,Correlation,0.002938241637552
24,PAR,CMCC-ESM2,Summer,Correlation,0.403987961236606
25,PAR,CMCC-ESM2,Winter,Correlation,-0.091896426651104
26,Sea ice fraction,CMCC-ESM2,Summer,Correlation,-0.067179372618193
27,Sea ice fraction,CMCC-ESM2,Winter,Correlation,0.366309052496862
28,SST,CMCC-ESM2,Summer,Correlation,0.426725403214053
29,SST,CMCC-ESM2,Winter,Correlation,-0.419752710827233
30,NPP,EC-Earth3-CC,Summer,Correlation,0.706168974640629
31,NPP,EC-Earth3-CC,Winter,Correlation,-0.180380242791295
32,Diatom,EC-Earth3-CC,Summer,Correlation,0.876605676450876
33,Diatom,EC-Earth3-CC,Winter,Correlation,-0.177414285932368
34,MLD,EC-Earth3-CC,Summer,Correlation,0.21923933647912
35,MLD,EC-Earth3-CC,Winter,Correlation,-0.076068118342
36,Nitrate,EC-Earth3-CC,Summer,Correlation,-0.135341248146931
37,Nitrate,EC-Earth3-CC,Winter,Correlation,-0.026323870780282
38,PAR,EC-Earth3-CC,Summer,Correlation,0.681330170159304
39,PAR,EC-Earth3-CC,Winter,Correlation,-0.259261396047938
40,SST,EC-Earth3-CC,Summer,Correlation,0.580970654237206
41,SST,EC-Earth3-CC,Winter,Correlation,0.059887837726721
42,Iron,IPSL-CM6A-LR,Summer,Correlation,0.281968886270537
43,Iron,IPSL-CM6A-LR,Winter,Correlation,-0.067013759541254
44,NPP,IPSL-CM6A-LR,Summer,Correlation,0.967048715610076
45,NPP,IPSL-CM6A-LR,Winter,Correlation,-0.111675837577168
46,Diatom,IPSL-CM6A-LR,Summer,Correlation,0.968830774121077
47,Diatom,IPSL-CM6A-LR,Winter,Correlation,-0.120367187687601
48,MLD,IPSL-CM6A-LR,Summer,Correlation,-0.639551386770257
49,MLD,IPSL-CM6A-LR,Winter,Correlation,-0.441337238400589
