,Variable,Model,Zone,Type,Correlation
0,Iron,ACCESS-ESM1-5,Inc,Correlation,0.0786372655913917
1,Iron,ACCESS-ESM1-5,Dec,Correlation,0.6512913265525507
2,NPP,ACCESS-ESM1-5,Inc,Correlation,0.962277274071306
3,NPP,ACCESS-ESM1-5,Dec,Correlation,0.9739683806511334
4,MLD,ACCESS-ESM1-5,Inc,Correlation,-0.0019121542009715
5,MLD,ACCESS-ESM1-5,Dec,Correlation,-0.6132287411831046
6,Nitrate,ACCESS-ESM1-5,Inc,Correlation,-0.202289114311721
7,Nitrate,ACCESS-ESM1-5,Dec,Correlation,0.1625164871516019
8,PAR,ACCESS-ESM1-5,Inc,Correlation,0.2326014133097863
9,PAR,ACCESS-ESM1-5,Dec,Correlation,0.3151947485442137
10,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation,0.1971788764654803
11,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation,-0.4134828734496977
12,SST,ACCESS-ESM1-5,Inc,Correlation,-0.221233070452195
13,SST,ACCESS-ESM1-5,Dec,Correlation,0.5024733200604897
14,Iron,CMCC-ESM2,Inc,Correlation,0.4708335673249177
15,Iron,CMCC-ESM2,Dec,Correlation,0.10620818864457
16,NPP,CMCC-ESM2,Inc,Correlation,0.4163049075548552
17,NPP,CMCC-ESM2,Dec,Correlation,0.5434132484871611
18,Diatom,CMCC-ESM2,Inc,Correlation,0.4436346948499833
19,Diatom,CMCC-ESM2,Dec,Correlation,0.5802825351993297
20,MLD,CMCC-ESM2,Inc,Correlation,0.0905792093354563
21,MLD,CMCC-ESM2,Dec,Correlation,-0.0843053201900099
22,Nitrate,CMCC-ESM2,Inc,Correlation,0.1766878293696112
23,Nitrate,CMCC-ESM2,Dec,Correlation,-0.0698273532382272
24,PAR,CMCC-ESM2,Inc,Correlation,0.3502330230972591
25,PAR,CMCC-ESM2,Dec,Correlation,0.3935828438072293
26,Sea ice fraction,CMCC-ESM2,Inc,Correlation,0.1338000619732675
27,Sea ice fraction,CMCC-ESM2,Dec,Correlation,0.3977654254701572
28,SST,CMCC-ESM2,Inc,Correlation,-0.1206587592687078
29,SST,CMCC-ESM2,Dec,Correlation,-0.4463029342880157
30,NPP,EC-Earth3-CC,Inc,Correlation,0.9294047569448036
31,NPP,EC-Earth3-CC,Dec,Correlation,0.6710875180504838
32,Diatom,EC-Earth3-CC,Inc,Correlation,0.9392038196222998
33,Diatom,EC-Earth3-CC,Dec,Correlation,0.7225648972854022
