Year,Annual,Summer,Winter,Model
2015,18.228113,39.71048355102539,3.2256221771240234,EC-Earth3-CC
2016,18.625845,39.634822845458984,3.267077684402466,EC-Earth3-CC
2017,18.559433,40.80918502807617,3.269139051437378,EC-Earth3-CC
2018,18.5481,40.73086929321289,3.2285690307617188,EC-Earth3-CC
2019,18.267197,40.12411117553711,3.253040313720703,EC-Earth3-CC
2020,18.279612,39.52202224731445,3.209113359451294,EC-Earth3-CC
2021,18.64954,41.09164810180664,3.182046890258789,EC-Earth3-CC
2022,18.703005,40.88835525512695,3.240563154220581,EC-Earth3-CC
2023,17.750734,38.70968246459961,3.153578758239746,EC-Earth3-CC
2024,17.844913,39.06467056274414,3.1218175888061523,EC-Earth3-CC
2025,18.080488,39.18846130371094,3.127732276916504,EC-Earth3-CC
2026,18.09333,39.93592834472656,3.110485076904297,EC-Earth3-CC
2027,18.917261,41.46146774291992,3.159322738647461,EC-Earth3-CC
2028,19.458555,43.3223991394043,3.182689905166626,EC-Earth3-CC
2029,19.33606,42.77384567260742,3.2649147510528564,EC-Earth3-CC
2030,19.449549,43.1835823059082,3.1803455352783203,EC-Earth3-CC
2031,18.974085,41.24642562866211,3.2690610885620117,EC-Earth3-CC
2032,18.436562,40.391151428222656,3.1846230030059814,EC-Earth3-CC
2033,18.53142,40.58416748046875,3.2213895320892334,EC-Earth3-CC
2034,18.077026,39.90145492553711,3.216130018234253,EC-Earth3-CC
2035,17.899775,39.64274597167969,3.212031126022339,EC-Earth3-CC
2036,17.919073,38.88203811645508,3.163832426071167,EC-Earth3-CC
2037,18.67083,40.66598892211914,3.1939785480499268,EC-Earth3-CC
2038,18.4799,39.9840087890625,3.1778299808502197,EC-Earth3-CC
2039,18.79619,41.7322883605957,3.247359275817871,EC-Earth3-CC
2040,18.652325,41.23542785644531,3.169125556945801,EC-Earth3-CC
2041,18.238075,40.97542953491211,3.102308511734009,EC-Earth3-CC
2042,18.99306,41.50031661987305,3.225980758666992,EC-Earth3-CC
2043,18.653313,41.17621994018555,3.1583449840545654,EC-Earth3-CC
2044,18.799006,41.86029815673828,3.126154899597168,EC-Earth3-CC
2045,19.576902,43.52040481567383,3.161679983139038,EC-Earth3-CC
2046,18.424961,40.70907974243164,3.1853580474853516,EC-Earth3-CC
2047,18.628717,41.0086784362793,3.0938291549682617,EC-Earth3-CC
2048,19.217123,41.42532730102539,3.1398770809173584,EC-Earth3-CC
2049,18.764786,40.89336013793945,3.2083899974823,EC-Earth3-CC
2050,18.75882,41.01895523071289,3.1643459796905518,EC-Earth3-CC
2051,18.751589,40.238861083984375,3.2747344970703125,EC-Earth3-CC
2052,19.218918,42.007686614990234,3.154494524002075,EC-Earth3-CC
2053,19.096405,40.98923873901367,3.2341012954711914,EC-Earth3-CC
2054,18.986277,41.07974624633789,3.23506236076355,EC-Earth3-CC
2055,18.659336,40.93882369995117,3.168633460998535,EC-Earth3-CC
2056,19.76359,43.74721145629883,3.1534106731414795,EC-Earth3-CC
2057,19.581194,42.520198822021484,3.160673141479492,EC-Earth3-CC
2058,19.10686,41.745643615722656,3.192248582839966,EC-Earth3-CC
2059,19.532839,41.983802795410156,3.2242088317871094,EC-Earth3-CC
2060,19.521341,42.949527740478516,3.097785711288452,EC-Earth3-CC
2061,19.359444,42.179046630859375,3.1368703842163086,EC-Earth3-CC
2062,19.00638,41.39870071411133,3.168461561203003,EC-Earth3-CC
2063,19.631006,42.63975143432617,3.1730480194091797,EC-Earth3-CC
2064,19.30002,41.55293655395508,3.0746915340423584,EC-Earth3-CC
2065,19.550297,43.30209732055664,3.2341339588165283,EC-Earth3-CC
2066,19.922503,43.007843017578125,3.0945217609405518,EC-Earth3-CC
2067,20.0987,44.04854965209961,3.1553704738616943,EC-Earth3-CC
2068,19.516523,41.521209716796875,3.1160829067230225,EC-Earth3-CC
2069,19.311308,40.834476470947266,3.1214025020599365,EC-Earth3-CC
2070,19.900558,42.0482292175293,3.0854780673980713,EC-Earth3-CC
2071,19.46097,41.6602668762207,3.11691951751709,EC-Earth3-CC
2072,20.007437,42.74042892456055,3.0884597301483154,EC-Earth3-CC
2073,20.06047,42.36892318725586,3.092424154281616,EC-Earth3-CC
2074,19.383333,41.34941482543945,3.160964012145996,EC-Earth3-CC
2075,19.552345,40.87565994262695,3.147233009338379,EC-Earth3-CC
2076,20.255804,42.18172073364258,3.087940216064453,EC-Earth3-CC
2077,20.708115,42.53822708129883,3.0310781002044678,EC-Earth3-CC
2078,19.980867,41.60225296020508,3.1181480884552,EC-Earth3-CC
2079,19.539438,41.3532600402832,3.099627733230591,EC-Earth3-CC
2080,20.40145,43.2787971496582,3.116793394088745,EC-Earth3-CC
2081,20.191538,42.447261810302734,3.0546271800994873,EC-Earth3-CC
2082,20.33123,42.8455924987793,3.1131746768951416,EC-Earth3-CC
2083,19.70047,41.5271110534668,3.1078593730926514,EC-Earth3-CC
2084,19.616302,41.34531021118164,3.0472183227539062,EC-Earth3-CC
2085,19.604694,41.15484619140625,3.0609123706817627,EC-Earth3-CC
2086,20.483923,43.65043258666992,3.1128761768341064,EC-Earth3-CC
2087,20.272306,42.139923095703125,3.066439390182495,EC-Earth3-CC
2088,20.583876,43.75511169433594,3.055330991744995,EC-Earth3-CC
2089,20.424503,43.283203125,3.0781729221343994,EC-Earth3-CC
2090,21.49114,44.97597122192383,3.0894463062286377,EC-Earth3-CC
2091,21.170494,44.07704544067383,3.1099026203155518,EC-Earth3-CC
2092,21.056368,43.494075775146484,3.081120729446411,EC-Earth3-CC
2093,20.639341,42.13454055786133,3.045309066772461,EC-Earth3-CC
2094,21.327106,43.73202896118164,3.020069122314453,EC-Earth3-CC
2095,20.949862,43.37299728393555,3.0234146118164062,EC-Earth3-CC
2096,21.61667,44.834564208984375,3.0303008556365967,EC-Earth3-CC
2097,20.536116,42.12701416015625,3.100431442260742,EC-Earth3-CC
2098,20.253645,42.31044006347656,3.0816848278045654,EC-Earth3-CC
2099,20.66276,42.461612701416016,3.0344531536102295,EC-Earth3-CC
2100,20.561142,42.4056396484375,2.9897968769073486,EC-Earth3-CC
