Year,Annual,Summer,Winter,Model
2015,5.1677848e-08,1.2211658884098142e-07,9.500848108245918e-09,IPSL-CM6A-LR
2016,5.2299924e-08,1.270893363880532e-07,9.202373973948852e-09,IPSL-CM6A-LR
2017,5.4197667e-08,1.2735095822336007e-07,9.249269794509019e-09,IPSL-CM6A-LR
2018,5.1920765e-08,1.2082172418104165e-07,9.259648159343215e-09,IPSL-CM6A-LR
2019,5.2624383e-08,1.2421776318660704e-07,9.421306401691254e-09,IPSL-CM6A-LR
2020,5.301203e-08,1.2617478262200166e-07,9.822483271193505e-09,IPSL-CM6A-LR
2021,5.0219402e-08,1.1605987992879818e-07,9.606703876841038e-09,IPSL-CM6A-LR
2022,5.1913485e-08,1.225194665721574e-07,9.315960447509042e-09,IPSL-CM6A-LR
2023,5.2336773e-08,1.222219196961305e-07,9.329076178232754e-09,IPSL-CM6A-LR
2024,5.272771e-08,1.2229547508013638e-07,9.090205921324923e-09,IPSL-CM6A-LR
2025,5.290799e-08,1.2196015575227648e-07,9.560241487349685e-09,IPSL-CM6A-LR
2026,5.1639052e-08,1.203381145842286e-07,9.46746236962781e-09,IPSL-CM6A-LR
2027,5.04717e-08,1.1837014568527593e-07,9.257964173059463e-09,IPSL-CM6A-LR
2028,5.214191e-08,1.205246036306562e-07,9.68293800696074e-09,IPSL-CM6A-LR
2029,5.123987e-08,1.1893850881961043e-07,9.022357083665611e-09,IPSL-CM6A-LR
2030,5.3066845e-08,1.260585236195766e-07,9.715377835561867e-09,IPSL-CM6A-LR
2031,4.9922445e-08,1.1775410513337192e-07,9.215379570548521e-09,IPSL-CM6A-LR
2032,5.092582e-08,1.188242038097087e-07,9.364624631302831e-09,IPSL-CM6A-LR
2033,5.2723497e-08,1.2344760591531667e-07,9.355935581822905e-09,IPSL-CM6A-LR
2034,4.959229e-08,1.1477906269874438e-07,9.314555349249076e-09,IPSL-CM6A-LR
2035,5.2241777e-08,1.2247868141912477e-07,9.220738839132991e-09,IPSL-CM6A-LR
2036,5.1726605e-08,1.2177046926353796e-07,9.26084808838823e-09,IPSL-CM6A-LR
2037,5.1994025e-08,1.195247421037493e-07,9.914419507595085e-09,IPSL-CM6A-LR
2038,5.130782e-08,1.1855733106358457e-07,9.564382175142327e-09,IPSL-CM6A-LR
2039,4.9999354e-08,1.1417696299531599e-07,1.0085521751079796e-08,IPSL-CM6A-LR
2040,4.7977792e-08,1.0700266983576512e-07,9.304214287908508e-09,IPSL-CM6A-LR
2041,5.1501743e-08,1.2092421286524768e-07,9.256320154804598e-09,IPSL-CM6A-LR
2042,5.1911936e-08,1.2178607278201525e-07,9.485275676013316e-09,IPSL-CM6A-LR
2043,5.1466248e-08,1.2146166739057662e-07,9.249979449066359e-09,IPSL-CM6A-LR
2044,5.1668938e-08,1.204771251650527e-07,9.482531204696443e-09,IPSL-CM6A-LR
2045,4.955707e-08,1.1384768328071004e-07,9.516075927251677e-09,IPSL-CM6A-LR
2046,5.045102e-08,1.1739081173800514e-07,9.46989420214095e-09,IPSL-CM6A-LR
2047,5.0649476e-08,1.1502800845164529e-07,9.579374626866866e-09,IPSL-CM6A-LR
2048,5.2018866e-08,1.18660324233133e-07,9.221909458290156e-09,IPSL-CM6A-LR
2049,5.0342734e-08,1.1516933540178798e-07,9.538446477108664e-09,IPSL-CM6A-LR
2050,5.1541377e-08,1.1941223476696905e-07,9.805137146656762e-09,IPSL-CM6A-LR
2051,5.0248435e-08,1.1340195982256773e-07,9.26810272972034e-09,IPSL-CM6A-LR
2052,5.1777786e-08,1.1860306159405809e-07,9.499328434969811e-09,IPSL-CM6A-LR
2053,5.2155116e-08,1.226273411703005e-07,9.536497813655842e-09,IPSL-CM6A-LR
2054,5.1011472e-08,1.18196147980143e-07,9.557172830909622e-09,IPSL-CM6A-LR
2055,5.0973995e-08,1.1736452876220937e-07,9.03213237535283e-09,IPSL-CM6A-LR
2056,5.1937572e-08,1.2097851254111447e-07,9.4722318877416e-09,IPSL-CM6A-LR
2057,5.249549e-08,1.1974709934747807e-07,9.364661046618039e-09,IPSL-CM6A-LR
2058,5.016201e-08,1.1231870900019203e-07,9.86621273568744e-09,IPSL-CM6A-LR
2059,4.9025754e-08,1.0959902851936931e-07,9.231931663578052e-09,IPSL-CM6A-LR
2060,5.0046708e-08,1.1370236308039239e-07,9.182278049024717e-09,IPSL-CM6A-LR
2061,5.1394693e-08,1.1777897412912353e-07,9.43805034125944e-09,IPSL-CM6A-LR
2062,4.8975078e-08,1.1123199072926582e-07,9.193444228117187e-09,IPSL-CM6A-LR
2063,5.1745143e-08,1.1933234134176018e-07,9.874668194242986e-09,IPSL-CM6A-LR
2064,4.9360796e-08,1.1050167358916951e-07,9.159538016945135e-09,IPSL-CM6A-LR
2065,4.9427353e-08,1.1085641204999774e-07,9.121428057312642e-09,IPSL-CM6A-LR
2066,5.0383345e-08,1.1212893014089786e-07,9.19343712268983e-09,IPSL-CM6A-LR
2067,4.99935e-08,1.1178619985230398e-07,9.307380643974739e-09,IPSL-CM6A-LR
2068,4.918152e-08,1.0744010836560847e-07,9.279365720260557e-09,IPSL-CM6A-LR
2069,5.0495753e-08,1.1199023219887749e-07,9.633634334704766e-09,IPSL-CM6A-LR
2070,5.053938e-08,1.1246253706076459e-07,9.233256825780245e-09,IPSL-CM6A-LR
2071,4.928926e-08,1.0920397386371405e-07,9.339760964621746e-09,IPSL-CM6A-LR
2072,5.017169e-08,1.1279841061195839e-07,9.637556530606162e-09,IPSL-CM6A-LR
2073,4.9505292e-08,1.1096673091515186e-07,9.409656165360047e-09,IPSL-CM6A-LR
2074,5.1683127e-08,1.1763832930000717e-07,9.714848481223726e-09,IPSL-CM6A-LR
2075,4.9508632e-08,1.0919853110635813e-07,9.303099623991784e-09,IPSL-CM6A-LR
2076,5.0381207e-08,1.1297735369453221e-07,9.373642306798047e-09,IPSL-CM6A-LR
2077,5.010028e-08,1.1104790331728509e-07,9.026434710790454e-09,IPSL-CM6A-LR
2078,5.0333913e-08,1.1189803927891262e-07,9.113517940306792e-09,IPSL-CM6A-LR
2079,4.987821e-08,1.1039042391303155e-07,9.274068624165466e-09,IPSL-CM6A-LR
2080,5.0177704e-08,1.089354952910071e-07,9.090821428969775e-09,IPSL-CM6A-LR
2081,4.895129e-08,1.0470966316233898e-07,9.43553679633169e-09,IPSL-CM6A-LR
2082,4.8773995e-08,1.0658155957798954e-07,8.947815821613858e-09,IPSL-CM6A-LR
2083,5.034965e-08,1.1060307514298984e-07,9.712426418673203e-09,IPSL-CM6A-LR
2084,4.830257e-08,1.0666834526773528e-07,9.17871645356172e-09,IPSL-CM6A-LR
2085,4.910594e-08,1.0734078159657656e-07,9.020762803402249e-09,IPSL-CM6A-LR
2086,4.9896414e-08,1.0753299761745438e-07,9.464528716307541e-09,IPSL-CM6A-LR
2087,4.959855e-08,1.0807050898620219e-07,9.330517691807927e-09,IPSL-CM6A-LR
2088,4.7790923e-08,1.0302363051550856e-07,9.496112340912077e-09,IPSL-CM6A-LR
2089,4.8991073e-08,1.0331732624990764e-07,9.524105948344186e-09,IPSL-CM6A-LR
2090,4.9222617e-08,1.0663200100680115e-07,9.326309502455388e-09,IPSL-CM6A-LR
2091,4.8835687e-08,1.0614227363703321e-07,9.355699326363265e-09,IPSL-CM6A-LR
2092,4.731184e-08,1.0193506483346937e-07,8.98669849647149e-09,IPSL-CM6A-LR
2093,4.897196e-08,1.0569198138909996e-07,9.357085772876417e-09,IPSL-CM6A-LR
2094,4.915299e-08,1.0615108436695664e-07,9.163339420581451e-09,IPSL-CM6A-LR
2095,4.9582315e-08,1.0710598274954464e-07,9.26949539348243e-09,IPSL-CM6A-LR
2096,4.826642e-08,1.0357164370589089e-07,9.113737320376458e-09,IPSL-CM6A-LR
2097,4.7674934e-08,9.898366215566057e-08,9.14142628261061e-09,IPSL-CM6A-LR
2098,4.8422468e-08,9.999769901014588e-08,9.492612029760039e-09,IPSL-CM6A-LR
2099,4.7120338e-08,9.743880724499832e-08,9.182642202176794e-09,IPSL-CM6A-LR
2100,4.9126925e-08,1.0173187092732405e-07,9.262610234372914e-09,IPSL-CM6A-LR
