Year,Annual,Summer,Winter,Model
2015,4.2857693e-08,1.0474449396724594e-07,7.563147441658202e-09,IPSL-CM6A-LR
2016,4.442164e-08,1.0915255899135445e-07,7.406173452295661e-09,IPSL-CM6A-LR
2017,4.6473527e-08,1.1386222809051105e-07,7.749789254773987e-09,IPSL-CM6A-LR
2018,4.848721e-08,1.200792638655912e-07,7.6412298710693e-09,IPSL-CM6A-LR
2019,4.6194828e-08,1.1466443794461156e-07,7.50753148537342e-09,IPSL-CM6A-LR
2020,4.6814773e-08,1.1617746054071176e-07,7.73825803435102e-09,IPSL-CM6A-LR
2021,4.229999e-08,1.0254970561618393e-07,7.644033850340293e-09,IPSL-CM6A-LR
2022,4.448418e-08,1.0819915274851155e-07,7.261500289956757e-09,IPSL-CM6A-LR
2023,4.6394963e-08,1.1212483030931253e-07,7.632913856525647e-09,IPSL-CM6A-LR
2024,4.5578968e-08,1.1278979883400098e-07,7.3722183913105255e-09,IPSL-CM6A-LR
2025,4.9184482e-08,1.201453443400169e-07,7.544625368893776e-09,IPSL-CM6A-LR
2026,4.5683084e-08,1.102350992709944e-07,7.647340538596836e-09,IPSL-CM6A-LR
2027,4.5564917e-08,1.11620387599487e-07,7.61098650770009e-09,IPSL-CM6A-LR
2028,4.714991e-08,1.1425040469248415e-07,7.903857124347269e-09,IPSL-CM6A-LR
2029,4.4904343e-08,1.0949319317887785e-07,7.450221772842269e-09,IPSL-CM6A-LR
2030,4.652462e-08,1.1519389175873584e-07,7.632902310206191e-09,IPSL-CM6A-LR
2031,4.5853e-08,1.154110051970747e-07,7.3215233875600916e-09,IPSL-CM6A-LR
2032,4.4045294e-08,1.0753677059938127e-07,7.492252152019319e-09,IPSL-CM6A-LR
2033,4.5770147e-08,1.1304846481152708e-07,7.4493531343478026e-09,IPSL-CM6A-LR
2034,4.371176e-08,1.0881768730541808e-07,7.51069872961807e-09,IPSL-CM6A-LR
2035,4.8472135e-08,1.1950798750604008e-07,7.630247544909707e-09,IPSL-CM6A-LR
2036,4.4130264e-08,1.0720032861399886e-07,7.525484235770818e-09,IPSL-CM6A-LR
2037,4.6510422e-08,1.1300814861670005e-07,7.834068505019331e-09,IPSL-CM6A-LR
2038,4.7175508e-08,1.1737618166307584e-07,7.6579924623843e-09,IPSL-CM6A-LR
2039,4.859436e-08,1.1776711517086369e-07,8.22225043606295e-09,IPSL-CM6A-LR
2040,4.4680714e-08,1.0628597379991334e-07,7.719750172441309e-09,IPSL-CM6A-LR
2041,4.645207e-08,1.1548628009450113e-07,7.481588681912399e-09,IPSL-CM6A-LR
2042,4.9238338e-08,1.2028654339246714e-07,7.77643460736499e-09,IPSL-CM6A-LR
