Year,Annual,Summer,Winter,Model
2015,17.567694,42.15614318847656,3.1763393878936768,IPSL-CM6A-LR
2016,18.053415,44.07478332519531,3.0998375415802,IPSL-CM6A-LR
2017,18.808956,45.079586029052734,3.1766746044158936,IPSL-CM6A-LR
2018,18.83772,45.3553352355957,3.1537373065948486,IPSL-CM6A-LR
2019,18.442688,44.60018539428711,3.161536455154419,IPSL-CM6A-LR
2020,18.590467,45.077911376953125,3.2762229442596436,IPSL-CM6A-LR
2021,17.17219,40.4924430847168,3.2114503383636475,IPSL-CM6A-LR
2022,17.893534,42.768985748291016,3.0883915424346924,IPSL-CM6A-LR
2023,18.474472,43.798675537109375,3.166884660720825,IPSL-CM6A-LR
2024,18.26055,43.56267166137695,3.0698776245117188,IPSL-CM6A-LR
2025,19.132149,45.51442337036133,3.191044569015503,IPSL-CM6A-LR
2026,18.198536,43.20712661743164,3.1901257038116455,IPSL-CM6A-LR
2027,18.016762,43.23826217651367,3.1456167697906494,IPSL-CM6A-LR
2028,18.62969,44.177642822265625,3.2829091548919678,IPSL-CM6A-LR
2029,17.9028,42.519691467285156,3.076894760131836,IPSL-CM6A-LR
2030,18.569843,44.96025466918945,3.2246761322021484,IPSL-CM6A-LR
2031,17.900087,43.645355224609375,3.084242582321167,IPSL-CM6A-LR
2032,17.729813,42.34193801879883,3.136181116104126,IPSL-CM6A-LR
2033,18.409145,44.160037994384766,3.137688636779785,IPSL-CM6A-LR
2034,17.418287,41.80733108520508,3.128109931945801,IPSL-CM6A-LR
2035,18.831472,45.22932052612305,3.1420891284942627,IPSL-CM6A-LR
2036,17.868841,42.74888610839844,3.1283271312713623,IPSL-CM6A-LR
2037,18.36819,43.45005416870117,3.3015453815460205,IPSL-CM6A-LR
2038,18.484844,44.40625,3.2090485095977783,IPSL-CM6A-LR
2039,18.51549,43.69785690307617,3.413670301437378,IPSL-CM6A-LR
2040,17.40249,40.219966888427734,3.1755411624908447,IPSL-CM6A-LR
