Year,Annual,Summer,Winter,Model
2015,1.2728934e-07,2.8656970130214177e-07,1.5899541239150494e-08,IPSL-CM6A-LR
2016,1.2729124e-07,2.9904094844823703e-07,1.4419190286218964e-08,IPSL-CM6A-LR
2017,1.3260079e-07,2.950712030269642e-07,1.5459555413599446e-08,IPSL-CM6A-LR
2018,1.3029207e-07,2.8819044928241055e-07,1.5904953798440147e-08,IPSL-CM6A-LR
2019,1.3334727e-07,3.036274449641496e-07,1.557591389200752e-08,IPSL-CM6A-LR
2020,1.3086047e-07,2.925226283423399e-07,1.7659248285895046e-08,IPSL-CM6A-LR
2021,1.28243e-07,2.862558403649018e-07,1.65517803907278e-08,IPSL-CM6A-LR
2022,1.3156756e-07,3.0048428811824124e-07,1.4061638076157124e-08,IPSL-CM6A-LR
2023,1.3197445e-07,2.9597558182103967e-07,1.5238109440929293e-08,IPSL-CM6A-LR
2024,1.3464366e-07,3.026016770490969e-07,1.445835540181406e-08,IPSL-CM6A-LR
2025,1.3536508e-07,3.0744118362235895e-07,1.580311170812365e-08,IPSL-CM6A-LR
2026,1.2849836e-07,2.8889473924209597e-07,1.563381424318777e-08,IPSL-CM6A-LR
2027,1.2851037e-07,2.9529959988394694e-07,1.565395990610341e-08,IPSL-CM6A-LR
2028,1.3012853e-07,2.9409699209281825e-07,1.6643728173448835e-08,IPSL-CM6A-LR
2029,1.3185178e-07,2.977605220166879e-07,1.558772844134637e-08,IPSL-CM6A-LR
2030,1.2852449e-07,2.946785855328926e-07,1.723155129695897e-08,IPSL-CM6A-LR
2031,1.2526247e-07,2.8410715913196327e-07,1.5331719893652007e-08,IPSL-CM6A-LR
2032,1.263822e-07,2.878942666484363e-07,1.5704712197361914e-08,IPSL-CM6A-LR
2033,1.3069632e-07,2.980605984248541e-07,1.5308716072581774e-08,IPSL-CM6A-LR
2034,1.2567057e-07,2.834394479123148e-07,1.539083349655357e-08,IPSL-CM6A-LR
2035,1.2930865e-07,2.990328766827588e-07,1.4559550898241014e-08,IPSL-CM6A-LR
2036,1.3102546e-07,3.060272319999058e-07,1.4912858503635107e-08,IPSL-CM6A-LR
2037,1.2875695e-07,2.950509099264309e-07,1.765728541158751e-08,IPSL-CM6A-LR
2038,1.2975664e-07,2.9091802389302757e-07,1.673307359340015e-08,IPSL-CM6A-LR
2039,1.2481324e-07,2.794023146179825e-07,1.831593010592769e-08,IPSL-CM6A-LR
2040,1.2799451e-07,2.8375612259878835e-07,1.6828778370836517e-08,IPSL-CM6A-LR
2041,1.3037588e-07,2.886826848680357e-07,1.6096555199851537e-08,IPSL-CM6A-LR
2042,1.3062989e-07,2.9367529918999935e-07,1.7663108309307063e-08,IPSL-CM6A-LR
2043,1.3057404e-07,2.9560817438323284e-07,1.567593166384995e-08,IPSL-CM6A-LR
2044,1.331346e-07,3.0182874866113707e-07,1.7012691699846982e-08,IPSL-CM6A-LR
2045,1.2914965e-07,2.899650155541167e-07,1.7140628472134267e-08,IPSL-CM6A-LR
2046,1.2721361e-07,2.8975605914638436e-07,1.678597527643433e-08,IPSL-CM6A-LR
2047,1.3178952e-07,2.936657210739213e-07,1.6875571162699998e-08,IPSL-CM6A-LR
2048,1.3428236e-07,2.953472346689523e-07,1.591549114721147e-08,IPSL-CM6A-LR
2049,1.284712e-07,2.8211218250362435e-07,1.8017489722410573e-08,IPSL-CM6A-LR
2050,1.3118087e-07,2.902550875205634e-07,1.7615473524301706e-08,IPSL-CM6A-LR
2051,1.309594e-07,2.803955396757374e-07,1.787041981060611e-08,IPSL-CM6A-LR
2052,1.3594628e-07,3.0238120984904526e-07,1.6489744680825424e-08,IPSL-CM6A-LR
2053,1.3346825e-07,3.017293863649684e-07,1.6975418404285847e-08,IPSL-CM6A-LR
2054,1.2825586e-07,2.8448846478568157e-07,1.7747982639093607e-08,IPSL-CM6A-LR
2055,1.322593e-07,2.988992946484359e-07,1.525491377663002e-08,IPSL-CM6A-LR
2056,1.3227505e-07,2.890409689371154e-07,1.7692277864966854e-08,IPSL-CM6A-LR
2057,1.3733194e-07,2.9079637897666544e-07,1.6707698335949317e-08,IPSL-CM6A-LR
2058,1.3248207e-07,2.8173758437333163e-07,1.9550904895027088e-08,IPSL-CM6A-LR
2059,1.3088614e-07,2.771518836652831e-07,1.7583099420903636e-08,IPSL-CM6A-LR
2060,1.310916e-07,2.836497117186809e-07,1.7110565408984257e-08,IPSL-CM6A-LR
2061,1.3280776e-07,2.913174910190719e-07,1.641360647397505e-08,IPSL-CM6A-LR
2062,1.2904846e-07,2.83471422335424e-07,1.6869984520440084e-08,IPSL-CM6A-LR
2063,1.3044932e-07,2.8850584499195975e-07,1.9255830707720634e-08,IPSL-CM6A-LR
2064,1.3115435e-07,2.8499744075816125e-07,1.8488380604253507e-08,IPSL-CM6A-LR
2065,1.2960581e-07,2.7826163773170265e-07,1.8572169580011177e-08,IPSL-CM6A-LR
2066,1.3332193e-07,2.81025421600134e-07,1.752355593964694e-08,IPSL-CM6A-LR
2067,1.2848784e-07,2.690241842628893e-07,1.8785371480589674e-08,IPSL-CM6A-LR
2068,1.3271188e-07,2.7658563794830116e-07,1.7870220858640096e-08,IPSL-CM6A-LR
2069,1.3382123e-07,2.856415903806919e-07,1.887962497448825e-08,IPSL-CM6A-LR
2070,1.352655e-07,2.843440825017751e-07,1.8780248467464844e-08,IPSL-CM6A-LR
2071,1.3247778e-07,2.837286672274786e-07,1.73748730958323e-08,IPSL-CM6A-LR
2072,1.3264365e-07,2.847156395091588e-07,1.8485151187519477e-08,IPSL-CM6A-LR
2073,1.3307285e-07,2.868295894131734e-07,1.879515387770425e-08,IPSL-CM6A-LR
2074,1.334331e-07,2.9171988558118755e-07,1.912910718715466e-08,IPSL-CM6A-LR
2075,1.3267102e-07,2.836089265656483e-07,1.774263758136385e-08,IPSL-CM6A-LR
2076,1.3089313e-07,2.7601308261182567e-07,1.90164914926072e-08,IPSL-CM6A-LR
2077,1.3321984e-07,2.801170069233194e-07,1.8425478032213505e-08,IPSL-CM6A-LR
2078,1.3246914e-07,2.8027920961903874e-07,1.8089846065549864e-08,IPSL-CM6A-LR
2079,1.3449886e-07,2.8415482233867806e-07,1.9190508737665368e-08,IPSL-CM6A-LR
2080,1.3343639e-07,2.68899754019003e-07,1.811956273911619e-08,IPSL-CM6A-LR
