Year,Annual,Summer,Winter,Model
2015,0.8132796575802597,0.9473603102862751,0.941546140659473,IPSL-CM6A-LR
2016,0.8043406299141048,0.9577110620740896,0.9481154083341591,IPSL-CM6A-LR
2017,0.8021980059194059,0.9610601587321649,0.9411947004119412,IPSL-CM6A-LR
2018,0.7993404000912081,0.9471817235180761,0.9383192818610536,IPSL-CM6A-LR
2019,0.7995730140131169,0.9512890116922592,0.9393520305188732,IPSL-CM6A-LR
2020,0.8090753164300027,0.96186194181874,0.9415861435571944,IPSL-CM6A-LR
2021,0.8124049632624675,0.9515414480125872,0.935003114959519,IPSL-CM6A-LR
2022,0.816963255641153,0.9356226999299715,0.9371773891457248,IPSL-CM6A-LR
2023,0.8117392792811992,0.9586772238174446,0.9481014353132268,IPSL-CM6A-LR
2024,0.8036402228062468,0.9475601631496764,0.9329905343079126,IPSL-CM6A-LR
2025,0.8195079347210282,0.945582633296589,0.9221686580520964,IPSL-CM6A-LR
2026,0.809931106539381,0.9485634557761539,0.9335865587764376,IPSL-CM6A-LR
2027,0.812750089101399,0.9488993057922694,0.9450560705841733,IPSL-CM6A-LR
2028,0.8135101351597899,0.9588478446127026,0.9405134522543629,IPSL-CM6A-LR
2029,0.8083362499698885,0.954276009436795,0.93526596335446,IPSL-CM6A-LR
2030,0.8032439095216616,0.9645552624642604,0.9454663428971488,IPSL-CM6A-LR
2031,0.8222798592815997,0.9609200891525127,0.9427844955106601,IPSL-CM6A-LR
2032,0.8116927986960362,0.9529192875137541,0.9445198807592315,IPSL-CM6A-LR
2033,0.8129886067824103,0.9581940226219824,0.942419461727883,IPSL-CM6A-LR
2034,0.8298550007801672,0.9592145252138345,0.9296030118197384,IPSL-CM6A-LR
2035,0.8164983298210539,0.9456484606401717,0.9324823026123826,IPSL-CM6A-LR
2036,0.8039513622154746,0.9575055296028071,0.9370141371773444,IPSL-CM6A-LR
2037,0.8064308169646758,0.966703523494246,0.9397524379636021,IPSL-CM6A-LR
2038,0.8167143644575486,0.9532809128788718,0.9486759640680043,IPSL-CM6A-LR
