Year,Annual,Summer,Winter,Model
2015,0.7970160532465019,0.930829316316724,0.875188751693833,IPSL-CM6A-LR
2016,0.7804800472882428,0.947144655481693,0.9008565061649929,IPSL-CM6A-LR
2017,0.7834066924518638,0.9531490547251878,0.8965378019210132,IPSL-CM6A-LR
2018,0.7672058098389961,0.9552162193586723,0.8809045337218381,IPSL-CM6A-LR
2019,0.7900396773525692,0.9519985771597261,0.8743612481347389,IPSL-CM6A-LR
2020,0.7790159043494215,0.9444127455356917,0.8892931734634538,IPSL-CM6A-LR
2021,0.8002659782792075,0.9411027153809095,0.8926673690092994,IPSL-CM6A-LR
2022,0.7875728856104832,0.933683958430855,0.8943105380128938,IPSL-CM6A-LR
2023,0.7853011492583706,0.9559091229820715,0.906441612964021,IPSL-CM6A-LR
2024,0.7914777466303043,0.9449351534732784,0.876671862704818,IPSL-CM6A-LR
2025,0.7803323757288129,0.9413521041235801,0.867089519756521,IPSL-CM6A-LR
2026,0.786278100053219,0.939761915243357,0.8891698313286059,IPSL-CM6A-LR
2027,0.7847770594669856,0.9497476217491441,0.8939642344979094,IPSL-CM6A-LR
2028,0.7796162722496857,0.9465697611764619,0.8878185369430297,IPSL-CM6A-LR
2029,0.7883942752395087,0.9402746083812248,0.8870646878094309,IPSL-CM6A-LR
2030,0.7858151001665261,0.9529941687444962,0.9150776162340727,IPSL-CM6A-LR
2031,0.7834163564015467,0.9505421413815828,0.8899639237111006,IPSL-CM6A-LR
2032,0.7933074341764965,0.9507479913260757,0.9154601179572117,IPSL-CM6A-LR
2033,0.7853070738145805,0.9537019904812764,0.8878147428712347,IPSL-CM6A-LR
2034,0.8041302456394118,0.9490657541142347,0.8717052754672886,IPSL-CM6A-LR
2035,0.7733072280983134,0.9446575379659699,0.8877956175920555,IPSL-CM6A-LR
2036,0.7907568783817372,0.9490881339626671,0.8669255539284152,IPSL-CM6A-LR
2037,0.7916133933648397,0.9568825476274551,0.8900528791800125,IPSL-CM6A-LR
2038,0.7905578692307148,0.9479829721795024,0.8944320383443742,IPSL-CM6A-LR
2039,0.7714551476132456,0.9450739338188775,0.9015447491137204,IPSL-CM6A-LR
2040,0.7965786969538301,0.9412679853429029,0.9193964613615346,IPSL-CM6A-LR
2041,0.7940043161041573,0.9504356577192082,0.9133017725021462,IPSL-CM6A-LR
2042,0.7786083871494761,0.9571926023542123,0.8814758364534008,IPSL-CM6A-LR
2043,0.7831399569678887,0.95215405045658,0.8882679371504534,IPSL-CM6A-LR
2044,0.7861864030353929,0.9443850882303519,0.8718957583051761,IPSL-CM6A-LR
2045,0.7661733964047192,0.9488616999588334,0.9139119393219087,IPSL-CM6A-LR
2046,0.7736130657858021,0.9503068578457328,0.895037103003402,IPSL-CM6A-LR
2047,0.7801171577832476,0.9495845479828053,0.9110522527365186,IPSL-CM6A-LR
2048,0.7919629072686513,0.961541254008103,0.8975969407494931,IPSL-CM6A-LR
2049,0.8101354814638193,0.9564052280086605,0.8994241282894503,IPSL-CM6A-LR
2050,0.7942882488945697,0.9388065862646785,0.9031660062521342,IPSL-CM6A-LR
2051,0.7799514290154277,0.9448243237478403,0.9298771455388979,IPSL-CM6A-LR
2052,0.7654551648981124,0.9489226675470372,0.8989533020904139,IPSL-CM6A-LR
2053,0.783768697555764,0.9377585599926701,0.9044934624824331,IPSL-CM6A-LR
2054,0.7742753767392011,0.9486265596071255,0.9082340139232484,IPSL-CM6A-LR
2055,0.7769452124730972,0.9525012663550875,0.8934553537660913,IPSL-CM6A-LR
2056,0.7854137666528321,0.9562749253521363,0.9080805250446115,IPSL-CM6A-LR
2057,0.7816186768241012,0.9489333181012133,0.8995036113580154,IPSL-CM6A-LR
2058,0.7847610815971918,0.947073883330711,0.9051341105160355,IPSL-CM6A-LR
2059,0.7908795150296105,0.9416433026861197,0.925071756269134,IPSL-CM6A-LR
2060,0.7869970898802418,0.9500896662561484,0.9201589195013627,IPSL-CM6A-LR
