Year,Annual,Summer,Winter,Model
2015,9.933095e-08,2.5192434804921504e-07,8.409156926347805e-09,IPSL-CM6A-LR
2016,1.0378094e-07,2.6775876449391944e-07,7.673103930017078e-09,IPSL-CM6A-LR
2017,1.0685107e-07,2.709887212404283e-07,8.573203480466418e-09,IPSL-CM6A-LR
2018,1.09726756e-07,2.8348588898552407e-07,8.962049768967972e-09,IPSL-CM6A-LR
2019,1.0813085e-07,2.733819997047249e-07,8.581658050843544e-09,IPSL-CM6A-LR
2020,1.0689655e-07,2.719061740208417e-07,9.387282062789382e-09,IPSL-CM6A-LR
2021,1.0029513e-07,2.547444921674469e-07,9.110665999401135e-09,IPSL-CM6A-LR
2022,1.0499307e-07,2.678798693978024e-07,7.891283182459574e-09,IPSL-CM6A-LR
2023,1.08674534e-07,2.7338793984199583e-07,9.147238522189127e-09,IPSL-CM6A-LR
2024,1.0683957e-07,2.7826351356452506e-07,7.981996397177227e-09,IPSL-CM6A-LR
2025,1.1367092e-07,2.8882161018373154e-07,8.495526948593124e-09,IPSL-CM6A-LR
2026,1.0776509e-07,2.71706767307478e-07,9.04131702839095e-09,IPSL-CM6A-LR
2027,1.07694405e-07,2.8147221087237995e-07,9.053582772367008e-09,IPSL-CM6A-LR
2028,1.0908547e-07,2.794175770759466e-07,9.222790531282499e-09,IPSL-CM6A-LR
2029,1.06478154e-07,2.705528459046036e-07,8.517656802098372e-09,IPSL-CM6A-LR
2030,1.0578051e-07,2.7576854222388647e-07,9.351206919916422e-09,IPSL-CM6A-LR
2031,1.04220426e-07,2.74752892437391e-07,8.218300706630544e-09,IPSL-CM6A-LR
2032,1.0298433e-07,2.6143314357796044e-07,8.957623087724187e-09,IPSL-CM6A-LR
2033,1.07072054e-07,2.7731366003536095e-07,8.39993052892396e-09,IPSL-CM6A-LR
2034,1.0282135e-07,2.69132129915306e-07,8.537234030825402e-09,IPSL-CM6A-LR
2035,1.1041926e-07,2.855333889328904e-07,8.256718864174672e-09,IPSL-CM6A-LR
2036,1.0315572e-07,2.680663442333753e-07,8.182212241081288e-09,IPSL-CM6A-LR
2037,1.0880736e-07,2.7984015105175786e-07,9.953133428552974e-09,IPSL-CM6A-LR
2038,1.09027546e-07,2.807479688726744e-07,9.923595278849007e-09,IPSL-CM6A-LR
2039,1.1164408e-07,2.8180994604554144e-07,1.0976610731461278e-08,IPSL-CM6A-LR
2040,1.0679144e-07,2.643493246523576e-07,1.026647566959582e-08,IPSL-CM6A-LR
2041,1.0883175e-07,2.7864857088388817e-07,9.28637700070567e-09,IPSL-CM6A-LR
2042,1.14940576e-07,2.8321534273345605e-07,1.0999703370373481e-08,IPSL-CM6A-LR
2043,1.08223425e-07,2.693312524115754e-07,9.330705985632903e-09,IPSL-CM6A-LR
2044,1.0888969e-07,2.723503769175295e-07,9.845111392792205e-09,IPSL-CM6A-LR
2045,1.13139144e-07,2.8754769232364197e-07,1.0429765495700849e-08,IPSL-CM6A-LR
2046,1.0770097e-07,2.738636339927325e-07,9.01815511156201e-09,IPSL-CM6A-LR
2047,1.110422e-07,2.8025144160892523e-07,9.28765242491636e-09,IPSL-CM6A-LR
2048,1.12957146e-07,2.814560957631329e-07,9.513146714823506e-09,IPSL-CM6A-LR
2049,1.1214241e-07,2.766257978237263e-07,1.1051517923021947e-08,IPSL-CM6A-LR
2050,1.1482007e-07,2.832857717294246e-07,9.837325620765114e-09,IPSL-CM6A-LR
2051,1.1189122e-07,2.7398519364396634e-07,1.0720896170823835e-08,IPSL-CM6A-LR
2052,1.1630605e-07,2.9547817348429817e-07,1.0017283891272655e-08,IPSL-CM6A-LR
2053,1.13720624e-07,2.8613115432563063e-07,9.717919802199049e-09,IPSL-CM6A-LR
2054,1.1199e-07,2.8509361982287373e-07,1.0465249999924708e-08,IPSL-CM6A-LR
2055,1.1637139e-07,2.894550164000975e-07,8.946902774198406e-09,IPSL-CM6A-LR
2056,1.1375553e-07,2.853703051641787e-07,1.114575454153055e-08,IPSL-CM6A-LR
2057,1.1779056e-07,2.8896232606712147e-07,1.0980936160365218e-08,IPSL-CM6A-LR
2058,1.1935829e-07,2.8611808033929265e-07,1.1735655114364363e-08,IPSL-CM6A-LR
