Year,Annual,Summer,Winter,Model
2015,1.1071831e-07,2.647272765443631e-07,1.1635944652255148e-08,IPSL-CM6A-LR
2016,1.1316498e-07,2.791777831134823e-07,1.0603330657943388e-08,IPSL-CM6A-LR
2017,1.1762461e-07,2.8030370913256775e-07,1.1544077693770305e-08,IPSL-CM6A-LR
2018,1.180339e-07,2.835968757608498e-07,1.192948673178762e-08,IPSL-CM6A-LR
2019,1.1821183e-07,2.840646686763648e-07,1.1652573128628774e-08,IPSL-CM6A-LR
2020,1.1618736e-07,2.779852650292014e-07,1.3040431845467992e-08,IPSL-CM6A-LR
2021,1.114494e-07,2.649331918291864e-07,1.2349012479262456e-08,IPSL-CM6A-LR
2022,1.1555463e-07,2.7961240789409203e-07,1.0538006911531284e-08,IPSL-CM6A-LR
2023,1.180018e-07,2.808002363963169e-07,1.1733416016568299e-08,IPSL-CM6A-LR
2024,1.1804676e-07,2.8599177426258393e-07,1.0833232977347507e-08,IPSL-CM6A-LR
2025,1.2233123e-07,2.9614633945129754e-07,1.1653003006983909e-08,IPSL-CM6A-LR
2026,1.1587944e-07,2.7753443987421633e-07,1.1890224804744776e-08,IPSL-CM6A-LR
2027,1.1636746e-07,2.8649341743403056e-07,1.1867104632301562e-08,IPSL-CM6A-LR
2028,1.1750975e-07,2.8424494757928187e-07,1.2425346973543583e-08,IPSL-CM6A-LR
2029,1.1647605e-07,2.797903846385452e-07,1.1605948202486616e-08,IPSL-CM6A-LR
2030,1.14799796e-07,2.8135593765910016e-07,1.2775576152534995e-08,IPSL-CM6A-LR
2031,1.1240194e-07,2.7619938691714196e-07,1.1355801632362272e-08,IPSL-CM6A-LR
2032,1.1213111e-07,2.709482771479088e-07,1.186305098599405e-08,IPSL-CM6A-LR
2033,1.1669935e-07,2.8430793008737965e-07,1.1502379493322223e-08,IPSL-CM6A-LR
2034,1.1184357e-07,2.723638488077995e-07,1.1483622053276576e-08,IPSL-CM6A-LR
2035,1.1764708e-07,2.892500674533949e-07,1.0951988649310351e-08,IPSL-CM6A-LR
2036,1.1445645e-07,2.8301491283855285e-07,1.1102734731593955e-08,IPSL-CM6A-LR
2037,1.1646295e-07,2.8452703304537863e-07,1.3203504956038614e-08,IPSL-CM6A-LR
2038,1.1734997e-07,2.837940371591685e-07,1.2818383687829282e-08,IPSL-CM6A-LR
2039,1.1623695e-07,2.789724931062665e-07,1.4119507341092685e-08,IPSL-CM6A-LR
2040,1.15438546e-07,2.7249885192759393e-07,1.3011998589718132e-08,IPSL-CM6A-LR
2041,1.1726899e-07,2.8067640300832863e-07,1.213998057636445e-08,IPSL-CM6A-LR
2042,1.207758e-07,2.863563963728666e-07,1.3792792685762834e-08,IPSL-CM6A-LR
