Year,Annual,Summer,Winter,Model
2015,85.29469,26.17598533630371,105.20909881591797,IPSL-CM6A-LR
2016,94.51087,21.974851608276367,99.5733871459961,IPSL-CM6A-LR
2017,89.20289,24.27024269104004,103.2411880493164,IPSL-CM6A-LR
2018,102.50314,25.749940872192383,114.75337982177734,IPSL-CM6A-LR
2019,95.70765,24.26066017150879,108.50321197509766,IPSL-CM6A-LR
2020,76.58271,24.564041137695312,81.6008071899414,IPSL-CM6A-LR
2021,113.65115,29.514968872070312,148.72975158691406,IPSL-CM6A-LR
2022,109.64703,33.389835357666016,130.0729217529297,IPSL-CM6A-LR
2023,97.07839,31.811599731445312,104.9770278930664,IPSL-CM6A-LR
2024,130.30873,32.01357650756836,199.8211669921875,IPSL-CM6A-LR
2025,105.00531,34.149200439453125,127.332763671875,IPSL-CM6A-LR
2026,80.90282,27.06388282775879,89.99080657958984,IPSL-CM6A-LR
2027,83.19956,26.171396255493164,91.3573989868164,IPSL-CM6A-LR
2028,73.970406,33.27312088012695,86.8709487915039,IPSL-CM6A-LR
2029,93.43659,30.439023971557617,118.21282958984375,IPSL-CM6A-LR
2030,65.85168,23.3558349609375,77.99666595458984,IPSL-CM6A-LR
2031,68.72801,23.522375106811523,79.72564697265625,IPSL-CM6A-LR
2032,68.26207,24.95221519470215,80.65467071533203,IPSL-CM6A-LR
2033,82.385,25.958311080932617,96.2349853515625,IPSL-CM6A-LR
2034,87.33839,28.789419174194336,111.63784790039062,IPSL-CM6A-LR
2035,61.304977,28.40208625793457,79.83621978759766,IPSL-CM6A-LR
2036,66.55586,30.4669189453125,79.36515045166016,IPSL-CM6A-LR
2037,66.150764,32.90066909790039,82.77530670166016,IPSL-CM6A-LR
2038,71.208824,29.992509841918945,87.78262329101562,IPSL-CM6A-LR
2039,60.21179,29.560251235961914,75.0103988647461,IPSL-CM6A-LR
2040,61.533234,27.107362747192383,77.1455078125,IPSL-CM6A-LR
2041,59.671555,24.714197158813477,77.5061264038086,IPSL-CM6A-LR
2042,66.65394,25.552824020385742,84.50829315185547,IPSL-CM6A-LR
2043,71.46209,26.16705322265625,84.06521606445312,IPSL-CM6A-LR
2044,64.84411,32.04243850708008,76.67925262451172,IPSL-CM6A-LR
2045,62.495403,31.983369827270508,77.03302764892578,IPSL-CM6A-LR
2046,73.81725,31.22490882873535,89.3991928100586,IPSL-CM6A-LR
2047,76.47567,32.38121795654297,89.24544525146484,IPSL-CM6A-LR
2048,70.419235,31.460844039916992,84.12857055664062,IPSL-CM6A-LR
2049,60.277157,25.76216697692871,78.6919174194336,IPSL-CM6A-LR
2050,60.158295,24.176132202148438,81.12960052490234,IPSL-CM6A-LR
2051,65.65896,27.644014358520508,85.79730224609375,IPSL-CM6A-LR
