Year,Annual,Summer,Winter,Model
2015,-0.14597448269452004,-0.3079188812483224,-0.10724173913019835,IPSL-CM6A-LR
2016,-0.10904329017002008,-0.28742711849615754,-0.08700004396161,IPSL-CM6A-LR
2017,-0.08792456127157748,-0.392858749210066,-0.1384982237494051,IPSL-CM6A-LR
2018,-0.1630648158153979,-0.34742873539347174,-0.14930486597623666,IPSL-CM6A-LR
2019,-0.13040911730865287,-0.2813587214393098,-0.14075091728973346,IPSL-CM6A-LR
2020,-0.09764389520931027,-0.3486266163048913,-0.039979017384414776,IPSL-CM6A-LR
2021,-0.15335844734349927,-0.25162463598910445,-0.18346480542777935,IPSL-CM6A-LR
2022,-0.13804264830987104,-0.2590396855617473,-0.13352956683282158,IPSL-CM6A-LR
2023,-0.04933993483388562,-0.27649707994948897,-0.11339256727225874,IPSL-CM6A-LR
2024,-0.1719157195120018,-0.2476321331446718,-0.20790796252644686,IPSL-CM6A-LR
2025,-0.15069173037270142,-0.19045149561058172,-0.18294964003166062,IPSL-CM6A-LR
2026,-0.03808232577176159,-0.13534590771936553,0.03750862145183559,IPSL-CM6A-LR
2027,-0.01556146283102404,-0.1815353490947925,-0.014716969054038591,IPSL-CM6A-LR
2028,-0.06845795657647369,-0.2827248855839703,0.002108107497211719,IPSL-CM6A-LR
2029,-0.09688172198180688,-0.26115184634738736,-0.10202883418246458,IPSL-CM6A-LR
2030,-0.06060704811337007,-0.4020549723446924,0.11144678601102145,IPSL-CM6A-LR
2031,-0.08127450618286525,-0.17916201384708166,0.10342456072080643,IPSL-CM6A-LR
2032,-0.03706107575772406,-0.16458742907913954,0.1334145267659667,IPSL-CM6A-LR
2033,-0.07531102491683243,-0.263365789272379,-0.06980729756263727,IPSL-CM6A-LR
2034,-0.05805372269456489,-0.2600042167260162,-0.08330875590189539,IPSL-CM6A-LR
2035,-0.020532841298758448,-0.15126586724556995,0.1719651206137746,IPSL-CM6A-LR
2036,-0.02004344276202415,-0.19447313985727915,0.13181215816929845,IPSL-CM6A-LR
2037,-0.052549246990295916,-0.37347519298914494,0.03845322111086313,IPSL-CM6A-LR
2038,-0.08251468140068456,-0.33419165564739056,0.02081193494143866,IPSL-CM6A-LR
2039,-0.0825492661193309,-0.2036580880249793,0.07574420714268741,IPSL-CM6A-LR
2040,-0.02304937971212473,-0.2750626576494771,0.09317756960744804,IPSL-CM6A-LR
2041,-0.0067299042212793465,-0.3108984392801068,0.1843528500182803,IPSL-CM6A-LR
2042,-0.06881500363886957,-0.3033181438036921,0.0161465265757824,IPSL-CM6A-LR
2043,-0.022831674925702233,-0.3128675150915561,0.11964374141098023,IPSL-CM6A-LR
2044,-0.014106983803020987,-0.29061649789894023,0.17105844907816886,IPSL-CM6A-LR
2045,-0.012945527282403994,-0.2120739617243635,0.13535084648317355,IPSL-CM6A-LR
2046,-0.05559311650403098,-0.21274790346694272,0.06371649360316002,IPSL-CM6A-LR
2047,-0.07327239094219097,-0.22681496420859318,0.004297989682530274,IPSL-CM6A-LR
2048,-0.07029009933834274,-0.2803214621168377,0.07980601621523585,IPSL-CM6A-LR
