Year,Annual,Summer,Winter,Model
2015,-0.20143785415839033,-0.1544154207970224,-0.3538915344544672,IPSL-CM6A-LR
2016,-0.11015931702301958,-0.2671904002896937,-0.21547287671084514,IPSL-CM6A-LR
2017,-0.06803205481224224,-0.17107153752438356,-0.21195103883265543,IPSL-CM6A-LR
2018,-0.08153961153859873,-0.14532398396514998,-0.1506426274809582,IPSL-CM6A-LR
2019,-0.10677658634821979,-0.22490305005078562,-0.1910668939012602,IPSL-CM6A-LR
2020,-0.10883796674475378,-0.21193065521586574,-0.17173608001144366,IPSL-CM6A-LR
2021,-0.18078482639014862,-0.0538581239421897,-0.2558293580865729,IPSL-CM6A-LR
2022,-0.13619453784353808,-0.2332464295264833,-0.21889144342921077,IPSL-CM6A-LR
2023,-0.12697730823305373,-0.14433290599483073,-0.1659852915257616,IPSL-CM6A-LR
2024,-0.11733065456486612,-0.1802877415456031,-0.2042774146054142,IPSL-CM6A-LR
2025,-0.16280554055055155,-0.014556626384357403,-0.22299944570696484,IPSL-CM6A-LR
2026,-0.15924700267774436,-0.2450839294057524,-0.20153433805058887,IPSL-CM6A-LR
2027,-0.09537512284738793,-0.06353223806606963,-0.2306020666197178,IPSL-CM6A-LR
2028,-0.11777533090844276,-0.24543673759275123,-0.16536605014871075,IPSL-CM6A-LR
2029,-0.1260634467956266,-0.0578250512148425,-0.16907811818114324,IPSL-CM6A-LR
2030,-0.10123450199368796,-0.2870425849440834,-0.15386280592271936,IPSL-CM6A-LR
2031,-0.14756908446490744,-0.25203201841333556,-0.12424633414311964,IPSL-CM6A-LR
2032,-0.05302999783355391,-0.0970441872650197,-0.12411974344897411,IPSL-CM6A-LR
2033,-0.10391193681228289,-0.30807669174366,-0.1199663134128345,IPSL-CM6A-LR
2034,-0.15060560467458578,-0.1711603484502023,-0.26000003844538555,IPSL-CM6A-LR
2035,-0.0741072903888896,-0.21780630691140415,-0.055618481649869406,IPSL-CM6A-LR
2036,-0.16042870068970635,-0.15318457988767636,-0.19901261972450274,IPSL-CM6A-LR
2037,-0.1338642501490214,-0.16863158171470624,-0.1298264758657178,IPSL-CM6A-LR
2038,-0.07837695478197247,-0.17398618544990535,-0.1031446538457261,IPSL-CM6A-LR
2039,-0.12009968542565781,-0.25237783733804753,-0.14743319228751506,IPSL-CM6A-LR
2040,-0.10260583322982329,-0.17079502452464132,-0.19715490107843664,IPSL-CM6A-LR
2041,-0.039798327041442885,-0.2077021197408205,-0.14409887109234346,IPSL-CM6A-LR
2042,-0.023033615103326993,-0.25341164137930733,-0.00995949529527156,IPSL-CM6A-LR
2043,-0.06609728068091199,-0.20604703164926652,-0.11173800096402725,IPSL-CM6A-LR
2044,-0.047689143842372494,-0.18695623091214145,-0.10101495581659395,IPSL-CM6A-LR
2045,-0.11830381663015936,-0.2184363787468601,-0.11139724945936107,IPSL-CM6A-LR
2046,-0.11541108482563872,-0.163873261482969,-0.08574902183915782,IPSL-CM6A-LR
2047,-0.10850900876424452,-0.10181209771052545,-0.08784455637605343,IPSL-CM6A-LR
2048,-0.12493879276426201,-0.22854952118701286,-0.17535267785758088,IPSL-CM6A-LR
2049,-0.1938659006667883,-0.2043993424674835,-0.2799689299278965,IPSL-CM6A-LR
2050,-0.06565008692467793,-0.1704268704235014,-0.13913368761623135,IPSL-CM6A-LR
2051,-0.07358985697552366,-0.20511250975570103,-0.19284833502632273,IPSL-CM6A-LR
2052,-0.10268039957774695,-0.20857906260079032,-0.07511773810617813,IPSL-CM6A-LR
2053,-0.1236048425145419,-0.15462588489391726,-0.15816554594950252,IPSL-CM6A-LR
2054,-0.04900493095356793,-0.28775296427161773,-0.0965056749270602,IPSL-CM6A-LR
2055,-0.10299916256212703,-0.1721390926759255,-0.1308278455783832,IPSL-CM6A-LR
2056,-0.047146895183390596,-0.09253857661248364,-0.056582546753167665,IPSL-CM6A-LR
2057,-0.058216007671953944,-0.23786596433418508,-0.14684837376579865,IPSL-CM6A-LR
2058,-0.0588048455876767,-0.16771758553156838,0.014544037963453665,IPSL-CM6A-LR
2059,-0.04060708020868525,-0.23659824684315336,-0.10693359927605246,IPSL-CM6A-LR
2060,-0.0858240161680313,-0.17585197647121567,-0.08231635145395905,IPSL-CM6A-LR
2061,-0.0910160038861317,-0.31424204063352873,-0.05352148297489133,IPSL-CM6A-LR
2062,-0.09670544886522697,-0.10131792675796823,-0.12393514293948443,IPSL-CM6A-LR
2063,-0.0690753204270657,-0.22976245850241678,-0.07976025974709358,IPSL-CM6A-LR
2064,-0.146733234975593,-0.31306200805022,-0.16569002230081864,IPSL-CM6A-LR
2065,-0.1361839300453645,-0.24935635603823977,-0.20357147340888276,IPSL-CM6A-LR
2066,-0.0942415303842965,-0.2502844701274938,-0.08736029487592514,IPSL-CM6A-LR
2067,-0.1581779937216398,-0.2481931760308515,-0.1395309153575934,IPSL-CM6A-LR
2068,-0.07750248825738504,-0.253784235230056,-0.1208951091270006,IPSL-CM6A-LR
2069,-0.09494500400395539,-0.2133847086907513,-0.09017070764265071,IPSL-CM6A-LR
2070,-0.06433162609033911,-0.18572542603279266,-0.02190655456246693,IPSL-CM6A-LR
2071,-0.04924924518262478,-0.320925055511239,-0.037315612563250986,IPSL-CM6A-LR
2072,-0.09895070658538614,-0.18406430522823927,-0.07048026264529324,IPSL-CM6A-LR
2073,-0.143174473838678,-0.27598282583879336,-0.14391050427958232,IPSL-CM6A-LR
2074,-0.12467092146501506,-0.23342365948032384,-0.09554064922906028,IPSL-CM6A-LR
2075,-0.10496527990751107,-0.18350529546119498,-0.1132127817700486,IPSL-CM6A-LR
2076,-0.05993227626460179,-0.29575822326010903,-0.09517077926045937,IPSL-CM6A-LR
2077,-0.1416575855939543,-0.22261381526284063,-0.11958470219808925,IPSL-CM6A-LR
2078,-0.09544235364977398,-0.27396134084871604,-0.006774642787902829,IPSL-CM6A-LR
2079,-0.04804860166438773,-0.24163655632473385,-0.04464339180451338,IPSL-CM6A-LR
2080,-0.047022686556674353,-0.1968343116169165,-0.07310245690515918,IPSL-CM6A-LR
2081,-0.06818068458423651,-0.2424230790584764,-0.0918904001664297,IPSL-CM6A-LR
2082,-0.06402432163065293,-0.2694441265811249,-0.011483739558043535,IPSL-CM6A-LR
2083,-0.048160972646795204,-0.3107261985680781,-0.05134566367150632,IPSL-CM6A-LR
2084,-0.07798629997556648,-0.34721152784462744,-0.06100450710331725,IPSL-CM6A-LR
2085,-0.1477821544848588,-0.32985823371263634,-0.08223533395887785,IPSL-CM6A-LR
2086,-0.13345835332424544,-0.3003352057257905,-0.08973073083097449,IPSL-CM6A-LR
2087,-0.0906630824397963,-0.3030610467439849,-0.036357418596419055,IPSL-CM6A-LR
2088,-0.10118354259625685,-0.3366843449172307,-0.1271121741265762,IPSL-CM6A-LR
2089,-0.14904652414140412,-0.3641442703887778,-0.13080239482060246,IPSL-CM6A-LR
2090,-0.13844612607431048,-0.3159523434115171,-0.11532481403024017,IPSL-CM6A-LR
2091,-0.07217103407498339,-0.2899419508727274,-0.02515330381647865,IPSL-CM6A-LR
2092,-0.10512918546700145,-0.31743612808148924,-0.08964672132199175,IPSL-CM6A-LR
2093,-0.128931945389001,-0.37600087671766824,-0.10512235957144071,IPSL-CM6A-LR
2094,-0.09562047128368246,-0.2096951137010083,0.010413977887812733,IPSL-CM6A-LR
2095,-0.0419769357033167,-0.2727558445854834,-0.03554422794598187,IPSL-CM6A-LR
2096,-0.07743608742353547,-0.33469663412222356,0.0009708992156617096,IPSL-CM6A-LR
2097,-0.07044679301650396,-0.36077502238801773,-0.038472516089454206,IPSL-CM6A-LR
2098,-0.10039093019416619,-0.3403524706076349,-0.03424678280430855,IPSL-CM6A-LR
2099,-0.10067902665093709,-0.34894548042582024,-0.059898220741368476,IPSL-CM6A-LR
2100,-0.04258948275281605,-0.01516007820640025,-0.007228244455259751,IPSL-CM6A-LR
