Year,Annual,Summer,Winter,Model
2015,107.134186,24.965713500976562,148.8442840576172,IPSL-CM6A-LR
2016,95.55431,22.217071533203125,122.87579345703125,IPSL-CM6A-LR
2017,80.63577,22.83573341369629,106.7841796875,IPSL-CM6A-LR
2018,93.75113,23.701547622680664,120.47354888916016,IPSL-CM6A-LR
2019,97.32032,24.25757598876953,130.41920471191406,IPSL-CM6A-LR
2020,82.664604,24.2291316986084,108.9022445678711,IPSL-CM6A-LR
2021,92.632286,25.078012466430664,128.55816650390625,IPSL-CM6A-LR
2022,97.5713,28.857152938842773,128.3341522216797,IPSL-CM6A-LR
2023,93.34583,27.446020126342773,124.20551300048828,IPSL-CM6A-LR
2024,93.56818,26.173660278320312,132.6072540283203,IPSL-CM6A-LR
2025,98.63346,28.363365173339844,137.44276428222656,IPSL-CM6A-LR
2026,94.32194,27.2078914642334,126.708251953125,IPSL-CM6A-LR
2027,80.15754,25.25481605529785,105.28876495361328,IPSL-CM6A-LR
2028,84.90315,31.12874412536621,113.28699493408203,IPSL-CM6A-LR
2029,87.46356,27.45430564880371,123.1164779663086,IPSL-CM6A-LR
2030,75.367805,22.155603408813477,99.95974731445312,IPSL-CM6A-LR
2031,78.22903,23.792984008789062,102.51659393310547,IPSL-CM6A-LR
2032,73.53249,23.711549758911133,97.3141098022461,IPSL-CM6A-LR
2033,80.49793,25.554662704467773,108.34252166748047,IPSL-CM6A-LR
2034,80.64106,24.586074829101562,107.73258209228516,IPSL-CM6A-LR
2035,78.751305,27.24213218688965,104.6650619506836,IPSL-CM6A-LR
2036,84.960106,28.135427474975586,114.547607421875,IPSL-CM6A-LR
2037,81.76471,26.582763671875,114.50836181640625,IPSL-CM6A-LR
2038,83.14538,24.960845947265625,112.82991790771484,IPSL-CM6A-LR
2039,77.84092,26.878585815429688,105.116943359375,IPSL-CM6A-LR
2040,76.97723,26.145736694335938,102.2294692993164,IPSL-CM6A-LR
2041,68.23256,22.046310424804688,91.4692611694336,IPSL-CM6A-LR
2042,70.00174,24.37714385986328,91.7931900024414,IPSL-CM6A-LR
2043,77.13149,25.248071670532227,106.8492431640625,IPSL-CM6A-LR
2044,73.68682,25.743642807006836,99.17339324951172,IPSL-CM6A-LR
2045,79.205475,29.317138671875,106.0105972290039,IPSL-CM6A-LR
2046,87.52729,27.775634765625,120.60726165771484,IPSL-CM6A-LR
2047,84.88595,28.808713912963867,116.25289154052734,IPSL-CM6A-LR
2048,85.21098,28.9497127532959,111.78976440429688,IPSL-CM6A-LR
2049,80.98513,21.98423194885254,115.14574432373047,IPSL-CM6A-LR
2050,67.292946,21.680612564086914,91.24346160888672,IPSL-CM6A-LR
2051,70.167366,23.867563247680664,96.87853240966797,IPSL-CM6A-LR
2052,78.67431,29.2556095123291,103.95635223388672,IPSL-CM6A-LR
2053,81.71626,28.029356002807617,109.8481216430664,IPSL-CM6A-LR
2054,73.20985,26.556604385375977,95.2096939086914,IPSL-CM6A-LR
2055,79.69176,25.626523971557617,110.07283782958984,IPSL-CM6A-LR
2056,71.16698,24.937667846679688,95.90484619140625,IPSL-CM6A-LR
2057,69.18895,24.4127140045166,93.92485809326172,IPSL-CM6A-LR
2058,71.57988,24.470436096191406,93.35308837890625,IPSL-CM6A-LR
2059,74.254326,25.768789291381836,100.9933853149414,IPSL-CM6A-LR
2060,69.523476,24.59598731994629,90.0895767211914,IPSL-CM6A-LR
2061,75.15615,27.868850708007812,98.74820709228516,IPSL-CM6A-LR
2062,74.16085,25.280580520629883,98.29013061523438,IPSL-CM6A-LR
2063,70.05996,25.415220260620117,92.75094604492188,IPSL-CM6A-LR
2064,71.017685,23.7816219329834,97.33162689208984,IPSL-CM6A-LR
2065,72.364136,25.955995559692383,98.94672393798828,IPSL-CM6A-LR
2066,71.145935,23.196142196655273,99.33566284179688,IPSL-CM6A-LR
2067,69.058334,23.88899803161621,92.98738861083984,IPSL-CM6A-LR
2068,69.00184,24.73405647277832,93.3812255859375,IPSL-CM6A-LR
2069,68.61137,23.430381774902344,93.04727172851562,IPSL-CM6A-LR
2070,63.356174,23.909048080444336,84.44439697265625,IPSL-CM6A-LR
2071,72.76229,25.29535484313965,97.1159439086914,IPSL-CM6A-LR
2072,70.78796,23.6544132232666,94.3758773803711,IPSL-CM6A-LR
2073,75.99757,27.48480224609375,100.61949920654297,IPSL-CM6A-LR
2074,74.29853,28.31304359436035,98.79405975341797,IPSL-CM6A-LR
2075,72.75952,26.91615104675293,98.01397705078125,IPSL-CM6A-LR
2076,66.20376,23.781789779663086,89.24202728271484,IPSL-CM6A-LR
2077,67.68067,23.093347549438477,91.7197036743164,IPSL-CM6A-LR
2078,73.17059,25.1947021484375,101.43181610107422,IPSL-CM6A-LR
2079,67.019775,24.943130493164062,87.39602661132812,IPSL-CM6A-LR
2080,64.9213,23.458908081054688,86.87244415283203,IPSL-CM6A-LR
2081,63.21776,23.65068817138672,83.10047149658203,IPSL-CM6A-LR
2082,69.14608,23.667434692382812,93.5411605834961,IPSL-CM6A-LR
2083,66.59067,24.33409309387207,89.14974212646484,IPSL-CM6A-LR
2084,63.427677,23.07220458984375,83.9533462524414,IPSL-CM6A-LR
2085,67.00682,24.2571964263916,89.96488189697266,IPSL-CM6A-LR
2086,69.62783,28.934221267700195,91.19760131835938,IPSL-CM6A-LR
2087,70.58216,26.873947143554688,93.7127914428711,IPSL-CM6A-LR
2088,65.138466,23.190765380859375,87.51555633544922,IPSL-CM6A-LR
2089,66.36779,25.285287857055664,88.22320556640625,IPSL-CM6A-LR
2090,67.03867,24.495676040649414,90.0469741821289,IPSL-CM6A-LR
2091,60.918407,25.654739379882812,80.33242797851562,IPSL-CM6A-LR
2092,65.71648,26.313621520996094,88.18000030517578,IPSL-CM6A-LR
2093,66.10175,26.858346939086914,88.91921997070312,IPSL-CM6A-LR
2094,65.73305,25.723508834838867,84.88461303710938,IPSL-CM6A-LR
2095,64.63207,25.173044204711914,84.0162582397461,IPSL-CM6A-LR
2096,62.238613,22.174036026000977,84.6595230102539,IPSL-CM6A-LR
2097,60.647007,22.094635009765625,83.30533599853516,IPSL-CM6A-LR
2098,61.882465,22.809778213500977,84.01118469238281,IPSL-CM6A-LR
2099,57.953945,22.78839683532715,78.47437286376953,IPSL-CM6A-LR
2100,59.32352,23.46718406677246,78.1944580078125,IPSL-CM6A-LR
