Year,Annual,Summer,Winter,Model
2015,-0.06835555517798574,-0.2589759760660095,-0.07881978291007945,IPSL-CM6A-LR
2016,-0.03422662263291628,-0.24355033994400643,-0.05418125742749893,IPSL-CM6A-LR
2017,-0.0674293330225683,-0.39853802098730096,-0.10257395360680643,IPSL-CM6A-LR
2018,-0.09708412997123454,-0.31580141058605193,-0.11869548790269477,IPSL-CM6A-LR
2019,-0.0694695333019567,-0.23661506725339174,-0.09393488639539228,IPSL-CM6A-LR
2020,-0.030050675188284148,-0.33459492954604947,-0.018797631111819132,IPSL-CM6A-LR
2021,-0.06813097746610196,-0.1851840468752006,-0.13814933628841147,IPSL-CM6A-LR
2022,-0.06454532891867278,-0.2139941554947986,-0.10887037449980935,IPSL-CM6A-LR
2023,-0.023664669868836124,-0.2686408315572104,-0.07869676208842914,IPSL-CM6A-LR
2024,-0.09261737485880324,-0.2254943085431769,-0.14295487852653493,IPSL-CM6A-LR
2025,-0.10075584708491826,-0.1409383197985097,-0.15063067953643747,IPSL-CM6A-LR
2026,0.015492537781941826,-0.12568053916256527,0.0412053938835907,IPSL-CM6A-LR
2027,0.0684518405813338,-0.10744222938954703,0.010966102542127036,IPSL-CM6A-LR
2028,-0.0026733168915363255,-0.26471237838834316,0.0018416429453474994,IPSL-CM6A-LR
2029,-0.04320213710314763,-0.22889713428725536,-0.0894438694342034,IPSL-CM6A-LR
2030,0.003883779471172658,-0.36858248221020007,0.13711620701102145,IPSL-CM6A-LR
2031,0.02954474365959933,-0.1434914506478572,0.16111038274786285,IPSL-CM6A-LR
2032,0.05100780678744268,-0.09473347120344247,0.16195610471506558,IPSL-CM6A-LR
2033,-0.01769908194227184,-0.24097437836074448,-0.060437714438609146,IPSL-CM6A-LR
2034,0.02320136794772695,-0.2277163314563258,-0.07864757367995324,IPSL-CM6A-LR
2035,0.063140246086811,-0.11900812513859714,0.19311849580322268,IPSL-CM6A-LR
2036,0.018213762512306178,-0.1727104282400515,0.11476828162904934,IPSL-CM6A-LR
2037,-0.024593942918765793,-0.3638402229842134,-0.0038098796709052723,IPSL-CM6A-LR
2038,-0.02287572529745047,-0.31695125937361834,0.0011383316550730735,IPSL-CM6A-LR
2039,-0.023181120123137233,-0.2109262906301863,0.06055429611554829,IPSL-CM6A-LR
2040,0.058627280673095826,-0.2412468097278654,0.11357363058554382,IPSL-CM6A-LR
2041,0.09192201742803192,-0.26165643992613663,0.2045508779900637,IPSL-CM6A-LR
2042,-0.008772617176887083,-0.23990413267510252,0.016184233350616927,IPSL-CM6A-LR
2043,0.0390276425218294,-0.2823617492769935,0.14023198805814352,IPSL-CM6A-LR
2044,0.04613360183609036,-0.2558151472421665,0.15691889288345415,IPSL-CM6A-LR
2045,0.04792178864095609,-0.17003875727357887,0.1322747465380822,IPSL-CM6A-LR
2046,-0.02317881517029553,-0.17956538816166212,0.035210801464745894,IPSL-CM6A-LR
2047,-0.030032529624392883,-0.21916088393773414,-0.025066509241055503,IPSL-CM6A-LR
2048,-0.002722919580858569,-0.23071162637151663,0.08326471408884752,IPSL-CM6A-LR
