Year,Annual,Summer,Winter,Model
2015,-0.14722646983170104,-0.17540679770162318,-0.20806151356435407,IPSL-CM6A-LR
2016,-0.09599523394652477,-0.292337972240532,-0.145505344291813,IPSL-CM6A-LR
2017,-0.08458754500427396,-0.17776866458937826,-0.13598775384676537,IPSL-CM6A-LR
2018,-0.11128191518885357,-0.17091282443432332,-0.1787634241544276,IPSL-CM6A-LR
2019,-0.09678574123116972,-0.24238050549891318,-0.1461516062126254,IPSL-CM6A-LR
2020,-0.1285834046689407,-0.2674424349393134,-0.18168613720958907,IPSL-CM6A-LR
2021,-0.125791318590157,-0.04918442145275837,-0.15291272700076178,IPSL-CM6A-LR
2022,-0.13316522579742676,-0.2510961752580519,-0.1780129047112555,IPSL-CM6A-LR
2023,-0.1290532420832509,-0.168599863978637,-0.16499426117283275,IPSL-CM6A-LR
2024,-0.0942899306170199,-0.1808829918132594,-0.13862852083060934,IPSL-CM6A-LR
2025,-0.15920576532587385,-0.012512354319367263,-0.22741926366225437,IPSL-CM6A-LR
2026,-0.15169326702980288,-0.3134712869032492,-0.17611751263503672,IPSL-CM6A-LR
2027,-0.06478688875210671,-0.06774846941575194,-0.162336738614551,IPSL-CM6A-LR
2028,-0.11784255911805284,-0.2658624150637437,-0.17721585017360283,IPSL-CM6A-LR
2029,-0.11785148841372182,-0.08479695696841015,-0.13463792692516285,IPSL-CM6A-LR
2030,-0.08904573376345086,-0.30332075847771517,-0.11911873784197437,IPSL-CM6A-LR
2031,-0.14125705712058126,-0.2762159507935918,-0.13131792420814603,IPSL-CM6A-LR
2032,-0.03622263879023257,-0.10142052077888737,-0.07875726087921958,IPSL-CM6A-LR
2033,-0.10596028095664652,-0.33958154520933415,-0.14208885630817716,IPSL-CM6A-LR
2034,-0.10399484730319987,-0.17585187585216489,-0.1674013540032869,IPSL-CM6A-LR
2035,-0.11331080714769139,-0.2716777909108682,-0.12383930558712905,IPSL-CM6A-LR
2036,-0.15707991737568847,-0.17398899755728853,-0.16970897256716003,IPSL-CM6A-LR
2037,-0.1650546648758666,-0.15209712182250346,-0.1993722645777457,IPSL-CM6A-LR
2038,-0.09992782160088808,-0.18694657151397628,-0.19812252132233485,IPSL-CM6A-LR
2039,-0.1497237334841466,-0.2830010351811328,-0.20299732669627052,IPSL-CM6A-LR
2040,-0.09604292967559099,-0.20011717187086378,-0.1766116352544582,IPSL-CM6A-LR
2041,-0.0281908368037265,-0.22260890264382896,-0.10707182840324658,IPSL-CM6A-LR
2042,-0.06680096732334119,-0.26091630036699265,-0.12635284907551603,IPSL-CM6A-LR
2043,-0.06175611286060001,-0.22792874336016417,-0.11582539051787616,IPSL-CM6A-LR
2044,-0.0756267677427145,-0.2051138975181662,-0.13738824565834212,IPSL-CM6A-LR
2045,-0.13191842682280105,-0.23047607607198714,-0.16325011423694732,IPSL-CM6A-LR
2046,-0.14355890763906395,-0.15871206999749046,-0.1756179457679495,IPSL-CM6A-LR
2047,-0.1228994656886873,-0.10725906736864887,-0.17339896539263203,IPSL-CM6A-LR
2048,-0.13755098694192178,-0.2624872419718832,-0.2111949173331837,IPSL-CM6A-LR
2049,-0.15439480672903477,-0.17211001576271415,-0.21499449080922012,IPSL-CM6A-LR
2050,-0.05542772649628114,-0.1471010847946862,-0.13094766414764292,IPSL-CM6A-LR
2051,-0.04279895451409501,-0.1803529644083365,-0.12258573252793917,IPSL-CM6A-LR
2052,-0.12837150167064884,-0.24892348466176595,-0.16122435059498888,IPSL-CM6A-LR
2053,-0.10463791231508612,-0.1677483066885035,-0.1615650763731486,IPSL-CM6A-LR
2054,-0.06310348084984901,-0.30759241596487596,-0.1437587236380298,IPSL-CM6A-LR
2055,-0.10224902544749677,-0.15782547160931734,-0.15653221093172703,IPSL-CM6A-LR
2056,-0.09157179823685062,-0.07110943896496698,-0.1374252623108616,IPSL-CM6A-LR
2057,-0.08764244881281791,-0.23046699714401583,-0.1845524516080426,IPSL-CM6A-LR
2058,-0.10659869763151286,-0.14307868316131148,-0.13570497615841914,IPSL-CM6A-LR
2059,-0.06908951461171627,-0.2356993255378986,-0.1679711381938737,IPSL-CM6A-LR
2060,-0.06866896370082974,-0.13948519368583145,-0.12592712836491582,IPSL-CM6A-LR
2061,-0.10659342925211612,-0.3564550486608057,-0.1401371174287747,IPSL-CM6A-LR
2062,-0.10095031060596993,-0.11945650518627074,-0.12618029607559494,IPSL-CM6A-LR
2063,-0.11541276961290914,-0.22739561921336232,-0.21354494118131634,IPSL-CM6A-LR
2064,-0.12504607640481233,-0.3338187192339549,-0.16844361242323833,IPSL-CM6A-LR
2065,-0.10133029298419942,-0.2605550489095234,-0.1668195180541154,IPSL-CM6A-LR
2066,-0.07052264335399895,-0.21977467633569406,-0.14345916458599786,IPSL-CM6A-LR
2067,-0.14054960790922713,-0.26127603139671524,-0.15154383048053385,IPSL-CM6A-LR
2068,-0.10722081756239425,-0.24089037529716287,-0.1602953576239536,IPSL-CM6A-LR
2069,-0.12640053225013065,-0.18236561356320866,-0.1838192645109115,IPSL-CM6A-LR
2070,-0.09488731449004535,-0.16116444087675283,-0.09284277101316585,IPSL-CM6A-LR
2071,-0.1125124461333407,-0.29651646881349325,-0.1901610258850872,IPSL-CM6A-LR
2072,-0.1189052881591226,-0.16848825042778068,-0.18059530083052047,IPSL-CM6A-LR
2073,-0.12718011251533962,-0.2572428631629472,-0.1762206892201012,IPSL-CM6A-LR
2074,-0.14409929173894528,-0.22348149953893567,-0.19630675121915445,IPSL-CM6A-LR
2075,-0.11206386217267783,-0.16882508542048055,-0.20162048346511613,IPSL-CM6A-LR
2076,-0.07060661474575024,-0.3013800813813334,-0.14223955390375928,IPSL-CM6A-LR
2077,-0.1219822892125651,-0.18595659021760705,-0.1581905871271819,IPSL-CM6A-LR
2078,-0.135511517411643,-0.24586866110645372,-0.15948091433865183,IPSL-CM6A-LR
2079,-0.09955042658120718,-0.2636829468136254,-0.14357371206658925,IPSL-CM6A-LR
2080,-0.04964658817712377,-0.1895976942455327,-0.12037988498844311,IPSL-CM6A-LR
