Year,Annual,Summer,Winter,Model
2015,-0.07597820339399912,-0.5449216962125422,0.12364373987237232,IPSL-CM6A-LR
2016,-0.07580509407619121,-0.5145617200743512,0.09792245275571439,IPSL-CM6A-LR
2017,-0.01241559833449789,-0.48486310631172924,0.17359419697795503,IPSL-CM6A-LR
2018,-0.06756653820836779,-0.5556823506224069,0.14689855639944838,IPSL-CM6A-LR
2019,-0.062071707566795954,-0.5444140698687306,0.1569627114600156,IPSL-CM6A-LR
2020,-0.10080747755218543,-0.510858018556264,-0.047674908673420925,IPSL-CM6A-LR
2021,-0.016797760198519498,-0.48932536087502565,0.2440245644290819,IPSL-CM6A-LR
2022,-0.0668794215389819,-0.5724347916206507,0.18966377545871094,IPSL-CM6A-LR
2023,-0.08289193046760526,-0.5822817937510681,0.10653553271551928,IPSL-CM6A-LR
2024,-0.004655937104841533,-0.5831030493316841,0.23578738533580848,IPSL-CM6A-LR
2025,-0.06942810828922334,-0.5804827791308761,0.1813058671111321,IPSL-CM6A-LR
2026,-0.06544805068710041,-0.20797369807520372,-0.06158614404025695,IPSL-CM6A-LR
2027,-0.1116135529941103,-0.5635403756309457,0.017080693967434092,IPSL-CM6A-LR
2028,-0.13528434897561506,-0.536529984479255,-0.03365537171812553,IPSL-CM6A-LR
2029,-0.09784217217136033,-0.6243696670694225,0.12176555513675046,IPSL-CM6A-LR
2030,-0.13980634989230256,-0.6066205712504406,-0.21991468355762284,IPSL-CM6A-LR
2031,-0.16197995173651702,-0.3939098062074875,-0.30387686848188983,IPSL-CM6A-LR
2032,-0.20767917520207593,-0.5462788248003111,-0.2949117123503503,IPSL-CM6A-LR
2033,-0.10935628679472198,-0.5455840759835897,0.08197662938161314,IPSL-CM6A-LR
2034,-0.1365832755428976,-0.5628529275830851,0.14029830035892557,IPSL-CM6A-LR
2035,-0.2595152360715492,-0.629329626993697,-0.3837078816659858,IPSL-CM6A-LR
2036,-0.14237841748258986,-0.5431528757969862,-0.14557560938160163,IPSL-CM6A-LR
2037,-0.11533408242349807,-0.623067301368511,0.025314968955463542,IPSL-CM6A-LR
