Year,Annual,Summer,Winter,Model
2015,96.81066,25.67753791809082,128.15660095214844,IPSL-CM6A-LR
2016,94.56005,22.214927673339844,111.48453521728516,IPSL-CM6A-LR
2017,84.524345,23.613969802856445,104.34494018554688,IPSL-CM6A-LR
2018,98.227974,24.933752059936523,117.32439422607422,IPSL-CM6A-LR
2019,96.3263,24.469650268554688,118.93842315673828,IPSL-CM6A-LR
2020,80.5643,24.521896362304688,96.64990997314453,IPSL-CM6A-LR
2021,103.6141,27.247507095336914,138.99224853515625,IPSL-CM6A-LR
2022,104.81403,31.3413028717041,130.80702209472656,IPSL-CM6A-LR
2023,96.37182,29.658750534057617,115.70304107666016,IPSL-CM6A-LR
2024,113.42988,29.17887306213379,166.9036865234375,IPSL-CM6A-LR
2025,104.08105,31.129735946655273,134.8116912841797,IPSL-CM6A-LR
2026,89.91202,27.214262008666992,111.79022216796875,IPSL-CM6A-LR
2027,83.773125,25.6936092376709,101.32818603515625,IPSL-CM6A-LR
2028,81.40131,32.494842529296875,102.7824478149414,IPSL-CM6A-LR
2029,92.28907,28.99921226501465,122.3027114868164,IPSL-CM6A-LR
2030,72.28843,22.889482498168945,91.45321655273438,IPSL-CM6A-LR
2031,75.39454,23.85774803161621,93.82452392578125,IPSL-CM6A-LR
2032,72.3537,24.448148727416992,90.66510772705078,IPSL-CM6A-LR
2033,83.30418,25.90606689453125,104.2208480834961,IPSL-CM6A-LR
2034,86.70743,26.58408546447754,113.7912368774414,IPSL-CM6A-LR
2035,71.95643,28.041345596313477,94.69345092773438,IPSL-CM6A-LR
2036,78.33369,29.385717391967773,100.64551544189453,IPSL-CM6A-LR
2037,76.272194,29.61663246154785,102.1588134765625,IPSL-CM6A-LR
2038,79.06342,27.3685359954834,102.63665771484375,IPSL-CM6A-LR
2039,71.102325,28.207002639770508,93.1781005859375,IPSL-CM6A-LR
2040,71.06759,26.643341064453125,92.178955078125,IPSL-CM6A-LR
2041,65.49081,23.39134979248047,86.43033599853516,IPSL-CM6A-LR
2042,69.78327,25.023948669433594,89.4144515991211,IPSL-CM6A-LR
2043,76.34021,25.86310386657715,97.9144058227539,IPSL-CM6A-LR
2044,71.05717,28.757204055786133,90.12108612060547,IPSL-CM6A-LR
2045,72.818245,30.813833236694336,94.087890625,IPSL-CM6A-LR
2046,83.12009,29.61433219909668,107.96936798095703,IPSL-CM6A-LR
2047,83.02572,30.588226318359375,105.6036376953125,IPSL-CM6A-LR
2048,80.63908,30.374780654907227,101.47493743896484,IPSL-CM6A-LR
2049,72.90803,23.806358337402344,100.47775268554688,IPSL-CM6A-LR
2050,65.03254,22.7752742767334,87.95795440673828,IPSL-CM6A-LR
2051,69.24117,25.559249877929688,93.20113372802734,IPSL-CM6A-LR
2052,75.2856,31.48798370361328,96.45844268798828,IPSL-CM6A-LR
2053,75.49097,29.957962036132812,97.21602630615234,IPSL-CM6A-LR
2054,68.20431,28.541488647460938,86.5311279296875,IPSL-CM6A-LR
2055,76.69329,27.709321975708008,104.1583480834961,IPSL-CM6A-LR
2056,67.9894,26.200674057006836,88.4208984375,IPSL-CM6A-LR
2057,67.73638,27.012296676635742,86.87305450439453,IPSL-CM6A-LR
2058,66.94283,25.99411964416504,86.2899398803711,IPSL-CM6A-LR
2059,71.64771,27.692975997924805,93.78085327148438,IPSL-CM6A-LR
2060,66.283,26.05768394470215,86.1868896484375,IPSL-CM6A-LR
2061,69.14782,29.050954818725586,90.61223602294922,IPSL-CM6A-LR
2062,71.73698,26.872175216674805,94.40213775634766,IPSL-CM6A-LR
2063,64.602646,27.296340942382812,84.38404083251953,IPSL-CM6A-LR
2064,65.843544,25.27976417541504,88.81558227539062,IPSL-CM6A-LR
2065,67.79256,26.73914909362793,91.86444091796875,IPSL-CM6A-LR
2066,67.30748,25.78481101989746,91.94022369384766,IPSL-CM6A-LR
2067,64.21006,24.79335594177246,85.34200286865234,IPSL-CM6A-LR
2068,64.702736,26.214950561523438,86.653076171875,IPSL-CM6A-LR
2069,64.80913,26.505615234375,85.71329498291016,IPSL-CM6A-LR
2070,60.563984,26.747413635253906,79.33574676513672,IPSL-CM6A-LR
2071,68.84792,27.855743408203125,90.28887176513672,IPSL-CM6A-LR
2072,66.224945,26.02061653137207,86.59344482421875,IPSL-CM6A-LR
2073,70.35758,29.630897521972656,90.87801361083984,IPSL-CM6A-LR
2074,68.707825,30.281476974487305,89.34517669677734,IPSL-CM6A-LR
2075,67.73823,28.641883850097656,89.92160034179688,IPSL-CM6A-LR
2076,61.772892,24.532800674438477,82.7773666381836,IPSL-CM6A-LR
2077,63.55068,24.607709884643555,86.18094635009766,IPSL-CM6A-LR
2078,67.98702,27.297996520996094,92.79141998291016,IPSL-CM6A-LR
2079,63.068645,26.590639114379883,81.77448272705078,IPSL-CM6A-LR
2080,61.329163,23.867385864257812,81.51421356201172,IPSL-CM6A-LR
2081,60.846188,26.25945472717285,78.85717010498047,IPSL-CM6A-LR
2082,66.49179,26.248878479003906,89.25506591796875,IPSL-CM6A-LR
2083,62.58087,26.86372184753418,81.283447265625,IPSL-CM6A-LR
2084,60.34788,25.961984634399414,78.85799407958984,IPSL-CM6A-LR
2085,63.958317,27.447908401489258,84.98406982421875,IPSL-CM6A-LR
2086,66.22654,33.415401458740234,83.83316802978516,IPSL-CM6A-LR
2087,67.19814,30.793434143066406,87.59459686279297,IPSL-CM6A-LR
2088,61.9057,25.910737991333008,82.09510040283203,IPSL-CM6A-LR
2089,63.419373,27.834747314453125,83.99549102783203,IPSL-CM6A-LR
2090,64.26095,27.1279239654541,85.18877410888672,IPSL-CM6A-LR
2091,57.841793,27.340301513671875,76.46247100830078,IPSL-CM6A-LR
2092,62.27416,29.722848892211914,81.65966033935547,IPSL-CM6A-LR
2093,63.568283,30.6047420501709,83.7085189819336,IPSL-CM6A-LR
2094,62.7567,28.541391372680664,79.92220306396484,IPSL-CM6A-LR
2095,61.10097,27.12843132019043,77.55536651611328,IPSL-CM6A-LR
2096,59.2845,25.064041137695312,79.31110382080078,IPSL-CM6A-LR
2097,58.1067,25.13690757751465,78.18331146240234,IPSL-CM6A-LR
2098,59.05484,25.568389892578125,78.57975006103516,IPSL-CM6A-LR
2099,56.09264,25.883989334106445,74.68048858642578,IPSL-CM6A-LR
2100,57.85586,26.34877586364746,75.20841217041016,IPSL-CM6A-LR
