Year,Annual,Summer,Winter,Model
2015,66.3513,165.57911682128906,5.577070713043213,IPSL-CM6A-LR
2016,66.86522,170.6077423095703,5.315990447998047,IPSL-CM6A-LR
2017,68.37779,167.14051818847656,5.545675277709961,IPSL-CM6A-LR
2018,68.60175,169.6605224609375,5.764949321746826,IPSL-CM6A-LR
2019,68.63241,171.80955505371094,5.404745578765869,IPSL-CM6A-LR
2020,70.04338,173.89186096191406,6.05449914932251,IPSL-CM6A-LR
2021,68.1587,167.02523803710938,5.655055999755859,IPSL-CM6A-LR
2022,66.62241,165.716064453125,5.206762790679932,IPSL-CM6A-LR
2023,66.93248,166.1796112060547,5.437665939331055,IPSL-CM6A-LR
2024,68.64419,169.84434509277344,5.343926906585693,IPSL-CM6A-LR
2025,66.89321,167.59571838378906,5.615993499755859,IPSL-CM6A-LR
2026,66.75979,166.78857421875,5.447285175323486,IPSL-CM6A-LR
2027,65.752174,165.7984161376953,5.519983768463135,IPSL-CM6A-LR
2028,66.05209,163.6746826171875,5.787916660308838,IPSL-CM6A-LR
2029,66.99825,167.4682159423828,5.6068291664123535,IPSL-CM6A-LR
2030,67.67472,168.96746826171875,5.8205695152282715,IPSL-CM6A-LR
2031,65.145676,163.6835174560547,5.4382243156433105,IPSL-CM6A-LR
2032,64.23505,162.44195556640625,5.4834442138671875,IPSL-CM6A-LR
2033,67.73817,168.07322692871094,5.3743157386779785,IPSL-CM6A-LR
2034,65.28444,162.87257385253906,5.455196380615234,IPSL-CM6A-LR
2035,64.76752,163.28253173828125,5.335829257965088,IPSL-CM6A-LR
2036,66.34165,167.048095703125,5.319852352142334,IPSL-CM6A-LR
2037,66.83206,165.0616455078125,5.869401931762695,IPSL-CM6A-LR
2038,66.696106,166.35362243652344,5.7939324378967285,IPSL-CM6A-LR
2039,66.21764,162.8986358642578,5.858255386352539,IPSL-CM6A-LR
2040,66.43588,165.2802734375,5.568122863769531,IPSL-CM6A-LR
2041,67.44953,165.9434356689453,5.647930145263672,IPSL-CM6A-LR
2042,67.57996,169.05812072753906,5.879871845245361,IPSL-CM6A-LR
2043,66.73311,167.8955535888672,5.488895416259766,IPSL-CM6A-LR
2044,68.03562,168.06129455566406,5.626612186431885,IPSL-CM6A-LR
2045,66.54037,166.6563262939453,5.6643242835998535,IPSL-CM6A-LR
2046,65.4161,163.10667419433594,5.659844875335693,IPSL-CM6A-LR
2047,66.85647,165.65574645996094,5.730502605438232,IPSL-CM6A-LR
2048,68.2061,167.2134246826172,5.524677753448486,IPSL-CM6A-LR
2049,66.559975,164.1717529296875,5.890804290771484,IPSL-CM6A-LR
2050,68.249825,167.47496032714844,5.782094955444336,IPSL-CM6A-LR
2051,67.15289,163.4724578857422,5.908019542694092,IPSL-CM6A-LR
2052,67.08886,165.9869842529297,5.431835174560547,IPSL-CM6A-LR
2053,66.82038,165.68482971191406,5.651625156402588,IPSL-CM6A-LR
2054,66.06677,162.3607635498047,5.732149600982666,IPSL-CM6A-LR
2055,66.51867,165.6785888671875,5.352802276611328,IPSL-CM6A-LR
2056,69.361084,169.8245849609375,5.753621578216553,IPSL-CM6A-LR
2057,70.41692,170.39625549316406,5.684263229370117,IPSL-CM6A-LR
2058,68.79551,168.82070922851562,6.311374187469482,IPSL-CM6A-LR
2059,68.26812,166.74073791503906,5.908139705657959,IPSL-CM6A-LR
2060,65.90387,163.04542541503906,5.805665493011475,IPSL-CM6A-LR
2061,67.84339,166.74148559570312,5.550442218780518,IPSL-CM6A-LR
2062,65.16663,161.39588928222656,5.595754623413086,IPSL-CM6A-LR
2063,68.25787,166.25775146484375,6.113131046295166,IPSL-CM6A-LR
2064,67.37759,165.84141540527344,5.991883754730225,IPSL-CM6A-LR
2065,67.52966,164.72959899902344,6.061927795410156,IPSL-CM6A-LR
2066,68.523636,164.28269958496094,5.783187389373779,IPSL-CM6A-LR
2067,67.857605,163.34873962402344,6.021788120269775,IPSL-CM6A-LR
2068,68.65328,164.32179260253906,5.870508670806885,IPSL-CM6A-LR
2069,68.42162,164.35398864746094,5.9672322273254395,IPSL-CM6A-LR
2070,68.95184,166.79345703125,6.060715198516846,IPSL-CM6A-LR
2071,67.4339,166.64898681640625,5.718739032745361,IPSL-CM6A-LR
2072,66.925674,163.95399475097656,5.8719635009765625,IPSL-CM6A-LR
2073,65.813995,163.0941619873047,5.9977240562438965,IPSL-CM6A-LR
2074,66.85607,163.7292938232422,5.990171909332275,IPSL-CM6A-LR
2075,66.38264,162.0164794921875,5.754862308502197,IPSL-CM6A-LR
2076,68.72053,166.96160888671875,6.125242710113525,IPSL-CM6A-LR
2077,67.33955,163.1717071533203,6.020820617675781,IPSL-CM6A-LR
2078,67.282234,162.870849609375,5.903791904449463,IPSL-CM6A-LR
2079,67.74508,165.27488708496094,6.1044840812683105,IPSL-CM6A-LR
2080,69.72954,167.68727111816406,5.991922855377197,IPSL-CM6A-LR
2081,68.980934,162.88890075683594,6.374322891235352,IPSL-CM6A-LR
2082,67.6674,164.7949981689453,5.996252536773682,IPSL-CM6A-LR
2083,68.14378,162.6436004638672,6.209008693695068,IPSL-CM6A-LR
2084,68.15442,164.0365447998047,6.072013854980469,IPSL-CM6A-LR
2085,68.943855,163.91363525390625,5.94870138168335,IPSL-CM6A-LR
2086,68.95427,163.17156982421875,6.221099853515625,IPSL-CM6A-LR
2087,68.70674,163.7261962890625,5.90216588973999,IPSL-CM6A-LR
2088,68.08201,162.2466278076172,6.189126968383789,IPSL-CM6A-LR
2089,70.084465,162.81495666503906,6.77279806137085,IPSL-CM6A-LR
2090,67.93005,162.5894317626953,6.25686502456665,IPSL-CM6A-LR
2091,69.851326,164.60044860839844,6.65056848526001,IPSL-CM6A-LR
2092,67.96399,162.1864776611328,6.387040615081787,IPSL-CM6A-LR
2093,67.74329,159.13755798339844,6.310631275177002,IPSL-CM6A-LR
2094,68.55694,166.68553161621094,5.995145320892334,IPSL-CM6A-LR
2095,69.09932,164.5635223388672,6.332134246826172,IPSL-CM6A-LR
2096,69.973915,164.58987426757812,6.451927185058594,IPSL-CM6A-LR
2097,70.62168,165.1074981689453,6.740853786468506,IPSL-CM6A-LR
