Year,Annual,Summer,Winter,Model
2015,0.6998115664837754,0.3323384938505589,0.9157753275153764,IPSL-CM6A-LR
2016,0.6419302908603787,0.31277616950525644,0.918685083140578,IPSL-CM6A-LR
2017,0.6749153655699422,0.43914337185715213,0.9069230243410797,IPSL-CM6A-LR
2018,0.6835314946070783,0.3727316668523664,0.9078679428047922,IPSL-CM6A-LR
2019,0.6647861478538969,0.4123145045794472,0.9154193972609231,IPSL-CM6A-LR
2020,0.676135953475657,0.4228215899599878,0.9197141379229273,IPSL-CM6A-LR
2021,0.695882805596142,0.4568783439717587,0.9272510103764511,IPSL-CM6A-LR
2022,0.7044182446495261,0.5146267683266628,0.9152324914148599,IPSL-CM6A-LR
2023,0.7104881723313299,0.493496881849188,0.9203580207451467,IPSL-CM6A-LR
2024,0.6880740936600613,0.45655022550022517,0.9151524533909056,IPSL-CM6A-LR
2025,0.7191056294889391,0.47208334355154413,0.9062737031560704,IPSL-CM6A-LR
2026,0.6826140049638719,0.38341289640005377,0.9023128161297038,IPSL-CM6A-LR
2027,0.6849084225070126,0.5012663368362036,0.9222010974516471,IPSL-CM6A-LR
2028,0.688040324203639,0.4328995996946009,0.9132143608975619,IPSL-CM6A-LR
2029,0.6742577025164008,0.4307553748951145,0.8995558303374397,IPSL-CM6A-LR
2030,0.659418869637342,0.3209112315468018,0.9179295643792971,IPSL-CM6A-LR
2031,0.7046767205932318,0.46485945031526654,0.9148589556688198,IPSL-CM6A-LR
2032,0.6718766921452661,0.45122099898842805,0.926118628803096,IPSL-CM6A-LR
2033,0.6939753801807306,0.33048341181870683,0.9161255246439131,IPSL-CM6A-LR
2034,0.7032009581339468,0.47779710379545126,0.9130598652678902,IPSL-CM6A-LR
2035,0.6876465344801014,0.4890529676878443,0.9027853813615749,IPSL-CM6A-LR
2036,0.7022658333886652,0.5609961006515228,0.9168374244467268,IPSL-CM6A-LR
2037,0.689626683606436,0.37176874205634325,0.9290061657617902,IPSL-CM6A-LR
2038,0.7116046194394577,0.32550667970385827,0.9217956669177545,IPSL-CM6A-LR
2039,0.6689029201689053,0.5525793488718093,0.925226721066412,IPSL-CM6A-LR
2040,0.6898776007982527,0.49031239417061534,0.9244994400693612,IPSL-CM6A-LR
2041,0.6659597361009245,0.31221579997420124,0.9087767862092686,IPSL-CM6A-LR
2042,0.6633598229050427,0.3902659416041837,0.9137960576012183,IPSL-CM6A-LR
2043,0.67727376975225,0.5498498838427346,0.897635112567088,IPSL-CM6A-LR
2044,0.6865010591540056,0.4533398634393196,0.913116459897052,IPSL-CM6A-LR
2045,0.6969077268329462,0.5793627451610148,0.9263735483807483,IPSL-CM6A-LR
2046,0.7020699489004582,0.5196106631779792,0.9206649655707257,IPSL-CM6A-LR
2047,0.6991201264679443,0.5008731882892563,0.9210799894915546,IPSL-CM6A-LR
2048,0.6995890262158571,0.4710922840787291,0.9230999947102551,IPSL-CM6A-LR
2049,0.6786281867426286,0.38053566547311807,0.919222654621415,IPSL-CM6A-LR
2050,0.7085918806154935,0.43814884502360435,0.9281937203120755,IPSL-CM6A-LR
2051,0.6773615935453957,0.5097579983341214,0.9125566573518236,IPSL-CM6A-LR
2052,0.700331864085972,0.5219496197416308,0.9306613392237858,IPSL-CM6A-LR
2053,0.6899449582160347,0.48587035206147994,0.9206525336804224,IPSL-CM6A-LR
2054,0.6921010580235943,0.5308969777815133,0.926518876316428,IPSL-CM6A-LR
2055,0.7105957911145516,0.5145764413068329,0.9169761226945906,IPSL-CM6A-LR
2056,0.6800352414679035,0.4874310635191722,0.9133097590886126,IPSL-CM6A-LR
2057,0.7322703769578474,0.5173079658095888,0.9207074252029985,IPSL-CM6A-LR
2058,0.6987480557967491,0.42720170603117597,0.9095934043946798,IPSL-CM6A-LR
2059,0.6941341901539615,0.383997515272813,0.918500692369557,IPSL-CM6A-LR
2060,0.7086849485943079,0.44617136841426736,0.901006350740795,IPSL-CM6A-LR
2061,0.7029162259615885,0.5208314496527481,0.916277394755623,IPSL-CM6A-LR
2062,0.7074520857707597,0.5339915232102298,0.9225105581361153,IPSL-CM6A-LR
2063,0.6880366506375003,0.3375294625378526,0.9187802721869571,IPSL-CM6A-LR
2064,0.6824060928200749,0.5243247882182099,0.9112833333365992,IPSL-CM6A-LR
2065,0.7051595067500531,0.49289298615066296,0.9031477078934351,IPSL-CM6A-LR
2066,0.6986085956322231,0.425852808290457,0.9222257736749588,IPSL-CM6A-LR
2067,0.6984925539566009,0.42096315321073297,0.9121030799738423,IPSL-CM6A-LR
2068,0.7065731571851032,0.4975304144076444,0.9167842004796349,IPSL-CM6A-LR
2069,0.726969815002882,0.38181029500211805,0.9236490238347518,IPSL-CM6A-LR
2070,0.6635901125660756,0.6106502683012499,0.9096948722996973,IPSL-CM6A-LR
2071,0.7264112921544402,0.4326453969995402,0.9204701226130028,IPSL-CM6A-LR
2072,0.7078325685638759,0.5345705097719187,0.9206369202099961,IPSL-CM6A-LR
2073,0.7275064376355904,0.5652013166916238,0.9075253727070476,IPSL-CM6A-LR
2074,0.6918827158875889,0.4371558068231435,0.9244668609499953,IPSL-CM6A-LR
2075,0.6857784013610956,0.4716475030512112,0.929553663917522,IPSL-CM6A-LR
2076,0.652408563120704,0.47272953981751775,0.9271178568430548,IPSL-CM6A-LR
2077,0.7138463452839243,0.5351121085739952,0.9066965924140631,IPSL-CM6A-LR
2078,0.723142797763623,0.475965040499714,0.9331980394227939,IPSL-CM6A-LR
2079,0.6902891277081548,0.5038397198035842,0.8988813459131569,IPSL-CM6A-LR
2080,0.6987837617070608,0.5298412381020131,0.913417347527733,IPSL-CM6A-LR
2081,0.7256974962227959,0.38875053183631586,0.9043991695397613,IPSL-CM6A-LR
2082,0.687300655873427,0.5235366494507282,0.8977831015456004,IPSL-CM6A-LR
2083,0.7043685940420757,0.42237712227301183,0.9263798208160459,IPSL-CM6A-LR
2084,0.6896754747655519,0.5074517653992638,0.9078204713479265,IPSL-CM6A-LR
2085,0.7085177576365759,0.5162634116590497,0.9039384100029224,IPSL-CM6A-LR
2086,0.7359700432240145,0.6086530994169285,0.9182417441018911,IPSL-CM6A-LR
2087,0.7182197021558073,0.5528765650952109,0.9126246849465262,IPSL-CM6A-LR
2088,0.7188460955629573,0.5051851087600177,0.9288067118241043,IPSL-CM6A-LR
2089,0.7367754923228998,0.5653043301235499,0.9399400815465451,IPSL-CM6A-LR
2090,0.7172680271332769,0.5210449115146812,0.924768821224875,IPSL-CM6A-LR
2091,0.683738475056655,0.5249628881237569,0.9163257266492978,IPSL-CM6A-LR
2092,0.7221589239508757,0.5048322532008523,0.9124186565370083,IPSL-CM6A-LR
2093,0.7429408901463482,0.4625685281851061,0.9268002447358626,IPSL-CM6A-LR
