Year,Annual,Summer,Winter,Model
2015,0.7230684990684381,0.5026145967772602,0.8663209499830306,IPSL-CM6A-LR
2016,0.6732154693552888,0.5381976019419646,0.8843142374571069,IPSL-CM6A-LR
2017,0.6883707127812778,0.5404228247071442,0.8624154972653297,IPSL-CM6A-LR
2018,0.6803240764353964,0.6154013159431005,0.8725152536535757,IPSL-CM6A-LR
2019,0.7020127105733344,0.6039013562451687,0.853927403948524,IPSL-CM6A-LR
2020,0.6927963126704619,0.6505190485868273,0.8796121602459315,IPSL-CM6A-LR
2021,0.729279128728931,0.6448583556654135,0.8935905686789306,IPSL-CM6A-LR
2022,0.7129012719485911,0.5967753984919194,0.8832345065964345,IPSL-CM6A-LR
2023,0.7022419119465013,0.6395970389716772,0.8745408570327007,IPSL-CM6A-LR
2024,0.7069589700592473,0.5996556388401189,0.8659704417953642,IPSL-CM6A-LR
2025,0.704771481570734,0.5899720545489092,0.8619854134023385,IPSL-CM6A-LR
2026,0.6897105470424205,0.5435369107221371,0.8490591980068863,IPSL-CM6A-LR
2027,0.6844038812579591,0.6010281404765148,0.8868775005411879,IPSL-CM6A-LR
2028,0.6902536655565048,0.62173277109716,0.8694065979704113,IPSL-CM6A-LR
2029,0.7037704902530008,0.6073796352862839,0.8581201512901204,IPSL-CM6A-LR
2030,0.6908879584792147,0.5299531357777836,0.8937412437046871,IPSL-CM6A-LR
2031,0.700204183177766,0.6120319189700301,0.8783314670517085,IPSL-CM6A-LR
2032,0.7016851379658684,0.5997771960700194,0.9027137919404127,IPSL-CM6A-LR
2033,0.6936950148682666,0.6256241702528748,0.85463699517015,IPSL-CM6A-LR
2034,0.721948122799164,0.6009864223177521,0.8654454940781354,IPSL-CM6A-LR
2035,0.6782382619144588,0.6825608077115612,0.8620781791537164,IPSL-CM6A-LR
2036,0.7187249154780478,0.679665393513264,0.8593515458872915,IPSL-CM6A-LR
2037,0.7287519345573631,0.5458129313402983,0.8903293402655003,IPSL-CM6A-LR
2038,0.6998054079371547,0.549253566618746,0.8753379034766668,IPSL-CM6A-LR
2039,0.6789513096672035,0.621957159962255,0.8838693510497658,IPSL-CM6A-LR
2040,0.7078046903188479,0.6579654146611396,0.8954787771431196,IPSL-CM6A-LR
2041,0.7166761792247546,0.5557622496196426,0.895244315543471,IPSL-CM6A-LR
2042,0.6764419874668984,0.6058580387019904,0.8495093804009716,IPSL-CM6A-LR
2043,0.6871434544809634,0.6520855872901633,0.8532692449186936,IPSL-CM6A-LR
2044,0.7048798790641643,0.5362943138906948,0.855029952252796,IPSL-CM6A-LR
2045,0.6633996079791015,0.6437729856014979,0.8877572681377637,IPSL-CM6A-LR
2046,0.6975169070942012,0.5844708404643749,0.8721389148051113,IPSL-CM6A-LR
2047,0.6881068292815345,0.6228791898498446,0.8801875711379274,IPSL-CM6A-LR
2048,0.708048303239876,0.6612949865047777,0.8747775024637227,IPSL-CM6A-LR
2049,0.7167224896288581,0.5292216600929754,0.8641392072846688,IPSL-CM6A-LR
2050,0.6944236672262031,0.5502902945331396,0.8851564542608038,IPSL-CM6A-LR
2051,0.6814903396523008,0.6026676576495782,0.896693976469604,IPSL-CM6A-LR
2052,0.6703523896217626,0.6688747124815981,0.882364623849837,IPSL-CM6A-LR
2053,0.7077576603925598,0.6139436368937087,0.8831888407744382,IPSL-CM6A-LR
2054,0.6816617765517701,0.6185463144047618,0.8921320947942772,IPSL-CM6A-LR
2055,0.6995171573130713,0.6030896467814703,0.8729267670217605,IPSL-CM6A-LR
2056,0.6845619805380873,0.6099709679030028,0.872305622415323,IPSL-CM6A-LR
2057,0.7011600605622261,0.5349987840826652,0.8855424709547363,IPSL-CM6A-LR
2058,0.6797320474300582,0.5848672220532535,0.8493824126288099,IPSL-CM6A-LR
2059,0.7005482037508259,0.4908012886628328,0.884276404717879,IPSL-CM6A-LR
2060,0.673420037080215,0.5341390436000805,0.8896782213889394,IPSL-CM6A-LR
2061,0.6676794929334213,0.5829298686417106,0.8707942608770601,IPSL-CM6A-LR
2062,0.6955665795332534,0.5782766855642304,0.8724664462292147,IPSL-CM6A-LR
2063,0.6829921699418188,0.5445373438090476,0.8733261691857238,IPSL-CM6A-LR
2064,0.692292764229132,0.6391858491629787,0.8953039749489573,IPSL-CM6A-LR
2065,0.7122076289509622,0.5794897889834679,0.8661483237152398,IPSL-CM6A-LR
2066,0.7071956688449119,0.47323147447515895,0.8841487611604315,IPSL-CM6A-LR
2067,0.6576611195028548,0.6132355349302834,0.8693672538807501,IPSL-CM6A-LR
2068,0.7198748487614108,0.5852486566893916,0.875810142720759,IPSL-CM6A-LR
2069,0.6910804182331738,0.4567160006890534,0.8736355584511234,IPSL-CM6A-LR
2070,0.6625454263040823,0.5726771781142361,0.8753813190772793,IPSL-CM6A-LR
2071,0.6868238331433024,0.48547685717864264,0.8646565986349717,IPSL-CM6A-LR
2072,0.6755041054422323,0.6451873046692116,0.8730613318137175,IPSL-CM6A-LR
2073,0.7277587247060714,0.6143104139343223,0.884532956113077,IPSL-CM6A-LR
2074,0.6854883666825078,0.5943916139847056,0.8879378431762148,IPSL-CM6A-LR
2075,0.6919118392388984,0.630866644681052,0.8894570423794124,IPSL-CM6A-LR
2076,0.6673817168317356,0.5987490292479698,0.877424376565475,IPSL-CM6A-LR
2077,0.7175658949319614,0.5952822855216165,0.869436358399584,IPSL-CM6A-LR
2078,0.6939080058687342,0.5346251519660276,0.8827247384780986,IPSL-CM6A-LR
2079,0.6696983881228391,0.587113215088468,0.872861161506007,IPSL-CM6A-LR
2080,0.6907253359311879,0.5473850493277326,0.8868815836078799,IPSL-CM6A-LR
2081,0.6837841162640462,0.46925711316363367,0.875846586122609,IPSL-CM6A-LR
2082,0.6636472575082485,0.6276427251180866,0.8526002911720696,IPSL-CM6A-LR
2083,0.7071092108746142,0.5598670226518648,0.8662269600828101,IPSL-CM6A-LR
2084,0.6756308678702786,0.5336351335405722,0.8713657451548886,IPSL-CM6A-LR
2085,0.6742411329488814,0.5132047921043186,0.8760740833481101,IPSL-CM6A-LR
2086,0.7116916627177075,0.6186950034901338,0.8821926867228511,IPSL-CM6A-LR
2087,0.6849691339568085,0.5702070415792914,0.8757516688282772,IPSL-CM6A-LR
2088,0.704347497698798,0.5376502468903435,0.877142652325734,IPSL-CM6A-LR
2089,0.7028783939122413,0.5735944829038486,0.9073453367508578,IPSL-CM6A-LR
2090,0.6792866092266178,0.5760322314996676,0.8816989541043994,IPSL-CM6A-LR
2091,0.6840479233616154,0.6177956269731709,0.8830174836942651,IPSL-CM6A-LR
2092,0.7033647725377818,0.5334976993114885,0.8817929231785544,IPSL-CM6A-LR
2093,0.712354206839192,0.5721705510379371,0.9097090172998155,IPSL-CM6A-LR
2094,0.6605383485550927,0.6299962203115781,0.8723661813441261,IPSL-CM6A-LR
2095,0.6907277692629337,0.5096948088195458,0.87376253416117,IPSL-CM6A-LR
2096,0.6813643564569615,0.5429362130068516,0.8812919222235643,IPSL-CM6A-LR
